port_code,port_name,country,cty_code,region
13442,"Belledune, NB",Canada,1220,North America
13444,"Campbellton, NB",Canada,1220,North America
13445,"Campobello, NB",Canada,1220,North America
13450,"Blacks Harbor, NB",Canada,1220,North America
13451,"Clarke Harbour, NS",Canada,1220,North America
13452,"Gold River, NS",Canada,1220,North America
13454,"Richardson, NB",Canada,1220,North America
13455,"Shelburne, NS",Canada,1220,North America
13456,"Victoria, PEI",Canada,1220,North America
13457,"Welshpool, NB",Canada,1220,North America
13458,"Bathurst, NB",Canada,1220,North America
13459,"Bayside, NB",Canada,1220,North America
13460,"Chatham, NB",Canada,1220,North America
13466,"Chandler, QUE",Canada,1220,North America
13470,"Tuktoyaktuk, NWT",Canada,1220,North America
13473,"Chicoutimi, QUE",Canada,1220,North America
13475,"Deer Island, BC",Canada,1220,North America
13476,"Pointe Noire, QUE",Canada,1220,North America
13481,"Baie Comeau, QUE",Canada,1220,North America
13482,"Contrecoeur, QUE",Canada,1220,North America
13484,"Dalhousie, NB",Canada,1220,North America
13485,"Dartmouth, NS",Canada,1220,North America
13493,"Donnacona, QUE",Canada,1220,North America
13819,"Gaspe, QUE",Canada,1220,North America
13820,"Gros Cacouna, QUE",Canada,1220,North America
13829,"Boca Sec, NB",Canada,1220,North America
13841,"Halifax, NS",Canada,1220,North America
13846,"Auld’s Cove, NS",Canada,1220,North America
13847,"Yarmouth, NS",Canada,1220,North America
13848,"Hantsport, NS",Canada,1220,North America
13849,"Port Hawkesbury, NS",Canada,1220,North America
13850,"Bridgewater, NS",Canada,1220,North America
13851,"Lunenburg, NS",Canada,1220,North America
13852,"Sydney, NS",Canada,1220,North America
13853,"North Sydney, NS",Canada,1220,North America
13854,"Pictou, NS",Canada,1220,North America
13855,"Baddeck, CBI",Canada,1220,North America
13870,"Meteghan, NS",Canada,1220,North America
13884,"Little Narrows, CBI",Canada,1220,North America
13887,"Liverpool, NS",Canada,1220,North America
13888,"Sheet Harbour, NS",Canada,1220,North America
14001,"Churchill, MAN",Canada,1220,North America
14021,"Mont Louis, QUE",Canada,1220,North America
14037,"Newcastle, NB",Canada,1220,North America
14065,"Point Tupper, CBI",Canada,1220,North America
14066,"Pointe Au Pic, QUE",Canada,1220,North America
14067,"Valleyfield, QUE",Canada,1220,North America
14068,"Rimouski, QUE",Canada,1220,North America
14069,"Port Alfred, QUE",Canada,1220,North America
14070,"Matane, QUE",Canada,1220,North America
14073,"Port Cartier, QUE",Canada,1220,North America
14090,"St. Romuald, QUE",Canada,1220,North America
14092,"Sillery, QUE",Canada,1220,North America
14094,"Quebec, QUE",Canada,1220,North America
14095,"Rupert Inlet, QUE",Canada,1220,North America
14426,"Saint Andrews, NB",Canada,1220,North America
14427,"Saint George, NB",Canada,1220,North America
14428,"Saint John, NB",Canada,1220,North America
14429,"Saint Jean, QUE",Canada,1220,North America
14438,"Saint Stephen, NB",Canada,1220,North America
14444,"Sept Iles, QUE",Canada,1220,North America
14466,"Sorel, QUE",Canada,1220,North America
14467,"Souris, PEI",Canada,1220,North America
14470,"Summerside, PEI",Canada,1220,North America
14471,"Charlottetown, PEI",Canada,1220,North America
14472,"Montaque, PEI",Canada,1220,North America
14474,"Three Rivers, QUE",Canada,1220,North America
15200,"Bonavista, NFLD",Canada,1220,North America
15201,"Bull Arm, NFLD",Canada,1220,North America
15205,"Bay Roberts, NFLD",Canada,1220,North America
15206,"Carbonear, NFLD",Canada,1220,North America
15207,"Englee Harbor, NFLD",Canada,1220,North America
15208,"Fortune, NFLD",Canada,1220,North America
15209,"Grand Bank, NFLD",Canada,1220,North America
15210,"Harbour Breton, NFLD",Canada,1220,North America
15211,"Ramea, NFLD",Canada,1220,North America
15212,"Saint Anthony, NFLD",Canada,1220,North America
15213,"Argentia, NFLD",Canada,1220,North America
15214,"Botwood, NFLD",Canada,1220,North America
15220,"Conception Bay, NFLD",Canada,1220,North America
15223,"Earls Island, NFLD",Canada,1220,North America
15224,"Clarenville, NFLD",Canada,1220,North America
15226,"Coley’s Point, NFLD",Canada,1220,North America
15229,"Come-by-Chance, NFLD",Canada,1220,North America
15230,"Whiffen Head, NF",Canada,1220,North America
15231,"Corner Brook, NFLD",Canada,1220,North America
15232,"Harbour Grace, NFLD",Canada,1220,North America
15233,"Marystown, NFLD",Canada,1220,North America
15245,"Holyrood, NFLD",Canada,1220,North America
15255,"Long Harbor, NFLD",Canada,1220,North America
15260,"Long Pond, NFLD",Canada,1220,North America
15282,"Saint John's, NFLD",Canada,1220,North America
15283,"Saint Lawrence, NFLD",Canada,1220,North America
15285,"Stephenville, NFLD",Canada,1220,North America
