port_code,port_name,district_code,district_name,port_consolidated,port_coast,port_region,port_type
1004,"PERTH AMBOY, NJ",10,"NEW YORK CITY, NY",New York,East,North Atlantic,seaport
1012,"JFK INTERNATIONAL AIRPORT, NY",10,"NEW YORK CITY, NY",New York,East,North Atlantic,airport
1068,"NEWARK FEDEX ECCF, NJ",10,"NEW YORK CITY, NY",New York,East,North Atlantic,courier
1069,"UPS, NEWARK, NJ",10,"NEW YORK CITY, NY",New York,East,North Atlantic,courier
1071,"NYACC, JAMAICA, NY",10,"NEW YORK CITY, NY",New York,East,North Atlantic,courier
1072,"DHL, JAMAICA, NY",10,"NEW YORK CITY, NY",New York,East,North Atlantic,courier
1073,EMERY WORLDWIDE,10,"NEW YORK CITY, NY",New York,East,North Atlantic,courier
1074,"AIR FRANCE (MACH PLUS), JAMAICA, NY",10,"NEW YORK CITY, NY",New York,East,North Atlantic,courier
1078,"TNT SKYPAK, JAMAICA, NY",10,"NEW YORK CITY, NY",New York,East,North Atlantic,courier
1081,"MORRISTOWN AIRPORT, NJ",10,"NEW YORK CITY, NY",New York,East,North Atlantic,airport
1101,"PHILADELPHIA, PA",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,seaport
1102,"CHESTER, PA",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,seaport
1103,"WILMINGTON, DE",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,seaport
1104,"PITTSBURGH, PA",11,"PHILADELPHIA, PA",Pittsburgh,Inland,Great Lakes,inland
1105,"MARCUS HOOK, PA",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,seaport
1106,"WILKES-BARRE/SCRANTON, PA",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,inland
1107,"CAMDEN, NJ",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,seaport
1108,"PHILA. INTL. AIRPORT, PA",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,airport
1109,"HARRISBURG, PA",11,"PHILADELPHIA, PA",Delaware River,Inland,Mid-Atlantic,inland
1113,"GLOUCESTER CITY, NJ",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,seaport
1119,"ALLENTOWN, PA (LEHIGH VALLEY INTL AIRPT)",11,"PHILADELPHIA, PA",Delaware River,Inland,Mid-Atlantic,airport
1182,"ATLANTIC CITY REGIONAL AIRPORT, NJ",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,airport
1183,"TRENTON/MERCER COUNTY AIRPORT, NJ",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,airport
1195,"UPS, PHILADELPHIA, PA",11,"PHILADELPHIA, PA",Delaware River,East,Mid-Atlantic,courier
1297,"RICHMOND, VA",12,UNKNOWN,Hampton Roads,East,South Atlantic,seaport
1301,"ANNAPOLIS, MD",13,"BALTIMORE, MD",Baltimore,East,Mid-Atlantic,seaport
1302,"CAMBRIDGE, MD",13,"BALTIMORE, MD",Baltimore,East,Mid-Atlantic,seaport
1303,"BALTIMORE, MD",13,"BALTIMORE, MD",Baltimore,East,Mid-Atlantic,seaport
1304,"CRISFIELD, MD",13,"BALTIMORE, MD",Baltimore,East,Mid-Atlantic,airport
1305,"BALTIMORE-WASHINGTON INTERNATIONAL AIRPORT, MD",13,"BALTIMORE, MD",Baltimore,East,Mid-Atlantic,airport
1401,"NORFOLK-NEWPORT NEWS, VA",14,"NORFOLK, VA",Hampton Roads,East,South Atlantic,seaport
1404,"RICHMOND-PETERSBURG, VA",14,"NORFOLK, VA",Hampton Roads,East,South Atlantic,inland
1409,"CHARLESTON, WV",14,"NORFOLK, VA",Hampton Roads,Inland,South Atlantic,inland
1410,"FRONT ROYAL, VA",14,"NORFOLK, VA",Hampton Roads,Inland,South Atlantic,inland
1412,"NEW RIVER VALLEY AIRPORT, VA",14,"NORFOLK, VA",Hampton Roads,East,South Atlantic,airport
1501,"WILMINGTON, NC",15,"WILMINGTON, NC",North Carolina Ports,East,South Atlantic,seaport
1502,"WINSTON-SALEM, NC",15,"WILMINGTON, NC",North Carolina Ports,Inland,South Atlantic,seaport
1503,"DURHAM, NC",15,"WILMINGTON, NC",North Carolina Ports,Inland,South Atlantic,inland
1511,"BEAUFORT-MOREHEAD CITY,NC",15,"WILMINGTON, NC",North Carolina Ports,East,South Atlantic,seaport
1512,"CHARLOTTE, NC",15,"WILMINGTON, NC",North Carolina Ports,Inland,South Atlantic,inland
1601,"CHARLESTON, SC",16,"CHARLESTON, SC",Charleston,East,South Atlantic,seaport
1602,"GEORGETOWN, SC",16,"CHARLESTON, SC",South Carolina Ports,East,South Atlantic,seaport
1603,"GREENVILLE-SPARTANBRG, SC",16,"CHARLESTON, SC",South Carolina Ports,Inland,South Atlantic,seaport
1604,"COLUMBIA, SC",16,"CHARLESTON, SC",South Carolina Ports,Inland,South Atlantic,inland
1681,"MYRTLE BEACH INTL AIRPORT, SC",16,"CHARLESTON, SC",South Carolina Ports,East,South Atlantic,airport
1701,"BRUNSWICK, GA",17,"SAVANNAH, GA",Georgia Ports,East,South Atlantic,seaport
1703,"SAVANNAH, GA",17,"SAVANNAH, GA",Georgia Ports,East,South Atlantic,seaport
1704,"ATLANTA, GA",17,"SAVANNAH, GA",Atlanta,Inland,South Atlantic,inland
1791,"ATLANTA HARTSFIELD AIRPORT, GA",17,"SAVANNAH, GA",Atlanta,Inland,South Atlantic,airport
1801,"TAMPA, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,seaport
1803,"JACKSONVILLE, FL",18,"TAMPA, FL",Jacksonville,East,South Atlantic,seaport
1805,"FERNANDINA BEACH, FL",18,"TAMPA, FL",Jacksonville,East,South Atlantic,seaport
1807,"BOCA GRANDE, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,seaport
1808,"ORLANDO, FL",18,"TAMPA, FL",Orlando,Inland,South Atlantic,inland
1809,"ORLANDO-SANFORD AIRPORT, FL",18,"TAMPA, FL",Orlando,Inland,South Atlantic,airport
1814,"ST. PETERSBURG, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,inland
1816,"PORT CANAVERAL, FL",18,"TAMPA, FL",Port Canaveral,East,South Atlantic,seaport
1818,"PANAMA CITY, FL",18,"TAMPA, FL",Panama City,Gulf,Gulf East,seaport
1819,"PENSACOLA, FL",18,"TAMPA, FL",Pensacola,Gulf,Gulf East,seaport
1821,"PORT MANATEE, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,seaport
