Vessel_Category,Port_Calls,Total_Revenue,Pct_Revenue,Pct_Calls
BULK CARRIER,7122,63985500,38.2,14.3
TANKER (Oil/Crude),10545,42517500,25.4,21.2
GENERAL CARGO,3890,17505000,10.4,7.8
PASSENGER/CRUISE,5915,14787500,8.8,11.9
GAS CARRIER,3482,13813500,8.2,7.0
CONTAINER,13934,9071200,5.4,28.0
RO-RO/VEHICLE,4127,3095250,1.8,8.3
OTHER,412,1804500,1.1,0.8
REEFER,299,1121250,0.7,0.6
