shipper_norm,year,production_st,production_mt_equiv,vessel_calls_n,calls_with_tons,raw_exports_mt,annual_corr_factor,corrected_exports_mt,export_fraction_pct
COMMONWEALTH,2024,0.0,0.0,11.0,6.0,173755.0,2.0641557547316407,358657.0,
COMMONWEALTH,2025,0.0,0.0,4.0,4.0,88100.0,1.9886938064949435,175204.0,
CONEXUS METALS,2024,0.0,0.0,1.0,0.0,0.0,2.0641557547316407,0.0,
CONSOL,2023,0.0,0.0,139.0,73.0,6447018.0,2.1102734257739506,13604971.0,
CONSOL,2024,0.0,0.0,186.0,97.0,7055914.0,2.0641557547316407,14564505.0,
CONSOL,2025,0.0,0.0,52.0,45.0,3241799.0,1.9886938064949435,6446946.0,
CORE,2021,95816951.0,86925138.0,,,,,0.0,0.0
CORE,2022,102466235.0,92957368.0,,,,,0.0,0.0
CORE,2023,101668267.0,92233452.0,,,,,0.0,0.0
CORE,2024,84311565.0,76487452.0,,,,,0.0,0.0
CORE,2025,90258044.0,81882098.0,110.0,110.0,6947028.0,1.9886938064949435,13815512.0,16.9
CORE,2026,0.0,0.0,12.0,12.0,743500.0,1.8476221035807328,1373707.0,
CORONADO,2021,6945128.0,6300620.0,13.0,8.0,697652.0,2.232689430705837,1557640.0,24.7
CORONADO,2022,6650101.0,6032972.0,19.0,9.0,771911.0,1.9700504815059154,1520704.0,25.2
CORONADO,2023,6336441.0,5748419.0,22.0,13.0,881891.0,2.1102734257739506,1861031.0,32.4
CORONADO,2024,6162904.0,5590987.0,29.0,15.0,1002820.0,2.0641557547316407,2069977.0,37.0
CORONADO,2025,5876431.0,5331098.0,23.0,22.0,1344498.0,1.9886938064949435,2673795.0,50.2
CORONADO,2026,0.0,0.0,3.0,3.0,210000.0,1.8476221035807328,388001.0,
CORSA,2021,0.0,0.0,1.0,0.0,0.0,2.232689430705837,0.0,
DOM REP,2022,0.0,0.0,1.0,0.0,0.0,1.9700504815059154,0.0,
ECUADOR,2021,0.0,0.0,1.0,1.0,30000.0,2.232689430705837,66981.0,
ECUADOR,2022,0.0,0.0,4.0,3.0,104183.0,1.9700504815059154,205246.0,
ECUADOR,2023,0.0,0.0,2.0,0.0,0.0,2.1102734257739506,0.0,
EGYPT,2021,0.0,0.0,2.0,0.0,0.0,2.232689430705837,0.0,
