CTRY_NAME,FORPORT_NAME,FORPORT_CD
Bahamas,West End,23647
Bahamas,Whale Cay,23600
Bahrain,Al Manamah Harbor,52502
Bahrain,All Other Bahrain Ports,52500
Bahrain,Khalifa Bin Salman,52503
Bahrain,Manama,52502
Bahrain,Mina Sulman,52501
Bahrain,Sitra,52500
Bahrain,Sitrah,52500
Bangladesh,All Other Bangladesh Ports,53800
Bangladesh,Chalna,53820
Bangladesh,Chittagong,53827
Bangladesh,Khulna,53820
Bangladesh,Mongla,53800
Bangladesh,Mungla Anchorage,53800
Barbados,Bridgetown,27201
Barbados,Oistino,27210
Barbados,Speightstown,27213
Belgium,All Other Belgium Ports,42300
Belgium,Antwerp,42305
Belgium,Anvers,42305
Belgium,Bruges,42311
Belgium,Brugge,42311
Belgium,Brussels,42315
Belgium,Bruxelles,42315
Belgium,Ertvelde,42300
Belgium,Gand,42331
Belgium,Gent,42331
Belgium,Ghent,42331
Belgium,Haren,42300
Belgium,Hemiksem,42385
Belgium,Himixen,42385
Belgium,Humbeek,42300
Belgium,Ostend,42351
Belgium,Rieme,42300
Belgium,Schelde,42306
Belgium,Schelde Terminal,42306
Belgium,Selzaete,42300
Belgium,Terdonck Cluysen,42300
Belgium,Terdouk,42300
Belgium,Vilvoorde,42300
Belgium,Vilvorde,42300
Belgium,Zeebrugge,42381
Belgium,Zelzate,42300
Belgium,Zwijndrecht,42300
Belgium,Zwyndrecht,42300
Belize,Belize,20801
Belize,Big Creek,20802
Belize,Dangriga,20803
Belize,Other Belize Ports,20800
Belize,Punta Gorda,20800
Belize,San Pedro,20800
Belize,Stann Creek,20803
Benin,All Other Benin ports,76100
Benin,Cotonou,76101
Benin,Grand Popo,76100
Benin,Seme Terminal,76102
Bermuda,All Other Bermuda Ports,23299
Bermuda,"Freeport, Ireland Island",23299
Bermuda,Hamilton,23201
Bermuda,Saint Georges,23251
Bermuda,St. Georges,23251
Brazil,Abaetetuba,35198
Brazil,Alenquer,35198
Brazil,All Other Brazil Ports North of Recife,35198
Brazil,All Other Brazil Ports South of Recife,35199
Brazil,Amarracao,35198
Brazil,Angra dos Reis,35107
Brazil,Antonina,35159
Brazil,Aracaju,35199
Brazil,Aracati,35198
Brazil,Aratu,35115
Brazil,Areia Branca,35198
Brazil,Barao de Teffe,35159
Brazil,Barcarena,35121
Brazil,Barro do Riacho,35199
Brazil,Belem,35121
Brazil,Boa Vista,35198
Brazil,Breves,35123
Brazil,Cabedelo,35127
Brazil,Camocim,35198
Brazil,Ceara,35133
Brazil,Fortaleza,35133
Brazil,Ilheus,35137
Brazil,Imbituba,35178
Brazil,Itacoatiara,35139
Brazil,Itaguai,35185
Brazil,Itajai,35138
Brazil,Itajay,35138
Brazil,Itaqui,35135
Brazil,Joao Pessoa,35127
Brazil,Luis Correia,35198
Brazil,Macapa,35165
Brazil,Maceio,35141
Brazil,Madre de Deus,35113
Brazil,Malhado,35137
Brazil,Manaus,35144
Brazil,Mossoro,35198
Brazil,Mucuripe,35133
Brazil,Munguba,35164
Brazil,Natal,35157
Brazil,Navegantes,35136
Brazil,Niteroi,35171
Brazil,Obidos,35158
Brazil,Oriximina,35198
Brazil,Para,35121
Brazil,Paranagua,35159
Brazil,Parnahyba,35163
Brazil,Parnaiba,35163
Brazil,Pecem,35120
Brazil,Pelotas,35199
Brazil,Pernambuco,35169
Brazil,Point Ubu,35166
Brazil,Ponta da Madeira,35168
Brazil,Ponta do Ubu,35166
Brazil,Port Itapoa,35180
Brazil,Port Itaqui,35135
Brazil,Port Santana,35165
Brazil,Port do Pecem,35120
Brazil,Portel,35198
Brazil,Porto Alegre,35167
Brazil,Portocel,35199
Brazil,Praia Mole,35160
Brazil,Recife,35169
Brazil,Rio Grande,35173
Brazil,Rio de Janeiro,35171
Brazil,Salvador,35181
Brazil,Santa Clara,35167
Brazil,Santana,35165
Brazil,Santarem,35198
Brazil,Santos,35177
Brazil,Sao Francisco do Sul,35179
Brazil,Sao Luiz de Maranhao,35135
Brazil,Sao Miguel dos Macaos,35198
Brazil,Sao Paulo,35177
Brazil,Sao Sebastio,35175
Brazil,Sepetiba Bay,35185
Brazil,Suape,35170
Brazil,Tebig,35107
Brazil,Termisa Terminal,35198
Brazil,Tramandai,35161
Brazil,Trombetas,35176
Brazil,Tubarao,35160
Brazil,Tutoia,35163
Brazil,Tutoya,35163
Brazil,Urucara,35198
Brazil,Victoria,35195
Brazil,Vila do Conde,35121
Brazil,Vitoria,35195
Brit Ind Ocean,All Other British Indian Ocean Territory,78100
Brit Ind Ocean,Diego Garcia,78101
British Virgin,Port Purcell,24815
British Virgin,"Road Harbour, Tortola",24815
British Virgin,"Road Town, Tortola Island",24815
British Virgin,Virgin  Gorda,24813
Brunei,All Other Brunei Ports,56100
Brunei,Lumut,56100
Brunei,Muara Port,56151
Brunei,Seria,56150
Bulgaria,All Other Ports in Bulgaria,48700
Bulgaria,Bourgas,48702
Bulgaria,Burgas,48702
Bulgaria,Varna,48707
Burma,All Other Burma Ports,54600
Burma,Rangoon,54601
Burma,Tavoy,54600
Burma,Yangon,54601
Cambodia,All Ports in Cambodia,55500
Cambodia,Kampong Saom,55500
Cambodia,Kampot,55500
Cambodia,Phnom Penh,55500
Cambodia,Sihanoukville,55500
Cameroon,All Other Cameroon Ports,74299
Cameroon,Bonaberi,74201
Cameroon,Cap  Limboh,74298
Cameroon,Cap Limboah,74298
Cameroon,Douala,74201
Cameroon,Garoua,74297
Cameroon,Kole Terminal,74201
Cameroon,Kribi,74213
Cameroon,Limbe,74298
Cameroon,Limboh Terminal,74298
Cameroon,Moudi Terminal,74296
Cameroon,Tiko,74298
Cameroon,Victoria,74298
Canada,"Alert Bay, BC",12203
Canada,"Algoma, ONT",8525
Canada,All Other Canada Atlantic Region Ports,13400
Canada,All Other Canada Great Lakes Region Ports,9000
Canada,All Other Canada Pacific Region Ports,12200
Canada,All Other Labrador Ports,15298
Canada,All Other Newfoundland Ports,15200
Canada,"Amherstburg, ONT",3504
Canada,"Argentia, NFLD",15213
Canada,"Auld's Cove, NS",13846
Canada,"Back Bay, NB",13400
Canada,"Baddeck, CBI",13855
Canada,"Baffin Island, NL",15298
Canada,"Baie Comeau, QUE",13481
Canada,"Bath, ONT",1653
Canada,"Bathurst, NB",13458
Canada,"Bay Roberts, NFLD",15205
Canada,"Bayside, NB",13459
Canada,"Beale Cove, BC",12215
Canada,"Beauharnoi, QUE",1806
Canada,"Beaver Harbour, NB",13435
Canada,"Becancour, QUE",13441
Canada,"Bella Coola, BC",12216
Canada,"Belledune, NB",13442
Canada,"Blacks Harbor, NB",13450
Canada,"Bliss Harbor, NB",13400
Canada,"Blubber Bay, BC",12214
Canada,"Boca Sec, NB",13829
Canada,"Bonavista, NFLD",15200
Canada,"Botwood, NFLD",15214
Canada,"Bowmanville, ONT",9665
Canada,"Bridgeburg, ONT",9000
Canada,"Bridgetown, NS",13400
Canada,"Bridgewater, NS",13850
Canada,"Britt, ONT",1528
Canada,"Brockville, ONT",1694
Canada,"Bruce Mines, ONT",8526
Canada,"Bull Arm, NFLD",15201
Canada,"Burgeo, NFLD",15200
Canada,"Burnaby, BC",12495
Canada,"Butedale, BC",12200
Canada,"Cacouna, QUE",13410
Canada,"Campbell River, BC",12207
Canada,"Campbellton, NB",13444
Canada,"Campobello, NB",13445
Canada,"Cape Beale, BC",12213
Canada,"Carbonear, NFLD",15206
Canada,"Cardinal, ONT",1705
Canada,"Cayuga, ONT",2641
Canada,"Chance Harbor, NB",13445
Canada,"Chandler, QUE",13466
Canada,"Charlottetown, PEI",14471
Canada,"Chatham, NB",13460
Canada,"Chemainus, BC",12229
Canada,"Chicoutimi, QUE",13473
Canada,"Churchill, MAN",14001
Canada,"Clarenville, NFLD",15224
