Port_Code,Port_Name
3106.0,"Dalton Cache, AK"
3107.0,"Valdez, AK"
3111,"Oswego, NY"
3111.0,"Fairbanks, AK"
3112.0,"Petersburg, AK"
3115.0,"Sitka, AK"
3126.0,"Anchorage, AK"
3127.0,Kodiak
3181.0,Port Not on File
3198,"Monroe, MI"
3201,"Lake Erie, Including Upper Niagara River"
3201.0,"Honolulu, HI"
3202.0,"Hilo, HI"
3203.0,"Kahului, HI"
3204,"Toledo-Lucas County Port Authority, OH"
3204.0,"Nawilili-Pt Allen, HI"
3206.0,"Kona, HI"
3207.0,Port Not on File
3209.0,Port Not on File
3212,"Marblehead, OH"
3213,"Sandusky, OH"
3217,"Cleveland-Cuyahoga County, OH"
3219,"Ashtabula Port Authority, OH"
3221,"Erie, PA"
3226,"Buffalo Harbor, NY"
3227,"Conneaut, OH"
3230,"Buffalo, NY"
3235,"Lorain Port Authority, OH"
324,"Port of Davisville, RI"
3321,"Detroit/Wayne County Port Authority, MI"
3327.0,Port Not on File
3429.0,Port Not on File
3500,"Marine City, MI"
3501,"St. Clair River, MI"
3510.0,"Duluth, MN-Superior, WI"
3512,"Marysville, MI"
3516,"Port Huron, MI"
3603,"Saginaw River, MI"
3604.0,"Int. Falls-Ranier, MN"
3608.0,"Superior, WI"
3617,"Alpena, MI"
3619,"Presque Isle Township, MI"
3623,"St. Ignace, MI"
3627,"Clark Township, MI"
3629,"Cheboygan, MI"
3635,"Rogers City, MI"
3700,"Muskegon, MI"
3701,Lake Michigan
3701.0,"Milwaukee, WI"
3703.0,"Green Bay, WI"
3706.0,"Manitowoc, WI"
3721,"Holland, MI"
3726,"Grand Haven, MI"
3728,"Grand Haven Harbor and Grand River, MI"
3733,"St. Joseph Harbor, MI"
3743,"Northern Indiana Maritime District, IN"
3749,"Illinois International Port District, IL"
3756,"Port Milwaukee, WI"
3767,"Sturgeon Bay, WI"
3778,"Port of Green Bay, WI"
3782,"Manistee, MI"
3783,"Port of Ludington, MI"
3795,"Escanaba, MI"
3801.0,"Detroit, MI"
3802.0,"Port Huron, MI"
3803,"Mueller Township, MI"
3803.0,"Sault Ste. Marie, MI"
3804.0,Saginaw-Bay Cty-Flint MI
3806.0,Port Not on File
3808.0,"Escanaba, MI"
3809,St Mary's River-drummond Island Access
3809.0,"Marquette, MI"
3814.0,"Algonac, MI"
3815.0,"Muskegon, MI"
3816.0,"Grand Haven, MI"
3817,"Sault Ste Marie, MI"
3819.0,"Detour, MI"
3820.0,"Mackinac Island, MI"
3841,"Marquette, MI"
3843.0,"Alpena, MI"
3844.0,"Ferrysburg, MI"
3850,"Keweenaw Waterway, MI"
3852.0,Port Not on File
3879.0,Port Not on File
3901,Lake Superior
3901.0,"Chicago, IL"
3905.0,"Gary, IN"
3908.0,"Davenport-Rock Island,IL"
3924,"Duluth-Superior, MN and WI"
3926,"Two Harbors, MN"
398,"Port Authority of New York and New Jersey, NY & NJ"
399,"Northville, Long Island, NY"
400,"Chesapeake Bay, MD and VA"
401.0,"Boston, MA"
404.0,"Gloucester, MA"
405.0,"New Bedford, MA"
406.0,"Plymouth, MA"
407.0,"Fall River, MA"
409.0,"Provincetown, MA"
410.0,"Bridgeport, CT"
4101.0,"Cleveland, OH"
4102,"San Diego Unified Port District, CA"
4105.0,"Toledo-Sandusky, OH"
4106.0,"Erie, PA"
4108.0,"Ashtabula, OH"
4109.0,"Conneaut, OH"
4110,"Port of Long Beach, CA"
4110.0,Port Not on File
4111.0,"Fairport, OH"
412.0,"New Haven, CT"
4120,"Port of Los Angeles, CA"
4122.0,"Ashtabula/Conneaut, OH"
