Code,Sked_D_E,Port_Consolidated,Port_Coast,Port_Region, Action ,Note,Sked_D,Action
2610,"Sierra Vista, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2611,"Yuma, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2620,"Flagstaff, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2621,"Kingman, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2650,"Border Patrol Sector HQ, Tucson, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2651,"Casa Grande Arizona Border Patrol, Casa Grande, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2652,"Tucson Arizona Border Patrol, Tucson, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2653,"Nogales Arizona Border Patrol, Nogales, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2654,"Willcox Arizona Border Patrol, Willcox, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2655,"Douglas Arizona Border Patrol, Douglas, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2656,"Ajo Arizona Border Patrol, Why, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2657,"Naco Border Patrol, Bisbee, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2658,"Sonoita Arizona Border Patrol, Sonoita, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2681,"Scottsdale User Fee Airport, Scottsdale, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2682,"Phoenix-Mesa Gateway Airport, Mesa, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2704,"Los Angeles, California",LA-Long Beach,West,California,1,,"LOS ANGELES, CA",
2705,"Santa Ana/Orange, Santa Ana, California",Land Ports,Land  Ports,Land Ports,1,,,
2706,"Bakersfield, California",Land Ports,Land  Ports,Land Ports,1,,,
2707,"Port San Luis Harbor, Avila Beach, California",Land Ports,Land  Ports,Land Ports,1,,,
2709,"Long Beach, California",LA-Long Beach,West,California,1,,"LONG BEACH, CA",
2712,"Ventura, California",Land Ports,Land  Ports,Land Ports,1,,"VENTURA, CA",
2713,"Port Hueneme, California",LA-Long Beach,West,California,1,,"PORT HUENEME, CA",
2714,"San Bernardino, California",Land Ports,Land  Ports,Land Ports,1,,,
2715,"Capitan, California",Land Ports,Land  Ports,Land Ports,1,,"CAPITAN, CA",
2719,"Morro Bay, California",Land Ports,Land  Ports,Land Ports,1,,"MORRO BAY, CA",
2720,"Los Angeles International Airport, Los Angeles, California",Land Ports,Land  Ports,Land Ports,1,,"LOS ANGELES INTL AIRPORT, CA",
2721,"Ontario International Airport, Ontario, California",Land Ports,Land  Ports,Land Ports,1,,"ONTARIO INTL AIRPORT, CA",
2722,"Las Vegas, NV",Land Ports,Land  Ports,Land Ports,1,,"LAS VEGAS, NV",
2755,"Los Angeles Alternate, Los Angeles, California",Land Ports,Land  Ports,Land Ports,1,,,
2775,"Fedex Corp, Los Angeles, California",Land Ports,Land  Ports,Land Ports,1,,"TNT EXPRESS, LAX, CA",
2776,"International Bonded Couriers (IBC), Los Angeles, California",Land Ports,Land  Ports,Land Ports,1,,IBC PACIFIC,
2777,"Micom, Ingelwood, California",Land Ports,Land  Ports,Land Ports,1,,,
2781,"Palm Springs User Fee, Palm Springs, California",Land Ports,Land  Ports,Land Ports,1,,,
2782,"San Bernardino International Airport, San Bernardino, California",Land Ports,Land  Ports,Land Ports,1,,,
2783,"Southern California Logistics Airport, Victorville, California",Land Ports,Land  Ports,Land Ports,1,,,
2786,"Meadows Field Airport, Bakersfield, California",Land Ports,Land  Ports,Land Ports,1,,"MEADOWS FIELD AIRPORT, CA",
2787,"John Wayne User Fee Airport, Santa Ana, California",Land Ports,Land  Ports,Land Ports,1,,,
2788,"Van Nuys User Fee Airport, Van Nuys, California",Land Ports,Land  Ports,Land Ports,1,,,
2791,"DHL Hub, Los Angeles, California",Land Ports,Land  Ports,Land Ports,1,,"DHL-HUB, LOS ANGELES, CA",
2795,"UPS, Ontario, California",Land Ports,Land  Ports,Land Ports,1,,"UPS-ONTARIO, CA",
2801,"San Francisco International Airport, San Francisco, California",Land Ports,Land  Ports,Land Ports,1,,"SAN FRANCISCO INTL ARPT, CA",
2802,"Eureka, California",Land Ports,Land  Ports,Land Ports,1,,"EUREKA, CA",
2803,"Fresno, California",San Franciso,West,California,1,,"FRESNO, CA",
2805,"Monterey, California",Land Ports,Land  Ports,Land Ports,1,,"MONTEREY, CA",
2809,"San Francisco, California",San Franciso,West,California,1,,"SAN FRANCISCO, CA",
2810,"Stockton, California",San Franciso,West,California,1,,"STOCKTON, CA",
2811,"Oakland, California",San Franciso,West,California,1,,"OAKLAND, CA",
2812,"Richmond, California",San Franciso,West,California,1,,"RICHMOND,CA",
2815,"Crockett, California",San Franciso,West,California,1,,"CROCKETT,CA",
2817,"Redding, California",Land Ports,Land  Ports,Land Ports,1,,,
2818,"San Francisco IAP, San Francisco, California",Land Ports,Land  Ports,Land Ports,1,,,
2819,"Ogden, Utah",Land Ports,Land  Ports,Land Ports,1,,,
2820,"Martinez, California",San Franciso,West,California,1,,"MARTINEZ,CA",
2821,"Redwood City, California",San Franciso,West,California,1,,"REDWOOD CITY,CA",
2822,"Provo, Utah",Land Ports,Land  Ports,Land Ports,1,,,
2823,"St. George, Utah",Land Ports,Land  Ports,Land Ports,1,,,
2827,"Selby, California",Land Ports,Land  Ports,Land Ports,1,,"SELBY,CA",
2828,"San Joaquin River, California",San Franciso,West,California,1,,"SAN JUAQUIN RIVER,CA",
2829,"San Pablo Bay, California",San Franciso,West,California,1,,"SAN PABLO BAY,CA",
2830,"Carquinez Strait, California",San Franciso,West,California,1,,"CARQUINEZ STRAIT,CA",
2831,"Suisin Bay, California",San Franciso,West,California,1,,,
2833,"Reno, Nevada",Land Ports,Land  Ports,Land Ports,1,,"RENO, NV",
2834,"San Jose International Airport, California",Land Ports,Land  Ports,Land Ports,1,,"SAN JOSE INTL AIRPORT, CA",
2835,"Sacramento International Airport, Sacramento, California",Land Ports,Land  Ports,Land Ports,1,,"SACRAMENTO INT'L AIRPORT, CA",
2850,"Border Patrol Sector HQ, Dublin, California",Land Ports,Land  Ports,Land Ports,1,,,
2851,"Sacramento Border Patrol, Sacramento, California",Land Ports,Land  Ports,Land Ports,1,,,
2852,"Stockton California Border Patrol, Stockton, California",Land Ports,Land  Ports,Land Ports,1,,,
2853,"Fresno California Border Patrol, Fresno, California",Land Ports,Land  Ports,Land Ports,1,,,
2854,"Bakersfield California Border Patrol, Bakersfield, California",Land Ports,Land  Ports,Land Ports,1,,,
2855,"San Luis Obispo Border Patrol, San Luis Obispo, California",Land Ports,Land  Ports,Land Ports,1,,,
2895,"Fedex Courier Hub Facility, Oakland, California",Land Ports,Land  Ports,Land Ports,1,,"FEDEX, OAKLAND, CA",
2901,"Astoria, Oregon",Columbia River,West,Pacific Northwest,1,,"ASTORIA, OR",
2902,"Newport, Oregon",Columbia River,West,Pacific Northwest,1,,"NEWPORT, OR",
2903,"Coos Bay, Oregon",Columbia River,West,Pacific Northwest,1,,"COOS BAY, OR",
2904,"Portland, Oregon",Columbia River,West,Pacific Northwest,1,,"PORTLAND, OR",
3028,"Yakima, Washington",Land Ports,Land  Ports,Land Ports,1,,,
2907,"Boise, Idaho",Land Ports,Land  Ports,Land Ports,1,,"BOISE, ID",
3024,"Wenatchee, Washington",Land Ports,Land  Ports,Land Ports,1,,,
5754,"Wenatchee Washington Border Patrol, Wenatchee, Washington",Land Ports,Land  Ports,Land Ports,1,,,
2908,"Vancouver, Washington",Columbia River,West,Pacific Northwest,1,,"VANCOUVER, WA",
2911,"Twin Falls, Idaho",Land Ports,Land  Ports,Land Ports,1,,,
2912,"Idaho Falls, Idaho",Land Ports,Land  Ports,Land Ports,1,,,
2913,"Pueblo, Colorado",Land Ports,Land  Ports,Land Ports,1,,,
2914,"Durango, Colorado",Land Ports,Land  Ports,Land Ports,1,,,
2915,"Alamosa, Colorado",Land Ports,Land  Ports,Land Ports,1,,,
2916,"Grand Junction, Colorado",Land Ports,Land  Ports,Land Ports,1,,,
2917,"Glenwood Springs, Colorado",Land Ports,Land  Ports,Land Ports,1,,,
2918,"Craig, Colorado",Land Ports,Land  Ports,Land Ports,1,,,
2919,"Brush, Colorado",Land Ports,Land  Ports,Land Ports,1,,,
2920,"Cheyenne, Wyoming",Land Ports,Land  Ports,Land Ports,1,,,
2921,"Casper, Wyoming",Land Ports,Land  Ports,Land Ports,1,,,
2983,"Hillsboro Airport, Hillsboro, Oregon",Land Ports,Land  Ports,Land Ports,1,,,
3071,"UPS, Seattle, Washington",Land Ports,Land  Ports,Land Ports,1,,"UPS, SEATTLE, WA",
3095,"UPS Courier Hub, Seattle, Washington",Land Ports,Land  Ports,Land Ports,1,,"UPS, SEATTLE, WA",
3002,"Tacoma, Washington",Seattle-Tacoma,West,Pacific Northwest,1,,"TACOMA, WA",
3009,"Sumas, Washington",Land Ports,Land  Ports,Land Ports,1,,"SUMAS, WA",
3022,"Spokane, Washington",Seattle-Tacoma,West,Pacific Northwest,1,,"SPOKANE, WA",
5751,"Spokane Border Patrol, Spokane, Washington",Land Ports,Land  Ports,Land Ports,1,,,
7542,"Shannon IE Preclearance, Washington, DC",Land Ports,Land  Ports,Land Ports,1,,,
3029,"Seattle-Tacoma International Airport, Seattle, Washington",Land Ports,Land  Ports,Land Ports,1,,SEATTLE-TACOMA INTL ARPT,
3001,"Seattle, Washington",Seattle-Tacoma,West,Pacific Northwest,1,,"SEATTLE, WA",
2910,"Portland International Airport, Portland, Washington",Land Ports,Land  Ports,Land Ports,1,,"PORTLAND INTL AIRPORT, OR",
3008,"Port Townsend, Washington",Seattle-Tacoma,West,Pacific Northwest,1,,"PORT TOWNSEND, WA",
3099,"Port of Puget Sound, Seattle, Washington",Seattle-Tacoma,West,Pacific Northwest,1,,,
3007,"Port Angeles, Washington",Seattle-Tacoma,West,Pacific Northwest,1,,"PORT ANGELES, WA",
3054,"Port Angeles Border Patrol, Port Angeles, Washington",Land Ports,Land  Ports,Land Ports,1,,,
3017,"Point Roberts, Washington",Land Ports,Land  Ports,Land Ports,1,,"POINT ROBERTS, WA",
3030,"Pasco, Washington",Land Ports,Land  Ports,Land Ports,1,,,
5752,"Pasco Washington Border Patrol, Richland, Washington",Land Ports,Land  Ports,Land Ports,1,,,
3019,"Oroville, Washington",Land Ports,Land  Ports,Land Ports,1,,"OROVILLE, WA",
5753,"Oroville Washington Border Patrol, Oroville, Washington",Land Ports,Land  Ports,Land Ports,1,,,
3026,"Olympia, Washington",Seattle-Tacoma,West,Pacific Northwest,1,,"OLYMPIA, WA",
3011,"Nighthawk, Washington",Land Ports,Land  Ports,Land Ports,1,,"NIGHTHAWK, WA",
3025,"Metaline Falls, Washington",Land Ports,Land  Ports,Land Ports,1,,METALINE FALLS,
3023,"Lynden, Washington",Land Ports,Land  Ports,Land Ports,1,,"LYNDEN, WA",
3052,"Lynden Washington Border Patrol, Lynden, Washington",Land Ports,Land  Ports,Land Ports,1,,,
2905,"Longview, Washington",Columbia River,West,Pacific Northwest,1,,"LONGVIEW, WA",
3016,"Laurier, Washington",Land Ports,Land  Ports,Land Ports,1,,"LAURIER, WA",
3018,"Kenmore Air Harbor, Washington",Land Ports,Land  Ports,Land Ports,1,,"KENMORE AIR HARBOR, WA",
2909,"Kalama, Washington",Columbia River,West,Pacific Northwest,1,,"KALAMA, WA",
3082,"Grant County Airport, Moses Lake, Washington",Land Ports,Land  Ports,Land Ports,1,,GRANT COUNTY AIRPORT,
3020,"Frontier, Washington",Land Ports,Land  Ports,Land Ports,1,,"FRONTIER, WA",
3014,"Friday Harbor, Washington",Seattle-Tacoma,West,Pacific Northwest,1,,"FRIDAY HARBOR, WA",
3013,"Ferry, Washington",Land Ports,Land  Ports,Land Ports,1,,"FERRY, WA",
3006,"Everett, Washington",Seattle-Tacoma,West,Pacific Northwest,1,,"EVERETT, WA",
7541,"Dublin, IE Preclearance, Washington, DC",Land Ports,Land  Ports,Land Ports,1,,,
3073,"DHL Worldwide Express, Seatac, Washington",Land Ports,Land  Ports,Land Ports,1,,"DHL, SEATTLE, WA",
3012,"Danville, Washington",Land Ports,Land  Ports,Land Ports,1,,"DANVILLE, WA",
5759,"Curlew Washington Border Patrol, Curlew, Washington",Land Ports,Land  Ports,Land Ports,1,,,
5755,"Colville Washington Border Patrol, Colville, Washington",Land Ports,Land  Ports,Land Ports,1,,,
7425,"CBP, Punta Cana International Preclearance, Washington, DC",Land Ports,Land  Ports,Land Ports,1,,,
7423,"CBP, Nassau Preclearance, Washington, DC",Land Ports,Land  Ports,Land Ports,1,,,
3101,"Juneau, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,"JUNEAU, AK",
3102,"Ketchikan, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,"KETCHIKAN, AK",
3103,"Skagway, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,"SKAGWAY, AK",
3104,"Alcan, Alaska",Land Ports,Land  Ports,Land Ports,1,,"ALCAN, AK",
3105,"Wrangell, Alaska",Land Ports,Land  Ports,Land Ports,1,,"WRANGELL, AK",
3106,"Dalton Cache, Alaska",Land Ports,Land  Ports,Land Ports,1,,"DALTON CACHE, AK",
3111,"Fairbanks, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,"FAIRBANKS, AK",
3115,"Sitka, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,"SITKA, AK",
3124,"Pelican, Alaska",Land Ports,Land  Ports,Land Ports,1,,,
3126,"Anchorage, Alaska","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,"ANCHORAGE, AK",
3181,"Saint Paul Airport, Anchorage, Alaska",Land Ports,Land  Ports,Land Ports,1,,,
3195,"Federal Express Courier Hub, Anchorage, Alaska",Land Ports,Land  Ports,Land Ports,1,,"FEDEX, ANCHORAGE, AK",
3196,"UPS Courier Hub, Anchorage, Alaska",Land Ports,Land  Ports,Land Ports,1,,"UPS, ANCHORAGE, AK",
3201,"Honolulu, Hawaii","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,"HONOLULU, HI",
3202,"Hilo, Hawaii","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,"HILO, HI",
3203,"Kahului, Hawaii","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,"KAHULUI, HI",
3204,"Nawiliwili-Port Allen, Hawaii",Land Ports,Land  Ports,Land Ports,1,,"NAWILIWILI-PORT ALLEN,HI",
3205,"Honolulu International Airport, Honolulu, Hawaii",Land Ports,Land  Ports,Land Ports,1,,"HONOLULU INTL AIRPRT, HI",
3206,"Kona, Hawaii","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,"KONA, HI",
3207,"Guam Preclearance, Tamuning, Guam",Land Ports,Land  Ports,Land Ports,1,,,
3208,"North Mariana Island, Guam","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,,
3209,"American Samoa, Guam","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,,
3210,"Guam, Maite, Guam","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,,
3211,"Saipan, Tamuning, Guam","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,,
3212,"Tinian, Tamuning, Guam","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,,
3213,"Rota, Tamuning, Guam","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",1,,,
3279,"FedEx ECCF, Honolulu, Hawaii",Land Ports,Land  Ports,Land Ports,1,,,
3301,"Raymond, Montana",Land Ports,Land  Ports,Land Ports,1,,"RAYMOND, MT",
3302,"Eastport, Idaho",Land Ports,Land  Ports,Land Ports,1,,"EASTPORT, ID",
3303,"Salt Lake City, Utah",Land Ports,Land  Ports,Land Ports,1,,"SALT LAKE CITY, UT",
3304,"Great Falls, Montana",Land Ports,Land  Ports,Land Ports,1,,"GREAT FALLS, MT",
3305,"Butte, Montana",Land Ports,Land  Ports,Land Ports,1,,"BUTTE, MT",
3306,"Turner, Montana",Land Ports,Land  Ports,Land Ports,1,,"TURNER, MT",
3307,"Denver, Colorado",Land Ports,Land  Ports,Land Ports,1,,"DENVER, CO",
3308,"Porthill, Idaho",Land Ports,Land  Ports,Land Ports,1,,"PORTHILL, ID",
3309,"Scobey, Montana",Land Ports,Land  Ports,Land Ports,1,,"SCOBY, MT",
3310,"Sweetgrass, Montana",Land Ports,Land  Ports,Land Ports,1,,"SWEETGRASS, MT",
3316,"Piegan, Montana",Land Ports,Land  Ports,Land Ports,1,,"PIEGAN, MT",
3317,"Opheim, Montana",Land Ports,Land  Ports,Land Ports,1,,"OPHEIM, MT",
3318,"Roosville, Montana",Land Ports,Land  Ports,Land Ports,1,,"ROOSVILLE, MT",
3319,"Morgan, Montana",Land Ports,Land  Ports,Land Ports,1,,"MORGAN, MT",
3321,"Whitlash, Montana",Land Ports,Land  Ports,Land Ports,1,,"WHITLASH, MT",
3322,"Del Bonita, Montana",Land Ports,Land  Ports,Land Ports,1,,"DEL BONITA, MT",
3323,"Wildhorse, Montana",Land Ports,Land  Ports,Land Ports,1,,"WILDHORSE, MT",
3324,"Kalispell Airport, Montana",Land Ports,Land  Ports,Land Ports,1,,KALISPELL AIRPORT,
3325,"Willow Creek, Montana",Land Ports,Land  Ports,Land Ports,1,,"HAVRE, MT",
3326,"Billings, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3327,"Vancouver, BC, Canada",Land Ports,Land  Ports,Land Ports,1,,,
3328,"Calgary, Alberta, Canada",Land Ports,Land  Ports,Land Ports,1,,,
3329,"Edmonton, Alberta, Canada",Land Ports,Land  Ports,Land Ports,1,,,
3348,"Helena, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3350,"Border Patrol Sector HQ, Havre, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3351,"Havre Montana Border Patrol, Havre, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3352,"Malta Montana Border Patrol, Malta, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3353,"Billings Border Patrol, Billings Montana",Land Ports,Land  Ports,Land Ports,1,,,
3354,"Twin Falls Border Patrol, Twin Falls, Idaho",Land Ports,Land  Ports,Land Ports,1,,,
3355,"Shelby Montana Border Patrol, Shelby, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3356,"Sweetgrass Montana Border Patrol, Sweetgrass, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3357,"St. Mary Montana Border Patrol, Babb, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3358,"Plentywood Montana Border Patrol, Plentywood, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3359,"Scobey Montana Border Patrol, Scobey, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3381,"Missoula User Fee Airport, Missoula, Montana",Land Ports,Land  Ports,Land Ports,1,,,
3383,"Jeffco User Fee Airport, Broofield, Colorado",Land Ports,Land  Ports,Land Ports,1,,,
3384,"Centennial Airport, Englewood, Colorado",Land Ports,Land  Ports,Land Ports,1,,"CENTENNIAL AIRPORT, CO",
3385,"Eagle County Regional Airport, Gypsum, Colorado",Land Ports,Land  Ports,Land Ports,1,,EAGLE COUNTY REGIONAL AIRPORT,
3386,"Bozeman Yellowstone User Fee Airport, Belgrade, Montana",Land Ports,Land  Ports,Land Ports,1,,"BOZEMAN YELLOWSTONE USER FEE AIRPORT, BELGRADE, MT",
3401,"Pembina, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"PEMBINA, ND",
3403,"Portal, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"PORTAL, ND",
3404,"Neche, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"NECHE, ND",
3405,"St. John, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"ST JOHN, ND",
3406,"Northgate, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"NORTHGATE, ND",
3407,"Walhalla, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"WALHALLA, ND",
3408,"Hannah, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"HANNAH, ND",
3409,"Sarles, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"SARLES, ND",
3410,"Ambrose, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"AMBROSE, ND",
3411,"Fargo International Airport, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"FARGO,ND",
3412,"Fargo, Grand Forks, North Dakota",Land Ports,Land  Ports,Land Ports,1,,,
3413,"Antler, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"ANTLER, ND",
3414,"Sherwood, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"SHERWOOD, ND",
3415,"Hansboro, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"HANSBORO, ND",
3416,"Maida, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"MAIDA, ND",
3417,"Fortuna, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"FORTUNA, ND",
3419,"Westhope, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"WESTHOPE, ND",
3420,"Noonan, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"NOONAN, ND",
3421,"Carbury, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"CARBURY, ND",
3422,"Dunseith, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"DUNSEITH, ND",
3423,"Warroad, Minnesota",Land Ports,Land  Ports,Land Ports,1,,"WARROAD, MN",
3424,"Baudette, Minnesota",Land Ports,Land  Ports,Land Ports,1,,"BAUDETTE, MN",
3425,"Pinecreek, Minnesota",Land Ports,Land  Ports,Land Ports,1,,"PINECREEK, MN",
3426,"Roseau, Minnesota",Land Ports,Land  Ports,Land Ports,1,,"ROSEAU, MN",
3427,"Grand Forks Airport, Grand Forks, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"GRAND FORKS, ND",
3428,"Winnipeg International Airport, Winnipeg, Canada",Land Ports,Land  Ports,Land Ports,1,,,
3429,"Crane Lake, Minnesota",Land Ports,Land  Ports,Land Ports,1,,,
3430,"Lancaster, Minnesota",Land Ports,Land  Ports,Land Ports,1,,"LANCASTER, MN",
3431,"Minot, North Dakota",Land Ports,Land  Ports,Land Ports,1,,,
3432,"Grand Forks, North Dakota",Land Ports,Land  Ports,Land Ports,1,,,
3433,"Williston Airport, Williston, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"WILLISTON AIRPORT, ND",
3434,"Minot Airport, Minot, North Dakota",Land Ports,Land  Ports,Land Ports,1,,"MINOT AIRPORT, ND",
3450,"Border Patrol Sector HQ, Grand Forks, North Dakota",Land Ports,Land  Ports,Land Ports,1,,,
3451,"Grand Forks Border Patrol, Grand Forks, North Dakota",Land Ports,Land  Ports,Land Ports,1,,,
3452,"Portal North Dakota Border Patrol, Portal, North Dakota",Land Ports,Land  Ports,Land Ports,1,,,
3453,"Bottineau Border Patrol, Bottineau, North Dakota",Land Ports,Land  Ports,Land Ports,1,,,
3454,"Pembina (Noyes) Border Patrol, Hallock, Minnesota",Land Ports,Land  Ports,Land Ports,1,,,
3455,"International Falls Border Patrol, International Falls, Minnesota",Land Ports,Land  Ports,Land Ports,1,,,
3456,"Warroad Border Patrol, Warroad, Minnesota",Land Ports,Land  Ports,Land Ports,1,,,
3457,"Duluth Border Patrol, Duluth, Minnesota",Land Ports,Land  Ports,Land Ports,1,,,
3458,"Grand Marais Border Patrol, Grand Marais, Minnesota",Land Ports,Land  Ports,Land Ports,1,,,
3499,"Pembina Cartage Control, Pembina, North Dakota",Land Ports,Land  Ports,Land Ports,1,,,
3501,"Minneapolis-St. Paul, Minnesota",Land Ports,Land  Ports,Land Ports,1,,"MINNEAPOLIS-ST. PAUL, MN",
3502,"Sioux Falls, South Dakota",Land Ports,Land  Ports,Land Ports,1,,"SIOUX FALLS, S.D.",
3503,"Rapid City, South Dakota",Land Ports,Land  Ports,Land Ports,1,,,
3505,"Cedar Rapids, Iowa",Land Ports,Land  Ports,Land Ports,1,,,
3507,"Grand Island, Nebraska",Land Ports,Land  Ports,Land Ports,1,,,
3508,"North Platte, Nebraska",Land Ports,Land  Ports,Land Ports,1,,,
3510,"Duluth, Wisconsin",Duluth,Great Lakes,Great Lakes,1,,"DULUTH, MN-SUPERIOR, WI",
3511,"Ashland, Wisconsin",Duluth,Great Lakes,Great Lakes,1,,"ASHLAND, WI",
3512,"Omaha, Nebraska",Land Ports,Land  Ports,Land Ports,1,,"OMAHA, NE",
3513,"Des Moines, Iowa",Land Ports,Land  Ports,Land Ports,1,,"DES MOINES, IA",
3581,"Rochester, Minnesota User Fee Airport",Land Ports,Land  Ports,Land Ports,1,,"ROCHESTER USER FEE AIRP, ROCHESTER, MN",
3604,"International Falls, Minnesota",Land Ports,Land  Ports,Land Ports,1,,"INTERNATIONAL FALLS-RANIER, MN",
3613,"Grand Portage, Minnesota",Land Ports,Land  Ports,Land Ports,1,,"GRAND PORTAGE, MN",
3701,"Milwaukee, Wisconsin",Detroit-Milwaukee,Great Lakes,Great Lakes,1,,"MILWAUKEE, WI",
3702,"Marinette, Wisconsin",Detroit-Milwaukee,Great Lakes,Great Lakes,1,,"MARINETTE, WI",
3703,"Green Bay, Wisconsin",Detroit-Milwaukee,Great Lakes,Great Lakes,1,,"GREEN BAY, WI",
3706,"Manitowoc, Wisconsin",Detroit-Milwaukee,Great Lakes,Great Lakes,1,,"MANITOWOC, WI",
3707,"Sheboygan, Wisconsin",Detroit-Milwaukee,Great Lakes,Great Lakes,1,,,
3708,"Racine, Wisconsin",Detroit-Milwaukee,Great Lakes,Great Lakes,1,,"RACINE, WI",
3781,"Appleton International Airport, Appleton, Wisconsin",Land Ports,Land  Ports,Land Ports,1,,,
3801,"Detroit, Michigan",Land Ports,Land  Ports,Land Ports,1,,"DETROIT, MI",
3802,"Port Huron, Michigan",Land Ports,Land  Ports,Land Ports,1,,"PORT HURON, MI",
3803,"Sault Ste Marie, Michigan",Land Ports,Land  Ports,Land Ports,1,,"SAULT STE. MARIE, MI",
3804,"Saginaw/Bay City, Michigan",Land Ports,Land  Ports,Land Ports,1,,"SAGINAW/BAY CITY, MI",
3805,"Battle Creek, Michigan",Land Ports,Land  Ports,Land Ports,1,,"BATTLE CREEK, MI",
3806,"Grand Rapids, Michigan",Land Ports,Land  Ports,Land Ports,1,,"GRAND RAPIDS, MI",
3807,"Detroit Metropolitan Airport, Michigan",Land Ports,Land  Ports,Land Ports,1,,"DETROIT METRO AIRPORT, DETROIT, MI",
3808,"Escanaba, Michigan",Detroit-Milwaukee,Great Lakes,Great Lakes,1,,"ESCANABA, MI",
3809,"Marquette, Michigan",Land Ports,Land  Ports,Land Ports,1,,"MARQUETTE, MI",
3814,"Algonac, Michigan",Land Ports,Land  Ports,Land Ports,1,,"ALGONAC, MI",
3815,"Muskegon, Michigan",Detroit-Milwaukee,Great Lakes,Great Lakes,1,,"MUSKEGON, MI",
3816,"Grand Haven, Michigan",Land Ports,Land  Ports,Land Ports,1,,"GRAND HAVEN, MI",
3818,"Rogers City, Michigan",Land Ports,Land  Ports,Land Ports,1,,"ROGERS CITY, MI",
3819,"Detour City, Michigan",Land Ports,Land  Ports,Land Ports,1,,"DETOUR, MI",
3822,"South Haven, Michigan",Land Ports,Land  Ports,Land Ports,1,,,
3842,"Presque Island, Michigan",Land Ports,Land  Ports,Land Ports,1,,"PRESQUE ISLE, MI",
3843,"Alpena, Michigan",Land Ports,Land  Ports,Land Ports,1,,"ALPENA, MI",
3850,"Border Patrol Sector HQ, Selfridge Angb, Michigan",Land Ports,Land  Ports,Land Ports,1,,,
