Code,Sked_D_E,Port_Consolidated,Port_Coast,Port_Region, Action ,Note,Sked_D,Action
0157,"Calais Border Patrol, Calais, Maine",Land Ports,Land  Ports,Land Ports,1,,,
1581,"Charlotte-Monroe User Fee Airport, Monroe, North Carolina",Land Ports,Land  Ports,Land Ports,1,,,
1601,"Charleston, South Carolina",South Carolina Ports,East,South Atlantic,1,,"CHARLESTON, SC",
1602,"Georgetown, South Carolina",South Carolina Ports,East,South Atlantic,1,,"GEORGETOWN, SC",
1603,"Greenville-Spartanburg, South Carolina",Land Ports,Land  Ports,Land Ports,1,,"GREENVILLE-SPARTANBRG, SC",
1604,"Columbia, South Carolina",Land Ports,Land  Ports,Land Ports,1,,"COLUMBIA, SC",
1608,"Greer, South Carolina",Land Ports,Land  Ports,Land Ports,1,,,
1681,"Myrtle Beach International Airport, Myrtle Beach, South Carolina",Land Ports,Land  Ports,Land Ports,1,,"MYRTLE BEACH INTL AIRPORT, SC",
1701,"Brunswick, Georgia",Georgia Ports,East,South Atlantic,1,,"BRUNSWICK, GA",
1703,"Savannah, Georgia",Georgia Ports,East,South Atlantic,1,,"SAVANNAH, GA",
1704,"Atlanta, Georgia",Land Ports,Land  Ports,Land Ports,1,,"ATLANTA, GA",
1705,"Albany, Georgia",Land Ports,Land  Ports,Land Ports,1,,,
1706,"Dalton, Georgia",Land Ports,Land  Ports,Land Ports,1,,,
1709,"Hartsfield Airport, Atlanta, Georgia",Land Ports,Land  Ports,Land Ports,1,,,
1755,"Port for Tracking, Savannah, Georgia",Land Ports,Land  Ports,Land Ports,1,,,
1758,"Olympics Security, Atlanta, Georgia",Land Ports,Land  Ports,Land Ports,1,,,
1759,"Atlanta-Olympics, Atlanta, Georgia",Land Ports,Land  Ports,Land Ports,1,,,
1781,"Cobb County International Airport, Kenshaw, Georgia",Land Ports,Land  Ports,Land Ports,1,,,
1801,"Tampa, Florida",Tampa,Gulf,Gulf East,1,,"TAMPA, FL",
1803,"Jacksonville, Florida",North Florida,East,South Atlantic,1,,"JACKSONVILLE, FL",
1804,"Tallahassee, Florida",Land Ports,Land  Ports,Land Ports,1,,,
1805,"Fernandina Beach, Florida",North Florida,East,South Atlantic,1,,"FERNANDINA BEACH, FL",
1807,"Boca Grande, Florida",Land Ports,Land  Ports,Land Ports,1,,"BOCA GRANDE, FL",
1808,"Orlando, Florida",Land Ports,Land  Ports,Land Ports,1,,"ORLANDO, FL",
