USACE_PORT,USACE_PORT_NAME,Census_Code,Census_Sked_D_E,Port_Consolidated,Port_Coast,Port_Region,Match_Type
2008,"Theodore Ship Channel, AL",,,Mobile,Gulf,Gulf East,State Fallback
2012,"Houston Ship Channel, TX",5301,"Houston, Texas",Houston,Gulf,North Texas,City+State Exact
2014,"Clear Creek, TX",,,Sabine River,Gulf,North Texas,State Fallback
2017,"Jacksonville, FL",1803,"Jacksonville, Florida",North Florida,East,South Atlantic,City+State Exact
2021,"Tampa Port Authority, FL",1801,"Tampa, Florida",Tampa,Gulf,Gulf East,City+State Exact
2030,"Port of Iberia District, LA",,,New Orleans,Gulf,Gulf East,State Fallback
2031,"Port of Houston Authority of Harris County, TX",5301,"Houston, Texas",Houston,Gulf,North Texas,Manual Override
2032,"Mobile, AL",1901,"Mobile, Alabama",Mobile,Gulf,Gulf East,City+State Exact
2066,"Barataria Bay Waterway, LA",,,New Orleans,Gulf,Gulf East,State Fallback
2082,GIWW Morgan City-Port Allen Landside Route (Bayou Boeuf),,,,,,NO MATCH
2087,"Morgan City Harbor and Terminal District, LA",2001,"Morgan City, Louisiana",New Orleans,Gulf,Gulf East,City+State Exact
2107,"St. Lucie Inlet, FL",1814,"St. Petersburg, Florida",Land Ports,Land  Ports,Land Ports,City Fuzzy+State
2111,"Key West Harbor, FL",5202,"Key West, Florida",Land Ports,Land Ports,Land Ports,City+State Exact
2139,"Fajardo, PR",4904,"Fajardo, Puerto Rico","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",City+State Exact
2142,"Virgin Islands Port Authority - St. Johns, VI",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
2151,"Ponce Port Authority, PR",4908,"Ponce, Puerto Rico","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",City+State Exact
2152,"Guayanilla Harbor, PR",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
2160,"Canaveral Port District, FL",1816,"Port Canaveral, Florida",North Florida,East,South Atlantic,Manual Override
2162,"Palm Beach Harbor, FL",,,South Florida,East,South Atlantic,State Fallback
2177,"Tallaboa Bay, PR",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
2196,"Chickasaw Creek, AL",,,Mobile,Gulf,Gulf East,State Fallback
2199,"Bayou La Batre, AL",,,Mobile,Gulf,Gulf East,State Fallback
2220,"Yabucoa, PR",,,"Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",State Fallback
2224,"Terrebonne Parish Port Commission, LA",,,New Orleans,Gulf,Gulf East,State Fallback
2248,"Lake Charles Harbor and Terminal District, LA",2017,"Lake Charles, Louisiana",Lake Charles,Gulf,Gulf East,City+State Exact
2251,"Port of New Orleans, LA",2002,"New Orleans, Louisiana",New Orleans,Gulf,Gulf East,City+State Exact
2252,"Port of Greater Baton Rouge, LA",2004,"Baton Rouge, Louisiana",New Orleans,Gulf,Gulf East,Manual Override
2253,"Port of South Louisiana, LA",,,New Orleans,Gulf,Gulf East,State Fallback
2255,"Plaquemines Port, Harbor and Terminal District, LA",,,New Orleans,Gulf,Gulf East,State Fallback
2391,"Sabine Pass, TX",2102,"Sabine, Texas",Sabine River,Gulf,North Texas,City Fuzzy+State
2393,"Beaumont, TX",2104,"Beaumont, Texas",Sabine River,Gulf,North Texas,City+State Exact
2397,"Sabine Pass Port Authority, TX",2102,"Sabine, Texas",Sabine River,Gulf,North Texas,City Fuzzy+State
2398,"Orange County Navigation and Port District, TX",2103,"Orange, Texas",Sabine River,Gulf,North Texas,City Fuzzy+State
2408,"Port Freeport, TX",2101,"Port Arthur, Texas",Sabine River,Gulf,North Texas,City Fuzzy+State
2416,"Port Arthur, TX",2101,"Port Arthur, Texas",Sabine River,Gulf,North Texas,City+State Exact
