year,port,commodity,vessels,certificates,metric_tons,long_tons,wtd_avg_sf,wtd_avg_sf_untrimmed,wtd_avg_test_weight,min_sf,max_sf,sf_stddev
1984,Houston,CORN,80,100,1373671.0,1351973.0,48.64,51.56,57.32,48.64,48.64,0.0
1984,Houston,SORGHUM,69,111,1917005.0,1886725.0,47.86,50.73,58.26,47.86,47.86,0.0
1984,Houston,SOYBEANS,7,7,98377.0,96823.0,49.79,52.77,56.0,49.79,49.79,0.0
1984,Houston,WHEAT,401,556,13651558.0,13435950.0,45.71,48.45,61.0,45.71,45.71,0.0
1984,Lake Charles,SORGHUM,1,1,3873.0,3812.0,47.86,50.73,58.26,47.86,47.86,
1984,Lake Charles,SOYBEANS,25,27,271691.0,267399.0,49.79,52.77,56.0,49.79,49.79,0.0
1984,Lake Charles,WHEAT,117,129,2954871.0,2908200.0,45.71,48.45,61.0,45.71,45.71,0.0
1984,Mississippi River,BARLEY,3,3,47105.0,46361.0,55.93,59.29,49.85,55.93,55.93,0.0
1984,Mississippi River,CORN,724,1064,27062975.0,26635547.0,48.64,51.56,57.32,48.64,48.64,0.0
1984,Mississippi River,OATS,3,3,2531.0,2490.0,64.29,68.14,43.37,64.29,64.29,0.0
1984,Mississippi River,SORGHUM,132,151,2759758.0,2716169.0,47.86,50.73,58.26,47.86,47.86,0.0
1984,Mississippi River,SOYBEANS,361,472,13636953.0,13421571.0,49.79,52.77,56.0,49.79,49.79,0.0
1984,Mississippi River,WHEAT,349,566,8490180.0,8356088.0,45.71,48.45,61.0,45.71,45.71,0.0
1984,Mobile,CORN,44,52,596890.0,587465.0,48.64,51.56,57.32,48.64,48.64,0.0
1984,Mobile,SOYBEANS,52,57,1139664.0,1121663.0,49.79,52.77,56.0,49.79,49.79,0.0
1984,Mobile,WHEAT,32,34,729220.0,717702.0,45.71,48.45,61.0,45.71,45.71,0.0
1984,Puget Sound (Seattle-Tacoma),CORN,90,121,4898404.0,4821042.0,48.64,51.56,57.32,48.64,48.64,0.0
1984,Puget Sound (Seattle-Tacoma),SORGHUM,8,10,135500.0,133360.0,47.86,50.73,58.26,47.86,47.86,0.0
1984,Puget Sound (Seattle-Tacoma),SOYBEANS,22,23,470374.0,462946.0,49.79,52.77,56.0,49.79,49.79,0.0
1984,Puget Sound (Seattle-Tacoma),WHEAT,23,66,727330.0,715841.0,45.71,48.45,61.0,45.71,45.71,0.0
1984,South Atlantic,BARLEY,11,12,242852.0,239015.0,55.93,59.29,49.85,55.93,55.93,0.0
1984,South Atlantic,CORN,111,130,3908550.0,3846821.0,48.64,51.56,57.32,48.64,48.64,0.0
1984,South Atlantic,SOYBEANS,37,44,1139240.0,1121249.0,49.79,52.77,56.0,49.79,49.79,0.0
1984,South Atlantic,WHEAT,39,51,1046708.0,1030175.0,45.71,48.45,61.0,45.71,45.71,0.0
1985,Columbia River,BARLEY,11,23,290838.0,286244.0,55.83,59.19,49.94,54.74,57.11,0.519
1985,Columbia River,CORN,65,86,4074609.0,4010258.0,49.28,52.23,56.6,48.64,52.07,0.949
