Cert_Date,Vessel,Port,Field_Office,Grain_Countries,Grain_Grades,Grain_Tons,Inspection_Count,Vessel_Norm,Port_Norm
2023-02-04,MELOI,S. ATLANTIC,TOLEDO,TUNISIA,2 O/B,31209,1,MELOI,S. ATLANTIC
2023-09-03,MENARO,S. TEXAS,LEAGUE CITY,CHINA,2 O/B,69250,1,MENARO,S. TEXAS
2023-07-06,MENOMONEE,MISSISSIPPI R.,NEW ORLEANS,ECUADOR,2 O/B,27964,1,MENOMONEE,MISSISSIPPI R.
2023-01-15,MERCURY SKY,COLUMBIA R.,PACIFICNW,KOREA REP,1,7870,1,MERCURY SKY,COLUMBIA R.
2023-01-16,MERCURY SKY,COLUMBIA R.,PACIFICNW,KOREA REP,1,18606,1,MERCURY SKY,COLUMBIA R.
2023-01-17,MERCURY SKY,COLUMBIA R.,PACIFICNW,KOREA REP,1,28523,2,MERCURY SKY,COLUMBIA R.
2023-06-13,MERCURY SKY,MISSISSIPPI R.,NEW ORLEANS,JAPAN,3 O/B,15267,1,MERCURY SKY,MISSISSIPPI R.
2023-06-14,MERCURY SKY,MISSISSIPPI R.,NEW ORLEANS,JAPAN,2 O/B,2820,1,MERCURY SKY,MISSISSIPPI R.
2023-06-16,MERCURY SKY,MISSISSIPPI R.,NEW ORLEANS,JAPAN,3 O/B,34212,2,MERCURY SKY,MISSISSIPPI R.
2023-04-09,MERRY MARIE,MISSISSIPPI R.,NEW ORLEANS,PANAMA,2 O/B,5350,1,MERRY MARIE,MISSISSIPPI R.
2023-04-10,MERRY MARIE,MISSISSIPPI R.,NEW ORLEANS,PANAMA,2 O/B,21916,3,MERRY MARIE,MISSISSIPPI R.
2023-01-14,MERRY MARIE,N. TEXAS,LEAGUE CITY,ALGERIA,2 O/B,29527,1,MERRY MARIE,N. TEXAS
2023-11-15,MG MERCURY,MISSISSIPPI R.,NEW ORLEANS,SPAIN,2 O/B,61655,1,MG MERCURY,MISSISSIPPI R.
2023-10-07,MH ARPEGGIO,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,30075,1,MH ARPEGGIO,COLUMBIA R.
2023-10-08,MH ARPEGGIO,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,18349,1,MH ARPEGGIO,COLUMBIA R.
2023-12-10,MH ARPEGGIO,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,11531,1,MH ARPEGGIO,COLUMBIA R.
2023-12-12,MH ARPEGGIO,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,37010,2,MH ARPEGGIO,COLUMBIA R.
2023-11-03,MH SANDEFJORD,MISSISSIPPI R.,NEW ORLEANS,HONDURAS,2 O/B,49215,1,MH SANDEFJORD,MISSISSIPPI R.
2023-11-27,MH SANDEFJORD,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,55648,1,MH SANDEFJORD,MISSISSIPPI R.
2023-02-23,MICHALIS,N. TEXAS,LEAGUE CITY,ITALY,2 O/B,34193,1,MICHALIS,N. TEXAS
2023-09-13,MIEDWIE,DULUTH-SUP,TOLEDO,ALGERIA,2 O/B,19527,1,MIEDWIE,DULUTH-SUP
2023-12-30,MIMITSU,MISSISSIPPI R.,NEW ORLEANS,MEXICO,2 O/B,36299,1,MIMITSU,MISSISSIPPI R.
2023-01-18,MINANUR CEBI 1,S. ATLANTIC,TOLEDO,VENEZUELA,2 O/B,5500,1,MINANUR CEBI 1,S. ATLANTIC
2023-11-28,MINERVAGRACHT,DULUTH-SUP,TOLEDO,ITALY,2 O/B,8551,1,MINERVAGRACHT,DULUTH-SUP
2023-06-10,MINNEAPOLIS MIYO,MISSISSIPPI R.,NEW ORLEANS,MEXICO,2 O/B,36079,2,MINNEAPOLIS MIYO,MISSISSIPPI R.
2023-01-18,MISSION REVIVAL,COLUMBIA R.,PACIFICNW,CHILE,2 O/B,47723,1,MISSION REVIVAL,COLUMBIA R.
2023-05-13,MISTRAL I,COLUMBIA R.,PACIFICNW,PHILIPPINES,2 O/B,22000,1,MISTRAL I,COLUMBIA R.
2023-05-14,MISTRAL I,COLUMBIA R.,PACIFICNW,PHILIPPINES,2 O/B,44000,1,MISTRAL I,COLUMBIA R.
2023-10-31,MITOSE,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,66515,1,MITOSE,COLUMBIA R.
2023-02-04,MIYAMA,PUGET SOUND,PACIFICNW,CHINA,2 O/B,59925,1,MIYAMA,PUGET SOUND
2023-01-28,MOLYVOS LUCK,COLUMBIA R.,PACIFICNW,PHILIPPINES,2 O/B,55100,2,MOLYVOS LUCK,COLUMBIA R.
2023-12-23,MOLYVOS LUCK,COLUMBIA R.,PACIFICNW,PHILIPPINES,2 O/B,12478,1,MOLYVOS LUCK,COLUMBIA R.
2023-12-10,MONDIAL SUN,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,21413,1,MONDIAL SUN,COLUMBIA R.
2023-12-11,MONDIAL SUN,COLUMBIA R.,PACIFICNW,JAPAN,3 O/B,44777,1,MONDIAL SUN,COLUMBIA R.
2023-09-28,MONT FORT,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,70525,1,MONT FORT,MISSISSIPPI R.
2023-02-08,MONTEGO BAY,MISSISSIPPI R.,NEW ORLEANS,HONDURAS,2 O/B,7996,1,MONTEGO BAY,MISSISSIPPI R.
2023-02-09,MONTEGO BAY,MISSISSIPPI R.,NEW ORLEANS,HONDURAS,2 O/B,8250,1,MONTEGO BAY,MISSISSIPPI R.
2023-04-24,MONTEGO BAY,MISSISSIPPI R.,NEW ORLEANS,COLOMBIA,2 O/B,15130,1,MONTEGO BAY,MISSISSIPPI R.
2023-02-13,MONTEVIDEO,MISSISSIPPI R.,NEW ORLEANS,GUATEMALA,2 O/B,32750,1,MONTEVIDEO,MISSISSIPPI R.
2023-10-19,MOON GLOBE,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,63099,1,MOON GLOBE,COLUMBIA R.
2023-12-09,MOON GLOBE,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,62901,1,MOON GLOBE,COLUMBIA R.
2023-01-05,MOONBEAM,COLUMBIA R.,PACIFICNW,TAIWAN,1,7003,1,MOONBEAM,COLUMBIA R.
2023-01-09,MOONBEAM,COLUMBIA R.,PACIFICNW,TAIWAN,1,11781,1,MOONBEAM,COLUMBIA R.
2023-01-10,MOONBEAM,COLUMBIA R.,PACIFICNW,TAIWAN,1,21656,1,MOONBEAM,COLUMBIA R.
2023-06-08,MOONBEAM,MISSISSIPPI R.,NEW ORLEANS,JAPAN,3 O/B,22567,1,MOONBEAM,MISSISSIPPI R.
2023-06-09,MOONBEAM,MISSISSIPPI R.,NEW ORLEANS,JAPAN,3 O/B,27463,2,MOONBEAM,MISSISSIPPI R.
2023-09-19,MOONDANCE II,MISSISSIPPI R.,NEW ORLEANS,GERMANY,2 O/B,51173,1,MOONDANCE II,MISSISSIPPI R.
2023-10-29,MORNING TRAIN,MISSISSIPPI R.,NEW ORLEANS,JAPAN,1,4501,1,MORNING TRAIN,MISSISSIPPI R.
2023-10-30,MORNING TRAIN,MISSISSIPPI R.,NEW ORLEANS,JAPAN,2 O/B,45344,1,MORNING TRAIN,MISSISSIPPI R.
2023-11-18,MORPHOU,PUGET SOUND,PACIFICNW,CHINA,2 O/B,69159,1,MORPHOU,PUGET SOUND
2023-04-29,MOUNT ASO,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,35217,2,MOUNT ASO,COLUMBIA R.
2023-03-07,MP ULTRAMAX 1,MISSISSIPPI R.,NEW ORLEANS,GERMANY,2 O/B,57373,1,MP ULTRAMAX 1,MISSISSIPPI R.
2023-07-04,MP ULTRAMAX 1,MISSISSIPPI R.,NEW ORLEANS,COLOMBIA,2 O/B,8800,1,MP ULTRAMAX 1,MISSISSIPPI R.
2023-07-06,MP ULTRAMAX 1,MISSISSIPPI R.,NEW ORLEANS,COLOMBIA,2 O/B,12198,1,MP ULTRAMAX 1,MISSISSIPPI R.
2023-02-06,MP ULTRAMAX 2,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,49987,1,MP ULTRAMAX 2,MISSISSIPPI R.
2023-01-11,MSXT ARTEMIS,S. ATLANTIC,TOLEDO,CHINA,2 O/B,52450,1,MSXT ARTEMIS,S. ATLANTIC
2023-01-06,MSXT ATHENA,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,71212,1,MSXT ATHENA,MISSISSIPPI R.
2023-12-22,MSXT ATHENA,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,68012,1,MSXT ATHENA,MISSISSIPPI R.
