Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note
80,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 7217 statistical alignment (83.5% consensus, 2049 tons remaining)"
81,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8480 statistical alignment (71.4% consensus, 1806 tons remaining)"
82,Break Bulk,General Cargo,Project,Vehicles,2,NONE,,,"HS4 3307 statistical alignment (90.3% consensus, 1603 tons remaining)"
83,Liquid Bulk,Agricultural,Animal Fats,Animal Fats,2,NONE,,,"HS4 1302 statistical alignment (84.8% consensus, 1504 tons remaining)"
84,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8207 statistical alignment (78.9% consensus, 1492 tons remaining)"
85,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8543 statistical alignment (70.0% consensus, 1422 tons remaining)"
86,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8450 statistical alignment (93.3% consensus, 1399 tons remaining)"
87,Break Bulk,Forestry,Pulp & Paper,Lumber,2,NONE,,,"HS4 4409 statistical alignment (83.9% consensus, 1328 tons remaining)"
88,Break Bulk,General Cargo,General Cargo,General Cargo Catchall,2,NONE,,,"HS4 3208 statistical alignment (84.6% consensus, 1124 tons remaining)"
89,Dry Bulk,Carbon Products,Coal,Coal,2,NONE,,,"HS4 2701 statistical alignment (100.0% consensus, 1043 tons remaining)"
