Carrier,Carrier Name,action,Group,Commodity,Cargo,CargoDetail
MLAA,Mol Chemical Tankers Pte Ltd,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
MIMA,Minerva Marine Inc,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
CPUK,Cape Management Company Inc,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
STSO,St Shipping Transport Pte Ltd,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
NPLW,Navig8 Pte Ltd,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
PPDP,Pleiades Shipping Agents Sa,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
STZW,Stolt Tankers Bv,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
TKSD,Tsakos Shipping And Trading S A Of Panama,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
MAET,Maersk Tankers,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
LPLC,Loop Llc,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
OTUS,Odfjell Tankers As,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
OFCW,Oldendorff Carriers,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
ULTH,Ultrabulk,"no matches, carrier handles more one type of cargo, will have to leave for later stage",Dry Bulk,,,
PBIM,Pacific Basin Supramax Limited,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
PBIH,Pacific Basin Handysize Ltd,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
WBCP,Western Bulk Carriers As,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
