Carrier,Carrier Name,action,Group,Commodity,Cargo,CargoDetail
GNSC,GREENSEA INC,Exclude,,,,
GRPG,GREY SHIPS LIMITED,Exclude,,,,
GMGO,GRIMALDI GROUP S P A,Exclude,,,,
GSGK,GTS SHIPMANAGEMENT GMBH & CO KG,Exclude,,,,
GSDR,GUANGDONG SEA-DREAMS LOGISTICS TECHNOLOGY CO LTD,Exclude,,,,
GUCC,GULF ENERGY MARITIME (GEM) PJSC,Exclude,,,,
GHSC,GULF HARBOR SHIPPING LLC,Exclude,,,,
GMCE,GULF MARINE CONTRACTORS,Exclude,,,,
GLFS,GULFSTREAM LINE INC,Exclude,,,,
GVWS,GULFVIEW SHIPPING CO S A,Exclude,,,,
GUNG,GUNGEN DENIZCILIK VE TICARET A S,Exclude,,,,
HYHC,H Y H CONTAINER LINE,Exclude,,,,
HFCM,H. FOLMER & CO. I/S,Exclude,,,,
SUDU,HAMBURG SUED,Exclude,,,,
HITP,HANKYU HANSHIN EXPRESS (USA) INC,Exclude,,,,
HCLL,HANSEATIC CONTAINER LINE LTD,Exclude,,,,
HLCU,HAPAG LLOYD A G,Exclude,,,,
HKNT,HARKEN TOWING CO LTD,Exclude,,,,
HGCH,HARPAINGAS GMBH & CO KG,Exclude,,,,
HSBV,HARTMAN SEATRADE BV,Exclude,,,,
HYSL,HECNY SHIPPING LIMITED,Exclude,,,,
HRMA,HEEREMA MARINE CONTRACTORS,Exclude,,,,
HMBR,HELMSLEY MANAGEMENT LLC,Exclude,,,,
HCLE,HELVETIA CONTAINER LINE,Exclude,,,,
HTMC,HENRY TANKER COMPANY LLC,Exclude,,,,
HDES,HERPORT,Exclude,,,,
HSCW,HIGHLINK SHIPPING,Exclude,,,,
HFZI,HN FIVE ZERO FOUR SIX (HN5046) LIMITED,Exclude,,,,
HTKY,HOLLIS TRUCKING COMPANY,Exclude,,,,
HONW,HONG GLORY INTERNATIONAL SHIPPING COMPANY LIMITED,Exclude,,,,
HMLQ,HONOLULU MARINE LLC,Exclude,,,,
HNLT,HONOUR LANE SHIPPING LTD,Exclude,,,,
HORI,HORIZON LINE S A,Exclude,,,,
HOSC,HORNBECK OFFSHORE SERVICES LLC,Exclude,,,,
HYPA,HS HYOSUNG GLOBAL LOGISTICS VINA COMPANY LIMITED,Exclude,,,,
HYBU,HYBUR LTD,Exclude,,,,
HNVD,HYDROUSSA NAVIGATION LTD.,Exclude,,,,
HYDW,HYDRUS SHIPPING & TRADING S A,Exclude,,,,
IFFQ,IFF INC,Exclude,,,,
IHBS,IHB SHIPPING CO LTD,Exclude,,,,
IINO,"IINO KAIUN KAISHA, LTD.",Exclude,,,,
IMLF,ILIADA MARITIME LTD,Exclude,,,,
ISCA,IMA SHIPPING CO LTD,Exclude,,,,
IMQD,IMPERATIVE LOGISTICS LLC,Exclude,,,,
IILU,INDEPENDENT CONTAINER LINE LTD,Exclude,,,,
ISAN,INFINITY S A,Exclude,,,,
ICLD,INTERGIS CO LTD,Exclude,,,,
ITGB,INTERGLOBO NORTH AMERICA INC,Exclude,,,,
IUSI,INTERLOG USA INC,Exclude,,,,
IFTC,INTERNATIONAL FREIGHT TRANSPORT INC,Exclude,,,,
INPA,INTERNATIONAL PACIFIC HALIBUT COMMISSION,Exclude,,,,
IMST,INTERORIENT MARINE SERVICES LTD,Exclude,,,,
INZP,INTERORIENT SHIPMANAGEMENT CYPRUS LIMITED,Exclude,,,,
INUI,INUI GLOBAL LOGISTICS CO LTD,Exclude,,,,
ISWN,ISEWAN USA INC,Exclude,,,,
ISLT,ISLAND TUG & BARGE,Exclude,,,,
JASR,JADE ALLIANCE SHIPPING PTE LTD,Exclude,,,,
JDNR,JAN DE NUL US,Exclude,,,,
JLCE,JAPAN LOGISTICS CORPORATION,Exclude,,,,
JAPT,JAPAN TRUST CO LTD,Exclude,,,,
BWLE,JAS FORWARDING (H.K.) LIMITED,Exclude,,,,
JOBE,JONES MARINE GROUP,Exclude,,,,
JHVA,"JONES, HARVEY VESSEL AGENTS INC",Exclude,,,,
JSSY,JOO SUNG SEA & AIR CO LTD,Exclude,,,,
JSKY,JSK LINES,Exclude,,,,
JOLM,JUPITER ONE (1) LIMTED,Exclude,,,,
JSLN,JUPITER SIXTEEN (16) LIMITED,Exclude,,,,
JPTL,JUPITER TWO (2) LIMTED,Exclude,,,,
JMLY,JUST MARINE LOGISTICS LLC,Exclude,,,,
KSIP,K SHIPS DENIZCILIK TICARET LIMITED SIRKETI,Exclude,,,,
KMGM,KAMIGUMI CO LTD,Exclude,,,,
KTOE,KANARIS TWENTY ONE (21) LTD,Exclude,,,,
GKLN,"KARL GROSS LOGISTICS (USA), INC.",Exclude,,,,
KRLN,KARLIN NAVIGATION LTD,Exclude,,,,
KLJC,KASY LOGISTICS (TIANJIN) CO LTD,Exclude,,,,
KWCH,KAWANISHI WAREHOUSE CO LTD,Exclude,,,,
KEOM,KEMOR SHIPPING INC,Exclude,,,,
KFUN,KERRY FREIGHT (USA) INC,Exclude,,,,
KLQI,KESCO LOGISTICS INC,Exclude,,,,
KOSL,KING OCEAN SERVICES LIMITED INC,Exclude,,,,
KSHV,KING SHIPPING COMPANY,Exclude,,,,
KWLD,KINGWOOD LOGISTICS LTD,Exclude,,,,
KWEO,KINTETSU WORLD EXPRESS INC,Exclude,,,,
KSEA,KIRBY OFFSHORE MARINE,Exclude,,,,
KSEN,KNUTSEN O A S SHIPPING A/S,Exclude,,,,
KOSA,KOKUKA SANGYO,Exclude,,,,
KSSE,KSS LINE LTD,Exclude,,,,
KLTM,KYRAKATINGO LTD,Exclude,,,,
LULM,LANDBRIDGE UNIVERSAL LIMITED,Exclude,,,,
LSLG,LANDSTAR GLOBAL LOGISTICS INC,Exclude,,,,
LGSW,LATGAS SA,Exclude,,,,
LLMG,LATSCO LNG MARINE MANAGEMENT INC,Exclude,,,,
LSBV,LAYLA SHIPPING BV,Exclude,,,,
LDOM,LD FREIGHT SOLUTIONS,Exclude,,,,
LSEL,LD SEAPLANE S A S,Exclude,,,,
LJIT,LEI TENG ENTERPRISE LIMITED,Exclude,,,,
LIST,LEMAN A/S,Exclude,,,,
LSLF,LEMISSOLER SHIPMANAGEMENT LTD,Exclude,,,,
LPUS,LINEA PENINSULAR INC,Exclude,,,,
LIVQ,LISBON SHIPPING,Exclude,,,,
LLME,LOAD LINE MARINE SA,Exclude,,,,
LRVS,LOCHER EVERS INTERNATIONAL,Exclude,,,,
LSKH,LOGIMARK SHIPPING LINE LIMITED,Exclude,,,,
LGWD,LOGISTEED EXPRESS LTD,Exclude,,,,
VHFL,LOGISTEED EXPRESS LTD F/K/A VANTEC HTS FORWARDING LTD,Exclude,,,,
LPLM,LOGISTICS PLUS,Exclude,,,,
LGXB,LOGX LLC,Exclude,,,,
LPRO,LP GLOBAL (FREIGHT WATCH LLC D/B/A),Exclude,,,,
MCPV,MAC SUPPLY CHAIN SOLUTIONS PVT LTD,Exclude,,,,
MAEU,MAERSK LINE,Exclude,,,,
MAEI,MAERSK LINE LIMITED,Exclude,,,,
MZLY,MAERSK LOGISTICS & SERVICES INTL A/S,Exclude,,,,
MFCH,MAGNUM FREIGHT CORPORATION,Exclude,,,,
MBCL,"MAILBOAT COMPANY LTD, THE",Exclude,,,,
MFGT,MAINFREIGHT INC,Exclude,,,,
MALY,MALLORY TRANSPORTATION,Exclude,,,,
MDNC,MANTA DENIZCILIK NAKLIYAT VE TI LTD STI,Exclude,,,,
MAAV,MARAN GAS MARITIME INC,Exclude,,,,
MFUS,MARFRET CONTAINER LINES,Exclude,,,,
MFYD,MARGARITAVILLE AT SEA,Exclude,,,,
MXRS,MARINE EXPRESS INC,Exclude,,,,
MNWE,MARINE TRANS USA LLC,Exclude,,,,
MDUI,MARINETRANS INDIA LIMITED,Exclude,,,,
MBVV,MARLA TRADING,Exclude,,,,
MDVI,MARTI DENIZCILIK VE GEMI ISLETMECILIGI A S,Exclude,,,,
MFWS,MARYAM SHIPPING S A,Exclude,,,,
MATS,MATSON NAVIGATION CO,Exclude,,,,
MLIL,MAXWIDE LOGISTICS INC,Exclude,,,,
MFNO,MCFEI TECHNOLOGY & LOGISTICS CO LTD,Exclude,,,,
MLCW,MCLEAN CARGO SPECIALISTS (DIVISION OF CRANE WORLDWIDE LOGISTICS LLC),Exclude,,,,
MCLM,MCL-MULTI CONTAINER LINE INC,Exclude,,,,
MDIA,MEDITERRANEA DI NAVIGAZIONE,Exclude,,,,
MESP,MEGA SHIPPING LIMITED,Exclude,,,,
MMLK,MERCATOR MARINE LINE,Exclude,,,,
MEMW,MERIDIAN MARINE CO LTD,Exclude,,,,
METR,MERTECH GRACE SHIPPING B.V.,Exclude,,,,
MZLM,MERZARIO LIMITED,Exclude,,,,
MGSC,MID-GULF SHIPPING CO INC,Exclude,,,,
MGYA,MIKLAGARD S GEMI ISLETMECILIGI VE TICARET A S,Exclude,,,,
MQRW,MILLENARY SHIPPING LTD,Exclude,,,,
MPOD,MILLER PRECAST LTD,Exclude,,,,
MNVG,MINERVA GAS INC,Exclude,,,,
MIQO,MIQ LOGISTICS,Exclude,,,,
MGNG,MIRAGROWN LOGISTICS CORPORATION,Exclude,,,,
MSBY,MISSION SHIPPING CO LTD,Exclude,,,,
MQLA,MITSUBISHI LOGISTICS AMERICA CORPORATION,Exclude,,,,
MUIK,MITSUI-SOKO CO LTD,Exclude,,,,
MLBG,MLB GMBH & CO KG,Exclude,,,,
MLNH,MLB LOGISTICS,Exclude,,,,
MMSM,MMS,Exclude,,,,
MKBQ,MOCKINGBIRD TRANSPORT INC,Exclude,,,,
MHCK,MOHAWK GLOBAL LOGISTICS CORP,Exclude,,,,
MLGD,MOL LOGISTICS (USA) INC,Exclude,,,,
MLOV,MOL LOGISTICS CO LTD,Exclude,,,,
MPKS,MONTEC SHIP MANAGEMENT DMCC,Exclude,,,,
MOXR,MORRISON EXPRESS CORPORATION (USA),Exclude,,,,
MPRG,MPRS SHIPPING & LOGISTICS PVT LTD,Exclude,,,,
MEDU,MSC MEDITTERRANEAN SHIPPING COMPANY SA,Exclude,,,,
MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,Exclude,,,,
MOSJ,MULTIMODAL OCEAN SERVICES COMPANY INTERNATIONAL LIMITED,Exclude,,,,
MHGQ,MURREE HILLS GROUP OF COMPANIES INC,Exclude,,,,
MVUB,MV TINTO SHIPPING LTD,Exclude,,,,
NAQA,NACA (VANGUARD LOGISTICS SERVICES),Exclude,,,,
NGTL,NAIGAI TRANS LINES LTD,Exclude,,,,
NSQL,NAKILAT SHIPPING (QATAR) LIMITED,Exclude,,,,
NJGP,NANJING PETROLEUM TRANSPORTATION(S) PTE.LTD,Exclude,,,,
NCAT,NARVAL CHARTERING AND TRADING S A,Exclude,,,,
NBBQ,NARWHAL SHIPPING LLC,Exclude,,,,
NBAH,NASSAU ENERGY INC,Exclude,,,,
NBHL,NAT BERMUDA HOLDINGS LIMITED,Exclude,,,,
NFZB,NAVISTAR FZCO,Exclude,,,,
NSVM,NEBE SHIPPING LIMITED,Exclude,,,,
NPDT,NEPTUNE PACIFIC DIRECT LINE PTE LTD,Exclude,,,,
NFGW,NEW AMITY SHIPPING & TRADING INC,Exclude,,,,
NMCO,NEW MARINE CONSOLIDATOR CO LTD,Exclude,,,,
NWPA,NEWPORT S A,Exclude,,,,
NSOM,NEXANS SUBSEA OPERATIONS AS,Exclude,,,,
NLGL,"NEXT LOGISTICS GROUP, LLC",Exclude,,,,
NFNG,NFENERGIA LLC,Exclude,,,,
NMCW,NIEVES MARITIME CORP,Exclude,,,,
NIAV,NINGBO BONDED AREA XINLIANDA LOGISTICS CO LTD,Exclude,,,,
NPKP,NIPPON KONPO UNYU SOKO CO LTD,Exclude,,,,
NISG,NIRIIS SHIPPING S A,Exclude,,,,
NMTE,NMT LINES,Exclude,,,,
NNRG,NNR GLOBAL LOGISTICS,Exclude,,,,
NGLG,NNR GLOBAL LOGISTICS (SHANGHAI) CO LTD,Exclude,,,,
NWBJ,NOBLE WORLDWIDE LOGISTICS LLC,Exclude,,,,
NMIN,NORA MARINE INC,Exclude,,,,
NSUD,NORBULK SHIPPING UK LTD,Exclude,,,,
NSDS,NORD-SUD SHIPPING INC,Exclude,,,,
NSAJ,NORTHCLIFFE OCEAN SHIPPING & TRADING INC,Exclude,,,,
NLIR,NORTON LILLY INTERNATIONAL,Exclude,,,,
NOCL,NORWEGIAN CRUISE LINES,Exclude,,,,
ASGN,NTG AIR & OCEAN LLC F/K/A ARIES GLOBAL LOGISTICS INC,Exclude,,,,
NCLI,NVO CONSOLIDATION LINES,Exclude,,,,
NXGW,NX GLOBAL OCEAN NETWORK PTE.LTD.,Exclude,,,,
NYKE,NYK ENERGY TRANSPORT (ATLANTIC) LTD,Exclude,,,,
OBEP,OCEAN BLUE EXPRESS INC,Exclude,,,,
OFEL,OCEAN FREIGHT EXPRESS LLC,Exclude,,,,
ONEY,OCEAN NETWORK EXPRESS PTE LTD,Exclude,,,,
OWLQ,OCEAN WIDE LOGISTICS INC,Exclude,,,,
OAFH,OCEANAIR FORWARDING INC,Exclude,,,,
OCBS,OCEANBRIDGE SHIPPING LTD,Exclude,,,,
OCCQ,OCEANIA CRUISES INC,Exclude,,,,
OIAG,OIA GLOBAL LOGISTICS,Exclude,,,,
OCCA,OMAN CHARTER COMPANY SAOC,Exclude,,,,
OSMY,OMAN SHIP MANAGEMENT COMPANY S A O C,Exclude,,,,
OERT,ORIENT EXPRESS CONTAINER CO LTD,Exclude,,,,
OOLU,ORIENT OVERSEAS CONTAINER LINE LTD,Exclude,,,,
OSLN,ORIENT STAR LOGIX CO LTD,Exclude,,,,
OMCI,ORION MARINE CONSTRUCTION INC,Exclude,,,,
OSMR,OSG SHIP MANAGEMENT INC,Exclude,,,,
OSMH,OSM SHIP MANAGEMENT AS,Exclude,,,,
OVOC,OVEROCEANS INC,Exclude,,,,
OWLV,OW LOGISTICS USA LLC,Exclude,,,,
PWOP,P TWO P (P2P) LOGISTICS,Exclude,,,,
PSEA,PACIFIC STAR EXPRESS (CHINA) CO LTD,Exclude,,,,
PICJ,PACTRA INTERNATIONAL CO LTD,Exclude,,,,
PSHF,PAPA SHIPPING CO (HELLAS) S A,Exclude,,,,
PGDH,PARISI GRAND SMOOTH LOGISTICS LTD,Exclude,,,,
PSGP,"PASHA GROUP, THE",Exclude,,,,
PLGJ,PATSON LOGISTICS LIMITED,Exclude,,,,
PGAA,PEGASUS LOGISTICS GROUP,Exclude,,,,
PGSM,PEGASUS MARITIME INC,Exclude,,,,
PUSJ,PELORUS SHIPPING LINE LIMITED,Exclude,,,,
PEMY,PEMONT LTD,Exclude,,,,
PSQJ,PENANSHIN SHIPPING PTE LTD,Exclude,,,,
PVID,PENAVICO INTERNATIONAL LOGISTICS CO LTD,Exclude,,,,
PEZN,PERFORMANCE SHIPPING MANAGEMENT INC,Exclude,,,,
PEXF,PETCO TRADING (UK) LIMITED,Exclude,,,,
PRGH,PETER DOEHLE SCHIFFAHRTS-KG,Exclude,,,,
PIFL,PINNACLE INTERNATIONAL FREIGHT LTD,Exclude,,,,
PSLY,PLATIA SHIPPING LTD,Exclude,,,,
PMTE,PMI TRADING LIMITED,Exclude,,,,
PNSJ,PNS NETWORKS CO LTD,Exclude,,,,
PONP,POINTER TRANSPORT LLC,Exclude,,,,
PCMV,PORT CITY MARINE SERVICES,Exclude,,,,
PFWD,PORT FORWARDING INC,Exclude,,,,
PBAQ,POWER BEYOND BELIEF LLC,Exclude,,,,
PCSJ,PRIMA CORPORATION S A,Exclude,,,,
PRIM,PRIME SHIPPING INTERNATIONAL INC,Exclude,,,,
PBSM,PRIMEBULK SHIPMANAGEMENT LTD,Exclude,,,,
PNSS,PRINCESS CRUISES,Exclude,,,,
PSPR,PROPEL SHIPPING PTE LTD,Exclude,,,,
PSBD,PROSMO SOLUTIONS INCORPORATED,Exclude,,,,
PRYY,PRYSMIAN CABLES AND SYSTEMS USA LLC,Exclude,,,,
PSLD,PSILI SHIPPING LIMITED,Exclude,,,,
PPIL,PUDONG PRIME INTL LOGISTICS INC,Exclude,,,,
PUTY,PURPLE SHIPS LIMITED,Exclude,,,,
PMSO,PURUS MARINE TECH PTE. LTD.,Exclude,,,,
PURV,PURVIS MARINE,Exclude,,,,
PXGE,PXGEO US INC,Exclude,,,,
PYMN,PYRAMID LINES SINGAPORE PTE LTD,Exclude,,,,
PSBF,PYRAMOS SHIPPING LTD,Exclude,,,,
PMCW,PYXIS MARITIME CORP.,Exclude,,,,
QLND,Q LINE,Exclude,,,,
QSBV,Q SHIPPING B V,Exclude,,,,
QZIA,QINGDAO ZHUOSHIFENG INTERNATIONAL LOGISTICS CO LTD,Exclude,,,,
QRSM,QUALITY RED SHIPPING LINE LIMITED,Exclude,,,,
RIII,RADIUS INTERNATIONAL INC,Exclude,,,,
RAMD,RAMINATRANS SL,Exclude,,,,
RLCL,RAMSES LOGISTICS CO LTD,Exclude,,,,
RLYT,REAL LOGISTICS CO LTD,Exclude,,,,
RSMV,RED SEA MARINE SERVICES,Exclude,,,,
RNKO,REEDEREI NORD GMBH,Exclude,,,,
RGLW,REGENCY GLOBAL LOGISTICS,Exclude,,,,
RSSC,REGENT SEVEN SEAS CRUISES INC,Exclude,,,,
RLFD,RELIANCE FINANCE CO LTD,Exclude,,,,
RIAV,RIA LOGISTICS LLC,Exclude,,,,
RIMY,RICHARD MURRAY & CO.,Exclude,,,,
RWPL,RIF WORLDWIDE PLC,Exclude,,,,
RIMH,RIM LOGISTICS LTD,Exclude,,,,
RCYK,"RITZ-CARLTON YACHT COLLECTION, THE",Exclude,,,,
RLUS,ROHLIG USA LLC,Exclude,,,,
RSEC,ROSE CONTAINERLINE INC,Exclude,,,,
RSMT,ROSS MARITIME INC,Exclude,,,,
RWRD,ROUND-THE-WORLD LOGISTICS (USA) CORP,Exclude,,,,
RJGS,"ROUSSOS, J G SHIPPING SA",Exclude,,,,
RCCU,ROYAL CARIBBEAN CRUISE LINE,Exclude,,,,
SBUD,S BULKERS LTD,Exclude,,,,
SSLL,SACO SHIPPING LINE LIMITED,Exclude,,,,
SWLV,SAFEWATER LINES INDIA PRIVATE LIMITED,Exclude,,,,
SFOK,SAFROUND LOGISTICS CO LTD,Exclude,,,,
TZJN,SAMSON LOGISTIQUES,Exclude,,,,
SNHP,SANCO HOLDING AS,Exclude,,,,
SYUQ,SANKYU INC,Exclude,,,,
SYXO,SAR TRANSPORT SYSTEMS PRIVATE LIMITED,Exclude,,,,
SASM,SAS COMPAGNIE MARITIME NANTAISE- MN,Exclude,,,,
SVDL,SAVINO DEL BENE S P A,Exclude,,,,
SDBJ,SAVINO DEL BENE USA INC,Exclude,,,,
SSPB,SBL USA INC,Exclude,,,,
SBZY,SBS TOSHIBA LOGISTICS CORPORATION,Exclude,,,,
SGBW,SCAN GLOBAL LOGISTICS,Exclude,,,,
SNSG,SCAN-SHIPPING INC,Exclude,,,,
SCQH,SCANWELL CONTAINER LINE LTD,Exclude,,,,
SLRM,SCORPIO LR TWO (2) POOL LTD,Exclude,,,,
SSMV,SCORPIO SHIP MANAGEMENT SAM,Exclude,,,,
SDAL,SDA LOGISTICS CO LTD,Exclude,,,,
SEJG,SE JUNG SHIPPING CO LTD,Exclude,,,,
SXUQ,SEA BRIDGE SHIPPING MANAGEMENT CO LTD,Exclude,,,,
SKMG,SEA HAWK MARINE LOGISTICS LLC,Exclude,,,,
SJHH,SEA LEAD SHIPPING PTE LTD,Exclude,,,,
SOFO,SEA OG OFFSHORE LLC,Exclude,,,,
SMLU,SEABOARD MARINE LTD,Exclude,,,,
SCBL,SEABOURN CRUISE LINE (HOLLAND AMERICA LINE NV),Exclude,,,,
SBCG,SEABRIDGE MARINE SERVICES LTD,Exclude,,,,
SECV,SEACAT LINE,Exclude,,,,
SGOI,SEAFRIGO USA INC,Exclude,,,,
SRKF,SEAGUARDIAN TANKER LIMITED,Exclude,,,,
SEBT,"SEAJACKS UK, LTD",Exclude,,,,
SMOY,SEAPEAK MARITIME LIMITED,Exclude,,,,
SGTY,SEASPAN ENERGY LIMITED,Exclude,,,,
QEBQ,SEASPAN SHIP MANAGEMENT LTD,Exclude,,,,
SFNG,SEAWAY 7 US INC,Exclude,,,,
SWLD,SEAWORLD MANAGEMENT & TRADING,Exclude,,,,
SEIN,"SEINO LOGIX CO.,LTD.",Exclude,,,,
QEML,SEKO CONTAINER LINES PTE. LTD.,Exclude,,,,
SGTQ,SERVIPORT MARINE LINE (SVL) CORP,Exclude,,,,
SGLS,SGL EXPRESS LINE,Exclude,,,,
SFZI,SHANGHAI ALLIANCE INTERNATIONAL FREIGHT FORWARDING CO LTD,Exclude,,,,
SVIV,SHANGHAI EVEREST INTERNATIONAL LOGISTICS CO LTD,Exclude,,,,
SSNF,SHANGHAI SUPREME INTERNATIONAL FREIGHT FORWARDING CO LTD,Exclude,,,,
SZHE,SHANGHAI ZHENHUA SHIPPING CO LTD,Exclude,,,,
SHRA,SHARE LOGISTICS INC,Exclude,,,,
MUWR,SHENZHEN MAOTENG SUPPLY CHAIN MANAGEMENT CO LTD,Exclude,,,,
SZNG,SHENZHEN PERWAYS LOGISTICS CO LTD,Exclude,,,,
SHPT,SHIPCO TRANSPORT INC,Exclude,,,,
SCYE,SIEM CAR CARRIERS AS,Exclude,,,,
SVSC,SILVERSEA CRUISES LTD,Exclude,,,,
SNYP,SINERGY CARGO MANAGEMENT ITALY SRL,Exclude,,,,
SSCC,SINOTRANS SOUTH CHINA CONTAINER LOGISTICS CO LTD,Exclude,,,,
SXCO,SINPEX CONNECTION LOGISTICS LTD,Exclude,,,,
SYGO,SKY G LOGISTICS LIMITED,Exclude,,,,
SVWH,SKYVIEW MARINE CO S A,Exclude,,,,
SMLM,SM LINE CORPORATION,Exclude,,,,
SQXN,SMART SOLUTIONS LINE FZE,Exclude,,,,
SNHB,SOONEST EXPRESS INC,Exclude,,,,
SAIJ,SOUTH AMERICAN INDEPENDENT LINE,Exclude,,,,
SDAO,SOUTHEAST DEVELOPMENT AND TRANSPORTATION,Exclude,,,,
SUGD,SP CRUISES OPCO LIMITED,Exclude,,,,
SQHA,SPANACO SIX,Exclude,,,,
SXLM,SPARX LOGISTICS USA LIMITED,Exclude,,,,
SLCC,"SPEEDIER LOGISTIC CO.,LTD.",Exclude,,,,
SVCN,SPRING VALLEY SHIPPING MANAGEMENT,Exclude,,,,
SSHG,SPRINGFIELD SHIPPING CO PANAMA SA,Exclude,,,,
SABC,STAR ASIA INTERNATIONAL INC,Exclude,,,,
TCMA,STATU GEMI KIRALAMA TIC LTD STI,Exclude,,,,
SYNY,STENERSEN CHARTERING,Exclude,,,,
SUBS,SUBSEA SEVEN 7 (US) LLC,Exclude,,,,
SAAV,SUISSE ATLANTIQUE SOCIETE DE NAVIGATION MARITIME SA,Exclude,,,,
SGBO,SUMISHO GLOBAL LOGISTICS CO LTD,Exclude,,,,
SUWH,"SUMITOMO WAREHOUSE CO LTD, THE",Exclude,,,,
SSCN,SUNGWON SEA & AIR CO LTD,Exclude,,,,
SNYL,SUNNY INTERNATIONAL LOGISTICS INC,Exclude,,,,
SUPS,SUPER TRANS LINES INC,Exclude,,,,
SYLC,SUZHOU YUN LOGISTICS TECHNOLOGY CO LTD,Exclude,,,,
SIFK,SWIFT CARGO INC,Exclude,,,,
SYGR,SYNERGY GROUP,Exclude,,,,
SYJN,SYNERGY MARINE COMMERCIAL MANAGEMENT PTE LTD,Exclude,,,,
THGL,T H I LOGISTICS CO LTD,Exclude,,,,
TWMF,TAEWOONG LOGISTICS CO LTD,Exclude,,,,
TXSL,TAICANG XINTAI INTERNATIONAL SHIPPING AGENCY CO LTD,Exclude,,,,
TKAS,TAKASE ADD SYSTEM INC,Exclude,,,,
TLSW,TALOS PRODUCTION LLC,Exclude,,,,
TDGT,TANDEM GLOBAL LOGISTICS,Exclude,,,,
THNO,TECHNIP UK LIMITED,Exclude,,,,
TMAY,TEEGRUS MANAGEMENT & AGENCY INC,Exclude,,,,
TFMA,TFMARINE INC,Exclude,,,,
GOLA,THE GREAT OCEAN LINE PTE. LTD.,Exclude,,,,
THJF,THOMAS MARINE LAUNCH SERVICES,Exclude,,,,
TIDL,TIDE LINE INC,Exclude,,,,
TIDM,TIDEWATER MARINE LLC,Exclude,,,,
TMDL,TMS CARDIFF GAS LTD,Exclude,,,,
TSUS,TMT USA INC,Exclude,,,,
TOCC,TOCAT TRANSPORTATION LLC,Exclude,,,,
TGFH,TOLL GLOBAL FORWARDING (HONG KONG) LIMITED,Exclude,,,,
TLEI,TOP LINE LOGISTICS INC,Exclude,,,,
TOWJ,"TOP STAR EXPRESS TAIWAN CO., LTD.",Exclude,,,,
TQPI,TOPASIA INTERNATIONAL LOGISTICS CO LIMITED,Exclude,,,,
TCFL,TOPIC FLEET (MARFIN MANAGEMENT S A M),Exclude,,,,
TSYH,TOTAL TRANSPORT SYSTEMS PVT LTD,Exclude,,,,
TMGT,TOTE MARITIME PUERTO RICO LLC,Exclude,,,,
TFKK,TOYOFUJI SHIPPING CO LTD,Exclude,,,,
TSSK,TRAFALGAR SQUARE SHIPPING COMPANY LIMITED,Exclude,,,,
TZMC,TRANS ATLANTIK DENIZCILIK LIMITED SIRKETI,Exclude,,,,
TGFD,TRANS GLOBAL FREIGHT MANAGEMENT LTD,Exclude,,,,
TSVC,TRANS SERVICE LINE,Exclude,,,,
TCQD,TRANSATLANTICA COMMODITIES PTE LTD,Exclude,,,,
TSJL,TRANSCONTAINER LTD,Exclude,,,,
TGSI,TRANSGAS SHIPPING LINES,Exclude,,,,
TLKP,TRANSLINK SHIPPING INC,Exclude,,,,
TODW,TRANSOCEAN DEEPWATER DRILLING INC,Exclude,,,,
TUAW,TRANSOCEANIC WIND TRANSPORT,Exclude,,,,
TWUD,TRANSWORLD SHIPPING (USA) INC,Exclude,,,,
TWEA,"TRIANGLE MERCHANT MARITIME CO.,  LIMITED",Exclude,,,,
TNYP,TRIDENT NAVIGATION LTD,Exclude,,,,
TECB,TRIPLE EAGLE CONTAINER LINE LTD,Exclude,,,,
TWJC,TROPIC 10 LIMITED,Exclude,,,,
TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,Exclude,,,,
TTOG,TT OCEAN LOGISTICS LLC,Exclude,,,,
TRKU,TURKON CONTAINER TRANSPORTATION & SHIPPING,Exclude,,,,
TUSY,TUSCOR LLOYDS UK LTD,Exclude,,,,
TDGO,TVS SCS GLOBAL FREIGHT SOLUTIONS LIMITED,Exclude,,,,
UILO,U&I LOGISTICS CORPORATION,Exclude,,,,
DCSD,U. DEL CORONA & SCARDIGLI SRL,Exclude,,,,
UBVO,UBV OCEAN & AIR SRL,Exclude,,,,
UCGO,UNICARGO TRANSPORT,Exclude,,,,
ULUI,UNICO LOGISTICS USA INC,Exclude,,,,
UNQL,UNIQUE LOGISTICS INTERNATIONAL (H K) LTD,Exclude,,,,
UNSA,UNISTAR LINE,Exclude,,,,
UABS,UNITED ABACO SHIPPING,Exclude,,,,
UACW,UNITED OVERSEAS MANAGEMENT (HELLAS),Exclude,,,,
USHL,UNITED SHIPPING LINES,Exclude,,,,
UASI,UPS ASIA GROUP PTE LTD,Exclude,,,,
UEUR,UPS EUROPE SPRL,Exclude,,,,
UPOF,UPS OCEAN FREIGHT SERVICES INC,Exclude,,,,
UULN,US UNITED LOGISTICS (NINGBO) INC,Exclude,,,,
UMED,USA MARITIME ENTERPRISES INC,Exclude,,,,
VSAS,VALHALLA SHIP AGENCY,Exclude,,,,
VATE,VASILIKO NAVIGATION SA,Exclude,,,,
VEDA,"VEDER, ANTHONY CHARTERING B V",Exclude,,,,
VGAO,VGL GLOBAL LOGISTICS,Exclude,,,,
