port_code,sked_d_name,cbp_appendix_e_name,district_code,district_name,state,port_consolidated,port_coast,port_region,port_type
0708,"ALEXANDRIA BAY, NY","Alexandria Bay, New York",07,"OGDENSBURG, NY",NY,Northern Border-NY,Land Ports,Land Ports,land_border
0712,"CHAMPLAIN-ROUSES POINT, NY","Champlain-Rouses Point, New York",07,"OGDENSBURG, NY",NY,Northern Border-NY,Land Ports,Land Ports,land_border
0714,"CLAYTON, NY","Clayton, New York",07,"OGDENSBURG, NY",NY,Northern Border-NY,Land Ports,Land Ports,land_border
0715,"TROUT RIVER, NY","Trout River, New York",07,"OGDENSBURG, NY",NY,Northern Border-NY,Land Ports,Land Ports,land_border
0781,,"Plattsburgh International Airport, Plattsburgh, New York",07,,NY,Northern Border-NY,Land Ports,Land Ports,
0901,"BUFFALO-NIAGARA FALLS, NY","Buffalo-Niagara Falls, New York",09,"BUFFALO, NY",NY,Buffalo-Niagara,Great Lakes,Great Lakes,land_border
0903,"ROCHESTER, NY","Rochester, New York",09,"BUFFALO, NY",NY,Buffalo-Niagara,Great Lakes,Great Lakes,seaport
0904,"OSWEGO, NY","Oswego, New York",09,"BUFFALO, NY",NY,Buffalo-Niagara,Great Lakes,Great Lakes,seaport
0905,"SODUS POINT, NY","Sodus Point, New York",09,"BUFFALO, NY",NY,Buffalo-Niagara,Great Lakes,Great Lakes,seaport
0906,"SYRACUSE, NY","Syracuse, New York",09,"BUFFALO, NY",NY,Buffalo-Niagara,Great Lakes,Great Lakes,seaport
0921,,"Northeast Region, Boston Massachusetts",09,,MA,Buffalo-Niagara,Great Lakes,Great Lakes,
0981,"BINGHAMTON REGIONAL AIRPORT, NY","Binghamton Regional Airport, Binghamton, New York",09,"BUFFALO, NY",NY,Buffalo-Niagara,Great Lakes,Great Lakes,airport
0982,,"Griffiss International User Fee Airport, Rome, New York",09,,NY,Buffalo-Niagara,Great Lakes,Great Lakes,
0983,"ITHACA TOMPKINS INTL AIR, ITHACA, NY","Ithaca Tompkins Intl Air, Ithaca, New York",09,"BUFFALO, NY",NY,Buffalo-Niagara,Great Lakes,Great Lakes,airport
1001,"NEW YORK, NY","New York, New York",10,"NEW YORK CITY, NY",NY,New York,East,North Atlantic,seaport
1002,"ALBANY, NY","Albany, New York",10,"NEW YORK CITY, NY",NY,New York,East,North Atlantic,seaport
1003,"NEWARK, NJ",,10,"NEW YORK CITY, NY",NJ,New York,East,North Atlantic,seaport
1004,"PERTH AMBOY, NJ",,10,"NEW YORK CITY, NY",NJ,New York,East,North Atlantic,seaport
1012,"JFK INTERNATIONAL AIRPORT, NY",,10,"NEW YORK CITY, NY",NY,New York,East,North Atlantic,airport
1068,"NEWARK FEDEX ECCF, NJ",,10,"NEW YORK CITY, NY",NJ,New York,East,North Atlantic,courier
1069,"UPS, NEWARK, NJ",,10,"NEW YORK CITY, NY",NJ,New York,East,North Atlantic,courier
1071,"NYACC, JAMAICA, NY",,10,"NEW YORK CITY, NY",NY,New York,East,North Atlantic,courier
1072,"DHL, JAMAICA, NY",,10,"NEW YORK CITY, NY",NY,New York,East,North Atlantic,courier
1073,EMERY WORLDWIDE,,10,"NEW YORK CITY, NY",,New York,East,North Atlantic,courier
1074,"AIR FRANCE (MACH PLUS), JAMAICA, NY",,10,"NEW YORK CITY, NY",NY,New York,East,North Atlantic,courier
1078,"TNT SKYPAK, JAMAICA, NY",,10,"NEW YORK CITY, NY",NY,New York,East,North Atlantic,courier
1081,"MORRISTOWN AIRPORT, NJ",,10,"NEW YORK CITY, NY",NJ,New York,East,North Atlantic,airport
1101,"PHILADELPHIA, PA","Philadelphia, Pennsylvania",11,"PHILADELPHIA, PA",PA,Delaware River,East,Mid-Atlantic,seaport
1102,"CHESTER, PA","Chester, Pennsylvania",11,"PHILADELPHIA, PA",PA,Delaware River,East,Mid-Atlantic,seaport
1103,"WILMINGTON, DE","Wilmington, Delaware",11,"PHILADELPHIA, PA",DE,Delaware River,East,Mid-Atlantic,seaport
1104,"PITTSBURGH, PA","Pittsburgh, Pennsylvania",11,"PHILADELPHIA, PA",PA,"Pittsburgh, Pennsylvania",Inland,Great Lakes,inland
1105,"MARCUS HOOK, PA",,11,"PHILADELPHIA, PA",PA,Delaware River,East,Mid-Atlantic,seaport
1106,"WILKES-BARRE/SCRANTON, PA","Wilkes-Barre/Scranton, Pennsylvania",11,"PHILADELPHIA, PA",PA,"Wilkes-Barre/Scranton, Pennsylvania",East,Mid-Atlantic,inland
1107,"CAMDEN, NJ",,11,"PHILADELPHIA, PA",NJ,Delaware River,East,Mid-Atlantic,seaport
1108,"PHILA. INTL. AIRPORT, PA","Philadelphia International Airport, Philadelphia, Pennsylvania",11,"PHILADELPHIA, PA",PA,Delaware River,East,Mid-Atlantic,airport
1109,"HARRISBURG, PA","Harrisburg, Pennsylvania",11,"PHILADELPHIA, PA",PA,"Harrisburg, Pennsylvania",Inland,Mid-Atlantic,inland
1113,"GLOUCESTER CITY, NJ",,11,"PHILADELPHIA, PA",NJ,Delaware River,East,Mid-Atlantic,seaport
1119,"ALLENTOWN, PA (LEHIGH VALLEY INTL AIRPT)","Allentown, Pennsylvania",11,"PHILADELPHIA, PA",PA,Delaware River,Inland,Mid-Atlantic,airport
1182,"ATLANTIC CITY REGIONAL AIRPORT, NJ","Atlantic City User Fee Airport, New Jersey",11,"PHILADELPHIA, PA",NJ,Delaware River,East,Mid-Atlantic,airport
1183,"TRENTON/MERCER COUNTY AIRPORT, NJ","Trenton/Mercer County User Fee Airport, New Jersey",11,"PHILADELPHIA, PA",NJ,Delaware River,East,Mid-Atlantic,airport
1195,"UPS, PHILADELPHIA, PA","UPS Philadelphia Hub, Philadelphia, Pennsylvania",11,"PHILADELPHIA, PA",PA,Delaware River,East,Mid-Atlantic,courier
1297,"RICHMOND, VA",,12,UNKNOWN,VA,Hampton Roads,East,South Atlantic,seaport
1301,"ANNAPOLIS, MD","Annapolis, Maryland",13,"BALTIMORE, MD",MD,Baltimore,East,Mid-Atlantic,seaport
1302,"CAMBRIDGE, MD","Cambridge, Maryland",13,"BALTIMORE, MD",MD,Baltimore,East,Mid-Atlantic,seaport
1303,"BALTIMORE, MD","Baltimore, Maryland",13,"BALTIMORE, MD",MD,Baltimore,East,Mid-Atlantic,seaport
1304,"CRISFIELD, MD","Crisfield, Maryland",13,"BALTIMORE, MD",MD,Baltimore,East,Mid-Atlantic,airport
