registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code
110009654686,SMALL'S SAND AND GRAVEL (0142000058),10229 KILLDUFF RD,GAMBIER,OH,43022,KNOX,5.0,40.376627,-82.353419,423320
110071407824,KARMA MATERIALS,5151 WARNER ROAD,GARFIELD HEIGHTS,OH,44125,,5.0,41.42185,-81.63411,423320
110063889831,KOKOSING CONSTRUCTION CO.-PLANT 1,1314 FINDLAY RD,LIMA,OH,45801,ALLEN,5.0,40.75373,-84.08712,423320
110070132913,"SMITH MATERIAL SUPPLY, INC.",1571 NORTH MAIN STREET,MARION,OH,43302,MARION COUNTY,5.0,40.61872,-83.13163,423320
110071655104,ST. MARYS CEMENT NEWCOMERSTOWN TERMINAL,5937 EAST STATE ROAD,NEWCOMERSTOWN,OH,43832,,5.0,40.277791,-81.578856,423320
110064532037,HEISER SAND & GRAVEL CORP,4833 APPLEGROVE ST NW,NORTH CANTON,OH,44720,STARK,5.0,40.88887,-81.43709,423320
110070248452,ACME RESOURCES INC - SCREENING PLANT,11600 MAHONING AVE,NORTH JACKSON,OH,44451,MAHONING,5.0,41.09973,-80.865816,423320
110046384006,MARTIN MARIETTA MATERIALS TILTO,WALDEN ST.,TILTONSVILLE,OH,43963,JEFFERSON,5.0,40.17198,-80.69717,423320
110001987912,HOLCIM (US) INC,840 WATER STREET,TOLEDO,OH,43604,LUCAS,5.0,41.65542,-83.52673,423320
110007157101,WELLSVILLE TERMINALS COMPANY,16TH. AND NEVADA STREETS,WELLSVILLE,OH,43968,COLUMBIANA,5.0,40.599722,-80.651389,423320
110070256038,"ACME RESOURCES, INC.- WARRIOR 1800 SCREENER",9495 HARVARD BOULEVARD,YOUNGSTOWN,OH,44515,MAHONING COUNTY,5.0,40.986997,-80.651184,423320
110070255779,"ACME RESOURCES, INC.- HOOVER TTR30 STACKING CONVEYOR",9495 HARVARD BOULEVARD,YOUNGSTOWN,OH,44515,MAHONING COUNTY,5.0,40.986997,-80.651184,423320
110070256220,"ACME RESOURCES, INC.- KOLBERG 2440 STACKING CONVEYOR",9495 HARVARD BOULEVARD,YOUNGSTOWN,OH,44514,MAHONING COUNTY,5.0,40.986997,-80.651184,423320
110041693824,MAR-ZANE INC,1794 MOXAHALA AVE,ZANESVILLE,OH,43701,MUSKINGUM,,39.912429,-82.005075,423320
110000816573,BJ SVC CO / ARDMORE BULK CEMENT BLENDING FACLTY,1400 S. COMMERCE,ARDMORE,OK,73401,CARTER,6.0,34.15178,-97.14306,423320
110017843654,NUSTAR LOGISTICS LP/CATOOSA ASPHALT TERM,5575 E CHANNEL RD EXTENSION,CATOOSA,OK,74015,ROGERS,6.0,36.240382,-95.732826,423320
110064206773,AMRIZE CEMENT INC / EDMOND TERMINAL,4000 S KELLEY AVE,EDMOND,OK,73013,OKLAHOMA,6.0,35.51207,-97.49435,423320
110070566784,MINICK MATERIALS / EDMOND FACILITY,14141 N SANTA FE AVE,EDMOND,OK,73013,OKLAHOMA COUNTY,6.0,35.61379,-97.51378,423320
110013813196,VIKING CONCRETE CO / VIKING CONCRETE DRY CEMENT PLANT,30707 S 4240 RD,INOLA,OK,74036,ROGERS,6.0,36.16734,-95.45791,423320
110024410617,DOLESE BROS CO / OKC BLOCK PLANT,7100 S SUNNYLANE RD,OKLAHOMA CITY,OK,73135,OKLAHOMA,6.0,35.39616,-97.44127,423320
110001632617,TULSA CEMENT LLC DBA CENTRAL PLAINS CEM / 2728 SW 20,2728 SW 20TH ST,OKLAHOMA CITY,OK,73108,OKLAHOMA,6.0,35.44489,-97.56311,423320
