facility_id,dataset_source,source_record_id,source_name,source_address,source_city,source_county,source_lat,source_lng,distance_meters,name_similarity,match_confidence,match_method
MRTIS_0018,EPA_FRS,110040084379,ST. BERNARD VIOLET STP,3400 STACIE DR,VIOLET,ST. BERNARD,29.915202,-89.89165,2837.9,0.359,LOW,spatial+fuzzy_name
MRTIS_0018,EPA_FRS,110008992493,"VAL J. DAUTERIVE & SON, INC.",6201G E. ST. BERNARD HWY.,VIOLET,ST. BERNARD,29.898361,-89.900583,836.2,0.256,LOW,spatial+fuzzy_name
MRTIS_0018,EPA_FRS,110070863663,VIOLET DOCK PORT,650 E ST BERNARD HIGHWAY,VIOLET,ST. BERNARD PARISH,29.89478,-89.902281,472.7,0.706,MEDIUM,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110009014501,BELLSOUTH TELECOMMUNICATIONS,8201 SARO LN,ST BERNARD,ST. BERNARD,29.868301,-89.894524,2570.4,0.087,LOW,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110069592122,BOARD OF COMMISSIONERS OF THE PORT OF NEW ORLEANS,LA INTERNATIONAL TERMINAL VDP GUARD SHACK,VIOLET,ST. BERNARD,29.896111,-89.900278,586.0,0.125,LOW,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110071813672,BOARD OF COMMISSIONERS OF THE PORT OF NEW ORLEANS - LA INTERNATIONAL TERMINAL,"6820 E. ST BERNARD HWY,",VIOLET,ST. BERNARD,29.888911,-89.8973,370.6,0.174,LOW,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110070029888,"DIRTY RED, LLC",5000 EAST ST. BERNARD HWY,VIOLET,ST. BERNARD,29.915472,-89.91165,2944.4,0.222,LOW,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110008992643,GAUBERT OIL COMPANY LLC - S&P CHEVRON,6205 E. ST. BERNARD HWY,VIOLET,ST. BERNARD,29.898222,-89.900889,821.7,0.25,LOW,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110024822209,LA OFFICE OF STATE PARKS,ST. BERNARD STATE PARK,ST. BERNARD,ST. BERNARD,29.86452,-89.89917,2929.5,0.238,LOW,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110011157960,QUALITY SHRIMP PACKERS INC.- LAFITTE FROZEN FOODS:VIOLET FACILITY,2521 PACKENHAM RD,VIOLET,ST. BERNARD,29.900926,-89.895745,1208.9,0.256,LOW,spatial+fuzzy_name
