IMO,VesselName,TotalVoyages,CompleteVoyages,AvgInboundDurationHours,AvgOutboundDurationHours,AvgPortDurationHours,AvgVesselUtilizationPct,MostFrequentDischargeTerminal,TotalCargoEstimateTonnes,AvgCargoPerVoyageTonnes
9845829,Lem Verbena,5,5,137.93,9.67,67.21,47.9,IMT Coal,,
9845879,Tres Felices,9,8,64.42,24.82,35.65,30.2,Zen-Noh,,
9845972,Astoria Harmony,45,44,124.35,11.34,56.14,34.4,Cargill Reserve,,
9845984,Houston Harmony,26,26,139.92,17.39,55.85,36.1,Cenex Harvest States,,
9846067,Taho Australia,1,1,175.65,11.05,41.35,18.1,ADM AMA,,
9846079,La Luna,1,1,87.45,,,,,,
9846081,La Selva,4,4,20.86,44.52,60.32,52.1,Convent Marine Terminal,,
9846093,Leman Trader,1,1,48.23,460.33,139.73,21.6,Nucor Steel,,
9846108,Aquavita Aim,4,4,203.80,216.76,106.67,29.1,Zen-Noh,,
9846110,Aquavita Air,5,5,212.79,66.47,51.26,23.6,AST St James Buoys,,
9846122,Genevan Trader,4,3,97.02,8.51,122.67,57.3,Cenex Harvest States,,
9846134,Lemessos Castle,2,2,315.06,12.95,230.03,32.1,Zen-Noh,,
9846160,Texas Harmony,37,36,139.12,38.84,64.64,31.9,Cargill Reserve,,
9846251,Iwagi Island,2,2,142.30,8.07,97.62,47.9,ADM Destrehan,,
9846263,Port Imabari,3,3,71.96,9.04,84.65,62.5,Reserve Buoys,,
9846275,Meghna Legacy,1,1,59.98,8.38,113.02,62.3,Cargill Westwego,,
9846287,Medi Osaka,5,5,169.98,12.01,91.22,47.2,Nashville Ave,,
9846304,Berge Jungfrau,3,3,62.57,8.10,40.65,40.6,Cenex Harvest States,,
9846330,African Pheasant,6,6,182.23,9.31,40.08,29.0,Bunge Destrehan,,
9846548,Mamma Mia,8,7,123.01,59.79,85.08,44.8,Zen-Noh,,
9847011,Kobayashi Maru,1,1,81.63,,,,,,
9847114,Front Sparta,1,1,205.03,8.95,39.32,15.5,Valero St Charles,,
9847140,Chemical Contender,14,12,70.05,154.12,27.49,16.6,Cargill Molasses,,
9847205,Bbg Nanning,1,1,77.58,13.02,26.53,22.7,Zen-Noh,,
9847231,Seagalaxy,5,4,142.75,136.39,52.52,20.6,Plains St James,,
9847372,Bbg Fangcheng,1,1,230.53,10.57,77.10,24.2,Bunge Destrehan,,
9847384,Bbg Qinzhou,2,2,337.35,11.18,77.65,23.2,ADM Reserve,,
9847396,Bbg Beihai,2,2,194.89,11.01,58.68,23.8,Cargill Westwego,,
9847401,Bbg Tieshan,4,4,139.51,19.77,78.36,36.5,ADM AMA,,
9847413,Bbg Guigang,6,5,192.08,10.95,91.32,34.0,Cargill Westwego,,
9847451,Doric Courage,3,3,58.16,8.81,43.58,46.6,Valero Meraux,,
9847853,Daisy Glory,1,1,240.62,,,,,,
9847865,Greek Friendship,1,1,147.77,9.93,53.08,25.2,ADM AMA,,
9847877,Captain John P,1,1,105.97,8.60,77.07,40.2,Cargill Westwego,,
9847889,Seacon Shanghai,4,4,156.34,47.69,87.24,44.1,ADM Reserve,,
9847891,Venus,4,4,117.92,25.58,44.23,24.9,Zen-Noh,,
9848077,Astro Sirius,3,3,104.90,14.03,37.74,27.1,Zen-Noh,,
9848118,Yasa Venus,4,3,140.97,268.18,154.40,33.7,Reserve Buoys,,
9848120,Yasa Mars,7,7,65.92,160.70,96.93,36.8,7th Street,,
9848132,Yasa Jupiter,4,4,88.30,11.91,96.14,42.2,AST St James Buoys,,
9848144,Yasa Saturn,5,5,237.40,23.21,75.99,26.4,Zen-Noh,,
9848326,Maritime Comity,5,5,63.83,10.42,58.40,47.1,IMTT,,
9848338,Maritime Tranquility,8,7,57.97,25.75,45.92,45.5,Total Carville,,
9848340,Maritime Amity,5,4,132.43,13.43,47.89,31.9,KMI Harvey,,
9848352,Maritime Valor,3,3,33.09,9.31,57.53,57.7,KMI Harvey,,
