IMO,VesselName,TotalVoyages,CompleteVoyages,AvgInboundDurationHours,AvgOutboundDurationHours,AvgPortDurationHours,AvgVesselUtilizationPct,MostFrequentDischargeTerminal,TotalCargoEstimateTonnes,AvgCargoPerVoyageTonnes
1012919,Dreamboat,1,1,395.28,,,,,,
1013676,Aquadonna,1,1,81.55,13.60,36.85,27.9,Convent Marine Terminal,,
1013688,Soral,2,2,27.84,47.27,50.62,53.3,UBT Davant,,
1013705,African Lorikeet,2,1,24.05,7.63,132.38,80.7,AST Meraux Buoys,,
1013987,Jal Prerana,1,1,38.30,7.83,55.30,54.5,Valero Meraux,,
1014034,Seamerit,2,2,12.20,8.30,79.91,73.2,KMI Harvey,,
1014163,Crimson Sapphire,2,2,49.52,13.95,71.90,53.1,ABT Burnside,,
1014424,Brave Eagle,2,1,10.25,9.65,38.70,66.0,Nashville Ave,,
1014436,Brave Hawk,3,3,96.44,15.22,77.64,42.3,Cargill Westwego,,
1014589,Aquaglory,1,1,30.78,12.42,107.48,71.3,Cargill Reserve,,
1014606,Sea Goat,1,1,25.88,7.12,134.93,80.3,AST Meraux Buoys,,
1014618,Bird Of Paradise,1,1,9.78,223.57,49.05,17.4,7th Street,,
1014644,Yasa Sun,1,1,222.82,5.63,97.08,29.8,Cenex Harvest States,,
1014840,Allegra,1,1,35.08,10.50,132.83,74.5,Reserve Buoys,,
1014864,Invictus,1,0,,,,,Valero St Charles,,
1014967,Carpe Diem,1,1,527.62,22.60,67.80,11.0,Cenex Harvest States,,
1015325,Anneliese,2,2,74.26,12.00,97.68,56.3,Bunge Destrehan,,
1015349,Century Beijing,1,1,39.13,131.57,95.32,35.8,AST St James Buoys,,
1015519,Maple Island,3,3,29.81,76.73,88.58,45.7,AST Arabi Dolphins,,
1015741,Hsl Geraldton,1,1,142.90,8.70,68.97,31.3,Cargill Westwego,,
1016496,Opal Wealth,1,1,83.87,12.25,84.32,46.7,Cargill Reserve,,
1018030,Desert Lion,1,1,44.35,45.48,89.47,49.9,AGG,,
1018133,Ssi Daring II,1,1,179.88,13.55,25.72,11.7,Zen-Noh,,
1018872,Silver Moon,2,2,29.80,8.77,74.44,59.9,KMI Harvey,,
1019840,Xh Deep Cover,1,1,80.32,19.58,141.22,58.6,Dreyfuss,,
1020447,Bbc Neptune,2,1,8.58,224.17,153.15,39.7,AST Chalmette Slip,,
1020459,Bbc Pluto,1,1,125.68,12.50,40.28,22.6,Cargill Reserve,,
1021374,Cl Spruce,1,1,9.98,288.78,29.58,9.0,AST Arabi Dolphins,,
1022706,Stena Continent,2,2,30.38,9.05,108.77,73.5,KMI Harvey,,
1023968,America,1,1,59.82,6.28,47.78,42.0,Cenex Harvest States,,
1024211,Avra,1,1,98.65,13.10,96.40,46.3,Cargill Reserve,,
1024429,Ssi Formidable II,1,1,10.38,8.87,46.68,70.8,Nashville Ave,,
1024431,African Sandpiper,1,0,,,,,,,
1024649,Bh Power,1,1,264.93,12.20,94.17,25.4,ADM Reserve,,
1026491,Shandong Xin Xing,1,0,,,,,Cargill Reserve,,
1026506,Shandong Xin Fu,1,1,170.28,12.07,55.78,23.4,ADM Reserve,,
1026544,Shandong Xin Shun,2,1,107.90,11.07,80.70,40.4,Bunge Destrehan,,
1026568,Shan Dong Xin Xiang,1,1,85.23,40.35,22.47,15.2,Zen-Noh,,
1026879,Intelligence Diva,1,1,9.33,146.35,74.35,32.3,AST Chalmette Buoys,,
1027809,Aqualucky,2,2,138.44,13.04,83.50,41.4,Copper Darrow Buoys,,
1027897,Marex Nina,1,1,78.42,,,,,,
1028188,Nord Bay,1,1,176.77,12.38,72.68,27.8,ADM Reserve,,
1029455,Ssi Dominion,3,2,12.71,70.16,149.18,69.4,Cargill Reserve,,
1030856,Elatos,1,1,160.88,12.97,53.55,23.5,ADM Reserve,,
1030868,Punta Del Chileno,2,2,25.54,16.42,59.91,59.4,Convent Marine Terminal,,
1030911,Norse Succession,1,1,204.08,11.00,32.10,13.0,ADM Destrehan,,
1033676,Tower Point,1,0,,,,,,,
1036044,African Hammerkop,2,2,104.55,22.64,103.65,31.9,Zen-Noh,,
1036056,Norse Expansion,1,1,22.88,8.78,168.40,84.2,ADM Destrehan Buoys,,
1036123,Ultra San Pedro,1,1,76.97,11.20,40.32,31.4,Bunge Destrehan,,
1036525,Um Kure,1,0,,,,,Louisiana Ave,,
1037701,Golden Thetis,1,1,47.83,7.20,36.32,39.8,Stolthaven,,
1038391,Jns Sea,6,6,115.29,9.55,49.95,31.1,Cargill Reserve,,
1041544,Summer Queen,1,1,121.60,12.87,44.88,25.0,ADM Reserve,,
1041790,Cl Prosperity,1,1,80.67,11.00,33.95,27.0,ADM Destrehan,,
1041934,Lowlands Oberlin,3,2,15.46,11.16,43.53,62.7,Nashville Ave,,
1042110,Lucky Luke,3,3,83.76,9.13,91.72,54.6,Nashville Ave,,
1042146,New Nation,2,2,44.23,10.12,61.22,58.8,Nashville Ave,,
1042885,Avery Point,1,0,,,,,Zen-Noh,,
1042897,Castle Point,1,1,34.68,10.13,115.77,72.1,Cargill Westwego,,
1043322,Rike J,1,1,20.40,7.70,21.67,43.5,Nashville Ave,,
1043841,Qanux Benefit,1,1,19.20,6.67,40.05,60.8,AST Arabi Dolphins,,
1044508,Jns Ocean,1,1,421.52,83.65,48.48,8.8,Cenex Harvest States,,
1045227,Jns River,2,2,67.64,137.34,75.03,23.9,AST Meraux Buoys,,
1045710,Velocity,1,1,23.78,7.95,71.63,69.3,Valero Meraux,,
1047067,Langlois Fujimaru,1,1,94.75,9.70,52.52,33.5,ADM Destrehan,,
1048968,Fukujin Maru,1,1,35.45,11.42,39.35,45.6,ADM AMA,,
1048970,Angelic Breeze,2,2,40.28,24.02,21.83,36.9,Nashville Ave,,
1049261,Nord Nile,2,2,57.05,13.59,123.31,67.5,AGG,,
1050727,Efrossini,1,1,67.47,44.15,14.32,11.4,Zen-Noh,,
1050753,Cymona Ocean,2,2,96.94,137.07,91.32,27.6,AST St James Buoys,,
1050818,Centurion Romulus,1,1,128.57,11.07,102.27,42.3,Bunge Destrehan,,
1050844,Tj Pelicans,1,1,64.75,5.72,56.02,44.3,IMT Coal,,
1050856,Spring Cefiro,3,2,145.07,10.70,121.12,43.1,ADM Destrehan,,
1054096,Bochem Santos,1,1,86.98,16.48,58.63,36.2,Dow Missouri,,
1054620,Cape Tainaron,1,1,196.43,13.60,51.20,19.6,MPLX Mt Airy,,
1054802,Star Opal,1,1,13.78,139.45,135.75,47.0,Laplace Buoys,,
1055985,Saronic Wind,1,1,19.28,65.87,35.88,29.6,KMI Harvey,,
1056276,Bbc Tornio,1,0,,,,,AGG,,
1057103,Doric Samurai,2,2,42.51,9.37,67.77,59.7,AGG,,
1060564,Sapientza,2,2,38.79,95.59,60.06,32.8,AST St James Buoys,,
1060746,Sofia,1,1,11.03,8.78,89.72,81.9,AGG,,
1069704,Maple Grace,1,1,9.87,6.72,156.30,90.4,AST Chalmette Slip,,
1074723,Elandra Cedar,1,1,88.92,65.03,37.28,19.5,KMI Harvey,,
1076173,Mh Langoey,1,1,33.05,43.68,116.23,60.2,Drax Biomass,,
1245184,Ct Pilotus,1,0,,,,,,,
1302,Adri Lab,8,8,7.40,,,,,,
138,Leviathan 1,8,3,56.81,,,,,,
303174162,Nauticast,1,0,,,,,Buck Kreihs,,
5239515,Ts Gunilla,1,1,15.13,158.38,0.48,0.3,Julia St,,
569,Ginny Lab,305,300,21.83,,,,,,
595628913,Faneromeni,1,0,,,,,,,
7319010,Karen C,1,1,57.23,,,,,,
7711725,Radcliffe R Latimer,1,1,6.48,5.28,42.37,78.3,UBT Davant,,
7734167,Eide Trader,1,1,17.70,12.17,88.55,74.8,Zito HPL Buoys,,
7816551,Seabulk Challenge,15,14,48.18,22.80,64.21,47.6,Exxon Baton Rouge,,
7915412,Csl Argosy,4,4,38.68,25.77,13.94,23.7,Convent Marine Terminal,,
7917800,Dodge Island,35,33,139.31,,,,,,
7926148,Algoma Value,2,2,28.18,18.17,45.41,48.9,Convent Marine Terminal,,
7926162,Csl Metis,3,3,20.70,8.47,36.06,53.9,Convent Marine Terminal,,
7931454,Seaway Eagle,1,1,37.95,,,,,,
8007793,H A Sklenar,8,7,24.19,18.04,30.69,46.8,Vulcan Westwego,,
8110681,Wh Blount,1,1,47.42,,,,,,
8130899,Mighty Servant 3,2,2,12.14,198.34,80.54,44.5,Zito HPL Buoys,,
8218938,Lauren Foss,3,3,24.53,13.10,18.21,41.3,Henry Clay Ave,,
8308147,Curacao Pearl,1,1,26.90,13.82,60.52,59.8,AST St James Buoys,,
8316699,Savannah Pearl,2,1,51.07,19.55,48.60,40.8,AST Globalplex,,
8414738,Zhenhua 23,1,1,123.65,8.48,262.67,66.5,Nashville Ave,,
8506995,Tug Kelly,42,42,35.93,27.50,33.36,37.5,IMC Faustina,,
8512956,Arctic Pearl,5,5,61.84,9.32,74.15,61.8,AST Globalplex,,
8512982,Pacific Pearl,1,0,,,,,UBT Davant,,
8642567,J S De Elcano,1,1,14.12,8.32,85.87,79.3,Julia St,,
8700280,Amera,1,1,44.92,,,,,,
8716502,Grand Classica,1,1,9.63,8.25,387.92,95.6,Julia St,,
8806905,Fairlift,1,1,10.73,7.52,144.67,88.8,7th Street,,
8813635,Nova Florida,3,3,166.27,6.63,240.93,93.3,Henry Clay Ave,,
8819512,Majesty Of The Seas,10,9,9.03,6.73,9.37,37.1,Julia St,,
8822583,Green Magic,1,1,12.17,6.98,383.53,95.2,Henry Clay Ave,,
8912120,Green Costa Rica,6,4,175.62,6.40,218.32,92.8,Nashville Ave,,
891213200,Green Honduras,2,2,310.98,,,,,,
8912144,Green Guatemala,2,2,10.57,6.90,329.84,95.0,Henry Clay Ave,,
8912156,Green Chile,1,1,9.60,6.27,314.95,95.2,Henry Clay Ave,,
8913162,Amadea,1,0,,,,,Julia St,,
8919037,Stolt Spruce,6,5,15.03,88.06,38.09,38.5,Stolthaven,,
8919049,Stolt Cedar,3,3,19.52,200.94,27.76,16.9,Stolthaven,,
8919051,Stolt Selje,5,5,28.10,99.20,35.74,31.9,Stolthaven,,
8920141,Fuji Bay,1,1,293.03,,,,,,
8920581,Stolt Guillemot,2,2,19.55,7.47,36.09,56.5,Occidental Taft,,
8983234,Ginny Lab,6,2,167.97,,,,,,
9007532,Jacamar Arrow,1,1,103.73,,,,,,
9011038,Green Concordia,1,1,417.48,,,,,,
9014066,Saga Crest,1,1,276.32,,,,,,
9014444,Prince Of Seas,5,4,12.95,73.68,267.46,70.7,Henry Clay Ave,,
9040895,Kiran Asya,3,3,148.36,137.51,132.78,29.4,Waggaman Buoys,,
9043055,Green Maveric,17,15,173.75,116.22,162.82,55.5,Henry Clay Ave,,
9043081,Nordic Wolverine,6,6,42.51,29.22,23.25,25.8,Shintech,,
9043093,Nordic Lynx,7,7,54.33,27.00,34.56,37.1,IMTT,,
9045168,Water Phoenix,2,1,9.98,,,,Nashville Ave,,
9045728,Notos,1,1,75.88,8.90,88.37,51.0,Vulcan St Rose,,
9045780,Green Italia,1,1,250.85,,,,,,
904579200,Green Brazil,5,5,375.49,6.77,330.13,95.2,Henry Clay Ave,,
9047245,Lagoon Phoenix,3,3,209.34,8.28,336.92,94.8,Henry Clay Ave,,
9047506,Bow Riyad,2,2,36.96,31.01,15.97,29.6,Shintech,,
9047518,Bow Clipper,5,5,24.81,100.53,27.01,31.4,IMTT,,
9047752,Bow Mekka,2,2,25.35,36.82,64.53,48.6,Stolthaven,,
9047764,Bow Fagus,15,13,48.67,65.18,35.12,27.8,IMTT,,
9064126,Seven Seas Navigator,1,1,8.30,6.78,35.77,70.3,Julia St,,
9066667,Crystal Symphony,4,4,7.94,6.69,34.73,69.5,Poland St,,
9067128,Fortuna Bay,1,1,246.60,,,,,,
9070632,Marella Discovery,2,2,64.17,,,,,,
9077044,Sulphur Enterprise,3,3,22.55,12.16,41.56,50.0,IMC Faustina,,
9079119,Hardanger,1,1,21.73,68.75,227.48,71.5,ARTCO 110-111 Buoys,,
9081289,Qamutik,3,3,37.94,86.90,89.25,59.6,AST Chalmette Slip,,
9081306,Mitiq,1,1,9.97,7.40,72.68,80.7,AGG,,
9081318,Sinaa,6,6,156.75,179.12,87.20,39.1,7th Street,,
9081320,Aujaq,3,3,41.64,38.12,121.28,73.1,AST Chalmette Slip,,
9081370,Edamgracht,2,2,43.62,8.90,34.52,43.8,7th Street,,
9081801,Hosanger,1,1,9.43,206.93,68.42,24.0,Louisiana Ave,,
9083263,Bahama Spirit,1,1,20.52,12.85,23.97,41.8,Convent Marine Terminal,,
9085479,Cool Expreso,1,1,18.35,7.15,158.98,86.2,Henry Clay Ave,,
9085522,Kure,2,2,34.27,,,,,,
9085534,Maersk Kotka,1,0,,,,,Napoleon Ave,,
9085546,Msc Kleven,5,5,12.79,12.06,31.10,49.4,Nashville Ave,,
9085558,Maersk Karlskrona,7,7,16.51,7.69,25.64,53.5,Nashville Ave,,
9085560,Kokura,6,6,11.13,7.43,21.03,52.7,Nashville Ave,,
9087013,Bow Cedar,11,11,25.92,57.13,25.28,34.0,IMTT,,
9100085,Navios Libra 2,4,4,53.52,17.68,189.97,74.5,Noranda Alumina,,
9102069,Stolt Innovation,7,6,84.32,100.65,40.42,26.5,KMI Harvey,,
9102071,Stolt Confidence,11,11,49.59,127.13,32.24,25.3,Stolthaven,,
9102083,Stolt Inspiration,12,12,16.33,109.58,31.22,23.3,Stolthaven,,
9102095,Stolt Creativity,12,11,58.37,157.62,38.45,26.8,KMI Harvey,,
9102100,Stolt Invention,15,14,28.46,126.35,32.75,22.3,Stolthaven,,
9102112,Stolt Efficiency,12,11,58.26,110.37,37.40,21.9,KMI Harvey,,
9102124,Stolt Capability,13,13,30.83,94.90,38.33,28.2,Stolthaven,,
9107306,Pine Arrow,2,2,141.72,,,,,,
9107681,Wadi Alarab,3,3,92.51,12.89,128.33,56.2,Copper Darrow Buoys,,
9107887,Maersk Kawasaki,1,1,9.20,7.60,27.75,62.3,Nashville Ave,,
9113410,Harvest Moon,1,1,92.40,239.08,108.85,24.7,AST St James Buoys,,
9114139,Summer Wind,1,1,25.62,14.10,31.47,44.2,Convent Marine Terminal,,
9114232,Bow Faith,14,14,100.38,59.11,35.03,27.2,IMTT,,
9114244,Bow Cardinal,11,7,122.80,64.60,84.99,37.7,IMTT,,
9115523,Bulk Patriot,22,20,56.88,76.12,118.94,61.4,Noranda Alumina,,
9116876,Vision Of The Seas,13,9,8.65,6.94,10.06,39.1,Julia St,,
9117739,Saga Monal,2,2,15.87,15.97,106.83,76.9,ARTCO 110-111 Buoys,,
9117741,Saga Morus,1,1,11.35,8.52,141.90,87.7,ARTCO 110-111 Buoys,,
9118147,Federal Schelde,1,1,7.62,5.90,53.52,79.8,Copper Dockside Buoys,,
9119995,Harvest Rising,7,7,204.27,13.59,53.75,20.5,ADM Destrehan,,
9120334,Harmen Oldendorff,5,5,50.87,12.76,48.42,44.8,Convent Marine Terminal,,
9123154,Msc Korea,2,2,10.35,7.18,26.90,59.7,Nashville Ave,,
9123702,Bereket,1,1,90.88,6.88,42.27,30.2,AST Meraux Buoys,,
9124469,Stolt Achievement,16,13,72.42,100.69,49.10,28.8,Stolthaven,,
9124471,Stolt Perseverance,17,17,60.92,153.40,41.84,24.8,Stolthaven,,
9125279,Normanna,4,4,33.72,12.98,37.05,46.2,Cornerstone Chemical,,
9126807,Disney Magic,21,21,19.41,7.35,11.29,40.5,Erato St,,
9126819,Disney Wonder,13,13,8.31,7.60,11.47,40.8,Erato St,,
9127928,Sierra Queen,7,6,94.58,7.29,312.40,94.2,Henry Clay Ave,,
9131096,Happy Bear,1,1,100.73,6.15,9.08,7.8,Buck Kreihs,,
9131101,Jotagas,1,1,87.93,,,,,,
9136955,Harvest Legend,21,21,173.26,65.50,42.27,21.5,ADM AMA,,
9137038,Lady Irina,1,1,12.25,8.90,18.77,47.0,AST Chalmette Slip,,
9138094,Sheila Ann,3,2,112.22,12.22,33.75,23.0,Convent Marine Terminal,,
9138109,Sophie Oldendorff,13,12,38.25,10.45,48.48,54.8,Convent Marine Terminal,,
9138111,Csl Spirit,5,4,42.85,8.30,44.06,49.9,Vulcan St Rose,,
9138408,Aigran D,2,2,28.63,8.62,55.87,59.4,Stolthaven,,
9138616,Amazon,1,1,8.75,206.02,110.95,34.1,Copper Dockside Buoys,,
9138850,Carnival Triumph,61,39,8.50,7.25,11.75,43.3,Erato St,,
91392294,Happy River,1,1,9.58,121.18,64.68,33.1,7th Street,,
9139294,Happy River,1,1,9.42,6.98,71.48,81.3,1st Street,,
9142954,Rays,1,1,243.38,9.08,38.83,13.3,Bunge Destrehan,,
9143207,Bow Flora,14,14,41.50,59.10,26.00,25.5,IMTT,,
9143219,Bow Cecil,3,2,64.58,105.40,21.74,18.6,Total Carville,,
9143544,Kobe Express,2,2,10.29,7.86,12.95,41.5,Nashville Ave,,
9144392,Emu Arrow,1,1,11.62,6.67,63.52,77.6,Louisiana Ave,,
9146950,Ocean Pride,2,2,15.77,181.72,271.56,65.0,Waggaman Buoys,,
9147708,Grietje,1,1,25.23,5.95,50.67,61.9,AST Chalmette Slip,,
9149328,Msc Nadriely,9,6,15.50,7.18,15.35,41.5,Nashville Ave,,
9149366,Fortune Lady,4,4,132.25,68.74,251.73,58.1,Laplace Buoys,,
9149495,Stolt Sea,9,7,35.15,66.22,35.91,47.8,Stolthaven,,
9149512,Stolt Sun,22,20,80.06,181.36,40.62,22.7,Blackwater Westwego,,
9149524,Stolt Span,17,15,74.47,41.16,37.40,35.0,KMI Harvey,,
9150315,Stolt Sypress,8,8,54.12,51.88,56.35,47.0,KMI Harvey,,
9150327,Venezia D,1,1,10.38,9.23,30.07,60.5,IMTT,,
9152466,Ubc Balboa,16,16,124.15,10.78,41.64,34.2,ADM Destrehan,,
9153642,Jumbo Vision,2,2,8.82,6.66,74.90,82.8,Nashville Ave,,
9153654,Fairlane,1,0,,,,,,,
9156539,Sveva,1,1,107.27,17.53,63.75,33.8,Dow Missouri,,
9158159,Alanyam,1,1,11.75,144.30,103.70,39.9,ARTCO 110-111 Buoys,,
9158458,Ekaterina,1,1,13.97,9.13,58.55,71.7,Waggaman Buoys,,
9160798,Saga Beijaflor,1,1,286.67,,,,,,
9160803,Saga Tucano,1,1,10.32,8.10,385.45,95.4,Louisiana Ave,,
9164706,Elly,1,1,147.02,38.12,50.37,21.4,Zen-Noh,,
9165542,Moscow River,2,1,71.92,18.05,46.05,33.9,Port of Baton Rouge,,
9166417,Moscow University,2,2,56.15,15.72,47.67,39.9,Exxon Baton Rouge,,
9168611,Stolt Spray,18,18,24.41,166.04,40.21,21.0,Chevron Oak Point,,
9168623,Stolt Surf,14,14,34.93,167.63,31.55,20.9,Chevron Oak Point,,
9168635,Bow Fortune,15,13,34.96,27.22,40.47,48.5,IMTT,,
9168647,Stolt Commitment,8,8,32.57,109.61,30.13,28.2,Stolthaven,,
9169330,Aquata,1,1,6.57,5.85,52.48,80.9,UBT Davant,,
9169342,Corona,2,2,232.69,18.68,32.26,39.2,IMT Coal,,
9169524,Aurora,2,1,8.55,7.52,34.38,68.2,Erato St,,
9169718,Bunga Kelana 6,1,1,16.85,12.33,85.02,74.4,NuStar St James,,
9169940,Stolt Stream,16,14,66.54,94.80,34.11,29.5,Blackwater Harvey,,
9170262,Harvest Festival,3,3,210.15,176.40,108.11,24.1,AST St James Buoys,,
9170597,Trans Iberia,3,3,29.90,40.20,46.66,46.3,Stolthaven,,
9171357,Nounou,3,3,69.62,10.54,33.73,35.3,Aramco Convent,,
9172210,Andino Delta,2,2,223.97,55.86,53.23,15.2,IMTT,,
9174361,Tanja Kosan,2,2,87.70,109.83,24.42,27.3,Shell Norco,,
9174634,Agia Skepi,1,1,138.77,12.77,72.00,32.2,Zen-Noh,,
9176034,Eagle Augusta,1,1,50.95,10.98,75.32,54.9,IMTT,,
9176694,Trans Catalonia,6,5,33.92,42.71,20.00,33.5,Stolthaven,,
9176761,Pelagos,5,5,38.91,234.16,56.64,32.3,Valero St Charles,,
9176773,Angistri,8,8,60.33,20.09,48.51,49.5,Valero St Charles,,
9177961,Ubc Bremen,12,11,177.66,15.39,26.23,11.4,ADM Destrehan,,
9177985,Skyros,2,2,90.25,178.27,76.42,22.5,AST Gramercy  Buoys,,
9178197,Stolt Concept,11,10,64.56,150.34,33.68,22.4,Stolthaven,,
9178202,Stolt Effort,20,19,48.46,144.56,40.42,28.5,Stolthaven,,
9180358,Isa,5,5,144.80,9.38,34.57,59.2,ARTCO 110-111 Buoys,,
9180360,Isolda,1,1,47.58,93.33,125.02,47.0,ADM Destrehan Buoys,,
9180372,Isadora,2,2,161.47,200.56,45.42,11.7,Copper Darrow Buoys,,
9180384,Iryda,11,11,119.59,24.00,33.45,23.8,ADM AMA,,
9180906,Tasos,1,1,154.03,9.80,34.57,17.4,ADM AMA,,
9180918,Antigoni,2,0,,,,,Zen-Noh,,
9181651,Msc Ingrid,1,1,9.65,8.73,19.18,51.1,Nashville Ave,,
9181663,Msc Matilde,2,1,9.45,8.17,24.85,58.5,Nashville Ave,,
9182942,Eagle Anaheim,2,1,17.17,14.17,46.67,59.8,Port of Baton Rouge,,
9182978,Star Isfjord,1,1,9.85,7.48,21.40,55.2,AST Chalmette Buoys,,
9183568,Sigmagas,2,1,20.70,9.28,33.05,52.4,Shell Norco,,
9183855,Europa,1,1,49.22,,,,,,
9184938,Summer Lady,1,1,19.20,101.87,118.40,49.4,Laplace Buoys,,
9185499,Susanne Victory,2,1,12.57,7.65,91.77,81.9,KMI Harvey,,
9185504,Cherans Sky,3,3,131.19,80.59,30.56,11.6,Valero St Charles,,
9185798,Ocean Favour,1,1,297.68,464.47,401.47,34.5,Laplace Buoys,,
9186209,Ikebana,1,1,10.37,31.88,428.18,91.0,Waggaman Buoys,,
9186211,Indiana,1,1,9.10,7.45,232.48,93.4,Louisiana Ave,,
9186338,Blue Marlin,1,1,14.55,172.67,301.28,61.7,Buck Kreihs,,
9186625,Ocean Quest,1,1,30.93,8.62,44.20,52.8,IMTT,,
9186780,Teal Arrow,1,1,75.55,5.47,32.50,28.6,IMT Coal,,
9187708,Flipper,1,1,62.85,14.48,20.67,21.1,Zen-Noh,,
9187722,Bulk Pangaea,72,67,35.90,14.43,130.10,73.3,Noranda Alumina,,
9188623,Nemo,2,2,109.44,10.52,37.41,44.2,Zen-Noh,,
9188647,Carnival Spirit,3,3,12.72,7.39,7.18,31.7,Erato St,,
9188908,Murgash,2,2,19.89,8.22,88.68,75.4,Cargill Westwego,,
9189342,Tasman,3,1,11.15,7.97,14.32,42.8,Nashville Ave,,
9189366,Msc Tavvishi Vi,1,1,11.35,6.60,14.73,45.1,Nashville Ave,,
9189665,Maestro Lion,2,2,8.78,7.26,83.72,84.1,MGMT,,
9189677,Maestro Tiger,1,1,26.07,8.72,138.78,80.0,Waggaman Buoys,,
9192375,Laguna D,7,7,30.08,67.01,30.26,26.0,PCS Nitrogen,,
9192399,Celeb Constellation,8,8,8.19,7.46,24.38,54.8,Julia St,,
9193692,Elena Topic,3,3,56.76,9.73,45.89,49.2,Cenex Harvest States,,
9193707,Rosina Topic,3,3,100.78,15.21,96.36,38.8,ADM Destrehan,,
9193800,Zea Ace,1,1,12.28,6.38,33.37,64.1,Harmony St,,
9195195,Radiance Of The Seas,15,15,8.04,7.64,10.57,40.0,Julia St,,
9195200,Brilliance Of Seas,26,26,8.25,7.71,11.29,41.1,Julia St,,
9195298,Bulk King,1,1,7.88,6.37,128.10,90.0,Copper Dockside Buoys,,
9195420,Bbc Romania,1,1,24.27,7.57,35.33,52.6,AST Chalmette Slip,,
9196395,Pagona,3,3,198.54,6.98,58.22,49.8,AST Meraux Buoys,,
9196709,Chem Patriot,7,7,35.16,52.08,38.26,35.7,Stolthaven,,
9196711,Stolt Viking,26,26,20.38,209.73,37.38,19.6,Chevron Oak Point,,
9196838,Sealand New York,13,12,17.56,7.41,23.49,55.7,Nashville Ave,,
9196840,Maersk Kobe,2,2,9.25,7.54,20.66,53.9,Napoleon Ave,,
9196852,Sealand Washington,16,16,10.90,7.48,29.49,58.0,Nashville Ave,,
9196864,Sealand Michigan,10,10,12.00,13.34,16.73,40.5,Nashville Ave,,
9197117,Althea,1,1,49.78,13.82,59.48,48.3,Copper Darrow Buoys,,
9197155,Global Spirit,5,4,26.98,14.64,51.80,53.5,Cosmar Carville,,
9197284,Bow Sun,8,8,70.97,65.01,33.37,25.3,IMTT,,
9197296,Bow Star,6,6,126.14,34.34,74.21,38.2,IMTT,,
9197363,Schippersgracht,4,4,15.70,24.94,75.30,61.5,7th Street,,
9197375,Singelgracht,4,4,9.94,91.66,39.64,46.6,Poland St,,
9197545,Sealand Illinois,15,13,10.85,7.52,27.55,58.7,Nashville Ave,,
9197662,Harvest Plains,6,6,79.42,91.40,33.24,27.3,ADM Destrehan,,
9197727,Happy Bird,1,1,154.02,8.82,34.33,17.4,Shell Norco,,
9197911,Spiegelgracht,1,1,7.85,7.40,93.17,85.9,1st Street,,
9197947,Slotergracht,1,1,9.07,6.43,46.70,75.1,Alabo St,,
9198094,Minerva Alexandra,2,2,40.60,21.40,65.09,53.7,Genesis Baton Rouge,,
9198367,Carnival Glory,191,181,13.01,7.34,16.87,43.5,Erato St,,
9198563,Stolt Sycamore,10,10,53.32,46.88,39.49,44.3,Stolthaven,,
9199311,Stolt Skua,11,9,50.35,12.12,32.16,40.1,Stolthaven,,
9199323,Stolt Teal,10,8,41.77,9.07,46.33,49.4,Cornerstone Chemical,,
9200330,Federal Oshima,2,2,146.51,9.38,42.57,21.9,ADM AMA,,
9200419,Federal Asahi,1,1,292.13,,,,,,
9200421,Saga Jandaia,1,1,205.68,9.07,284.60,57.0,AGG,,
9200445,Federal Rideau,3,2,16.07,80.08,169.31,68.9,ADM Destrehan Buoys,,
9200677,Msc Sydney Vi,2,2,10.43,8.68,18.84,49.5,Nashville Ave,,
9200689,Msc Darwin Vi,1,0,,,,,Napoleon Ave,,
9200691,Brussels,40,38,18.58,10.32,19.89,48.3,Nashville Ave,,
9202508,Stadiongracht,2,2,93.90,,,,,,
9202510,Scheldegracht,2,2,9.33,7.37,81.13,82.8,7th Street,,
9202522,Sluisgracht,1,1,123.43,,,,,,
9202534,Spuigracht,1,1,9.22,6.63,71.82,81.9,7th Street,,
9202546,Snoekgracht,6,5,20.49,33.46,102.22,69.0,AST Chalmette Slip,,
9202558,Spaarnegracht,6,5,63.20,7.17,85.89,68.7,AST Chalmette Slip,,
9204685,Evoikos Theo,1,0,,,,,AST St James Buoys,,
9204934,Industrial Aim,2,2,43.71,7.60,58.10,77.2,7th Street,,
9205574,Pgc Strident Force,2,2,109.56,,,,,,
9205897,Federal Yukon,1,1,77.25,152.55,67.95,22.8,Yara Fertilizer,,
9205902,Federal Hudson,3,2,44.72,9.27,258.35,90.7,IMT Coal,,
9205926,Federal Welland,2,1,20.08,94.02,261.77,69.6,AST Globalplex,,
9205940,Seavenus,1,1,13.32,11.68,158.42,86.4,AST Globalplex,,
9207510,Artemis Arctic,1,0,,,,,,,
9207730,Pantelis,1,0,,,,,Zen-Noh,,
9207778,Anna S,1,0,,,,,Zen-Noh,,
9207780,Sea Melody I,2,2,226.94,9.07,99.09,42.8,Cargill Westwego,,
9208021,E R Seoul,11,11,11.08,7.48,19.97,50.6,Nashville Ave,,
9209104,Newyorker,2,2,9.87,16.73,9.61,26.7,Nashville Ave,,
9209116,Agnes,1,1,43.32,14.02,23.98,29.5,Zen-Noh,,
9209283,Las Cuevas,2,2,18.03,105.48,32.08,31.6,Cosmar Carville,,
920928300,Las Cuevas,4,4,65.18,45.53,42.22,30.5,IMTT,,
9210062,Msc Glory R,2,2,9.96,7.80,11.50,38.9,Nashville Ave,,
