HS4,HS2,Description
4602,46,FISHING BASKETS OR CREELS OF BAMBOO
4701,47,MECHANICAL WOODPULP
4702,47,CHEMICAL WOODPULP
4703,47,CHEMICAL WOODPULP
4704,47,CHEMICAL WOODPULP
4705,47,WOOD PULP OBTAINED BY A COMBINATION OF MECHANICAL AND CHEMICAL PULPING PROCESSES
4706,47,COTTON LINTERS PULP
4707,47,WASTE AND SCRAP OF UNBLEACHED KRAFT PAPER OR PAPERBOARD OR OF CORRUGATED PAPER OR PAPERBOARD
4801,48,NEWSPRINT PAPER
4802,48,HANDMADE PAPER AND PAPERBOARD
4803,48,CELLULOSE WADDING IN ROLLS OF A WIDTH EXCEEDING 36 CM OR IN RECTANGULAR (INCL SQUARE) SHEETS WITH AT LEAST ONE SIDE EXCEEDING 36 CM IN THEUNFOLD STATE
4804,48,KRAFTLINER
4805,48,SEMICHEMICAL FLUTING PAPER (CORRUGATING MEDIUM)
4806,48,VEGETABLE PARCHMENT PAPER
4807,48,PAPER AND PAPERBOARD
4808,48,CORRUGATED PAPER AND PAPERBOARD
4809,48,SELF-COPY WRITING PAPER
4810,48,BASIC PAPER TO BE SENSITIZED FOR USE IN PHOTOGRAPHY
4811,48,PAPER AND PAPERBOARD COATED OR IMPREGNATED WITH TAR
4812,48,FILTER BLOCKS
4813,48,CIGARETTE PAPER IN THE FORM OF BOOKLETS OR TUBES
4814,48,WALLPAPER & SIMILAR WALLCOVERINGS CONSISTING OF PAPER COATED OR COVERED ON FACE SIDE WITH A GRAINED/EMBOSSED OR OTHWISE DECORATED LAYER OF PLASTICS
4816,48,SELF-COPY PAPER
4817,48,ENVELOPES OF PAPER OR PAPERBOARD
4818,48,TOILET PAPER
4819,48,SANITARY FOOD AND BEVERAGE CONTAINERS OF CORRUGATED PAPER OR PAPERBOARD
4820,48,DIARIES AND ADDRESS BOOKS
4821,48,PAPER AND PAPERBOARD LABELS OF ALL KINDS PRINTED IN WHOLLY OR IN PART BY A LITHOGRAPHIC PROCESS
4822,48,BOBBINS
4823,48,PAINT FILTERS AND STRAINERS OF PAPER AND PAPERBOARD
4901,49,REPRODUCTION PROOFS
4902,49,NEWSPAPERS
4903,49,CHILDREN'S PICTURE
4904,49,SHEET MUSIC
4905,49,MAPS AND HYDROGRAPHIC OR SIMILAR CHARTS OF ALL KINDS
4906,49,PLANS AND DRAWINGS FOR ARCHITECTURAL
4907,49,UNUSED POSTAGE; STAMP-IMPRESSED PAPER; BANKNOTES; CHECK FORMS; STOCK
4908,49,TRANSFERS (DECALOMANIAS)
4909,49,POSTCARDS
4910,49,CALENDARS OF ANY KIND
4911,49,PRINTED CATALOGS RELATING PRINCIPALLY TO CURRENT OFFERS FOR THE SALE OF UNITED STATES PRODUCTS
5001,50,SILKWORM COCOONS SUITABLE FOR REELING
5002,50,RAW SILK (NOT THROWN)
5003,50,SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING
5004,50,SILK YARN (OTHER THAN YARN SPUN FROM SILK WASTE) NOT PUT UP FOR RETAIL SALE
5005,50,SILK YARN
5006,50,SILK YARN AND YARN SPUN FROM SILK WASTE
5007,50,WOVEN FABRICS OF SILK OR OF SILK WASTE: FABRICS OF NOIL SILK: CONTAINING 85 PERCENT OR MORE BY WEIGHT OF SILK OR SILK WASTE; MORE THAN 127 CM IN WIDTH
5101,51,SHORN WOOL
5102,51,FINE OR COARSE ANIMAL HAIR OF CASHMERE GOATS: NOT CARDED OR COMBED
5103,51,WASTE OF WOOL OR OF FINE OR COARSE ANIMAL HAIR
5104,51,GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR
5105,51,WOOL AND FINE OR COARSE ANIMAL HAIR
5106,51,YARN OF CARDED WOOL
5107,51,YARN OF COMBED WOOL
5108,51,YARN OF FINE ANIMAL HAIR (CARDED OR COMBED)
5109,51,YARN
5110,51,YARN OF COARSE ANIMAL HAIR OR OF HORSEHAIR (INCLUDING GIMPED HORSEHAIR YARN)
5111,51,CARDED HANDWOVEN FABRIC
5112,51,COMBED WOVEN FABRIC
5113,51,WOVEN FABRICS OF COARSE ANIMAL HAIR OR OF HORSEHAIR
5202,52,COTTON WASTE: YARN WASTE (INCLUDING THREAD WASTE)
5203,52,COTTON
5204,52,COTTON SEWING THREAD
5205,52,COTTON YARN (OTHER THAN SEWING THREAD)
5206,52,COTTON YARN (OTHER THAN SEWING THREAD) 85% LESS BY WGT OF COTTON
5207,52,COTTON YARN (OTHER THAN SEWING THREAD) PUT UP FOR RETAIL SALE CONTAINING 85% OR MORE BY WEIGHT OF COTTON
5208,52,WOV FABRICS OF COTTON CONTG 85% OR MORE BY WT OF COTTON WEIGHING NOT MORE THAN 100 G/M2 UNBLCHD PLAIN WEAVE OF NUMBER 42 OR LOWER POPLIN OR BROADCLOTH
5209,52,WOVEN FABRIC OF COTTON CONTAINING >= 85% BY WEIGHT OF COTTON
5210,52,WOV FAB OF COTTON CONTG <85% BY WT OF COTTON
5211,52,WOVEN FABRIC OF COTTON CONTAINING < 85% BY WEIGHT OF COTTON
5212,52,UNBLEACHED WOVEN FABRIC
5301,53,FLAX
5302,53,TRUE HEMP
5303,53,JUTE & OTHER TEXTILE BAST FIBERS
5305,53,COCONUT
5306,53,FLAX YARN: SINGLE
5307,53,YARN OF JUTE OR OTHER TEXTILE BAST FIBERS (EXC FLAX
5308,53,YARN OF OTHER VEGETABLE TEXTILE FIBERS: COIR YARN
5309,53,UNBLEACHED OR BLEACHED WOVEN FABRICS
5310,53,UNBLEACHED WOVEN FABRICS OF JUTE
5311,53,WOVEN FABRICS OF OTHER NON-COTTON VEGETABLE TEXTILE FIBERS
5401,54,SEWING THREAD OF MAN-MADE FILAMENTS
5402,54,SYN. FILAMENT YARN: SINGLE
5403,54,ARTIFICIAL FILAMENT YARN: SINGLE HIGH TENACITY MONOFILAMENT
5404,54,SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1MM: MONOFILAMENT: ELASTOMERIC
5405,54,ARTIFICIAL MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1MM: MONOFILAMENT
5406,54,MAN-MADE FILAMENT YARN (OTHER THAN SEWING THREAD)
5407,54,WOVEN FABRICS OF SYNTHETIC FILAMENT YARN; WOVEN FABRIC OF HIGH TENACITY YARNS
5408,54,WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN
5501,55,SYNTHETIC FILAMENT TOW OF ARAMIDS
5502,55,ARTIFICIAL FILAMENT TOW OF CELLULOSE ACETATE
5503,55,SYNTHETIC STAPLE FIBERS
5504,55,ARTIFICIAL STAPLE FIBERS
5505,55,WASTE (INCLUDING NOILS
5506,55,SYNTHETIC STAPLE FIBERS
5507,55,ARTIFICIAL STAPLE FIBERS
5508,55,SEWING THREAD OF MAN-MADE STAPLE FIBERS
5509,55,YARN (OT THAN SEWING THREAD) OF SYNTHETIC STAPLE FIBERS NOT PUT UP FOR RETAIL SALE >=85% BY WT OF STAPLE FIBERS OF NYLON OR OTH POLYAMIDES SINGLE YRN
5510,55,YARN (NOT SEWING THREAD) OF ARTIFICIAL STAPLE FIBERS NOT FOR RETAIL SALE CONTG >=85% WEIGHT OF ARTIFICIAL STAPLE FIBERS SINGLE YARN
5511,55,YARNS
5512,55,WOVEN FABRICS OF SYNTHETIC STAPLE FIBERS
5513,55,UNBLEACHED OR BLEACHED PLAIN WEAVE POPLIN OR BROADCLOTH
5514,55,UNBLEACHED OR BLEACHED POPLIN OR BROADCLOTH
5515,55,FABRIC
5516,55,WOVEN FABRICS OF ARTIFICIAL STAPLE FIBERS: UNBLEACHED OR BLEACHED PLAIN WEAVE FABRIC
5601,56,WADDING OF TEXTILE MATERIALS; TEXTILE FIBERS NOT EXCEEDING 5MM IN LENGTH; WADDING
5602,56,FELT
5603,56,NON-WOVEN FABRICS OF MAN-MADE FILAMENTS
5604,56,RUBBER THREAD AND CORD
5605,56,METAL COATED OR METAL LAMINATED MAN-MADE FILAMENT OR STRIP OF THE LIKE
5606,56,GIMPED YARN
5607,56,TWINE
5608,56,KNOTTED NETTING OF TWINE
5609,56,OTHER ARTICLES OF YARN
5701,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS
5702,57,WOVEN CARPETS AND OTHER TEXTILE FLOOR COVERINGS
5703,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS
5704,57,CARPETS AND FLOOR COVERINGS TILES
5705,57,OTHER CARPETS AND TEXTILE FLOOR COVERINGS
5801,58,WOVEN PILE FABRICS AND CHENILLE FABRICS
5802,58,TERRY TOWELING & SIMILAR WOVEN TERRY FABRICS
5803,58,GAUZE
5804,58,TULLES AND OTHER NET FABRICS
5805,58,HAND-WOVEN TAPESTRIES OF THE GOBELINS
5806,58,NARROW WOVEN FABRICS
5807,58,LABELS IN THE PIECE
5808,58,BRAIDS & ORNAMENTAL TRIMMINGS IN THE PIECE
5809,58,WOVEN FABRIC OF METAL THREAD AND METALIZED YARN OF HEADING 5605
5810,58,EMBROIDERY IN THE PIECE
5811,58,QUILTED TEXTILE PRODUCTS IN THE PIECE
5901,59,TEXTILE FABRICS COATED WITH GUM OR AMYLACOUS SUBSTANCES
5902,59,TIRE CORD FABRIC
5903,59,TEXTILE FABRICS
5904,59,LINOLEUM
5905,59,TEXTILE WALL COVERINGS
5906,59,RUBBERIZED TEXTILE FABRICS
5907,59,LAMINATED FABRICS OF MAN-MADE FIBERS FOR THEATRICAL
5908,59,TEXTILE WICKS
5909,59,TEXTILE HOSEPIPING AND SIMILAR TEXTILE TUBING
5910,59,TRANSMISSION OR CONVEYOR BELTS OR BELTING
5911,59,TEXTILE PRODUCTS AND ARTICLES
6001,60,LONG PILE FABRIC
6002,60,KNITTED OR CROCHETED COTTON FABRICS
6003,60,OPEN WORK FABRICS
6004,60,OPEN-WORK FIGURED FABRICS
6005,60,WARP KNIT FABRICS (INCLUDING THOSE MADE ON GALLOON KNITTING MACHINES) OF UNBLEACHED OR BLEACHED COTTON
6006,60,OTHER KNITTED OR CROCHETED FABRICS OF WOOL OR FINE ANIMAL HAIR
6101,61,MEN'S OR BOYS' OVERCOATS
6102,61,WOMEN'S OR GIRLS' OVERCOATS
6103,61,MEN'S OR BOYS' SUITS
6104,61,WOMEN'S OR GIRLS' SUITS
6105,61,MEN'S SHIRTS
6106,61,WOMEN'S BLOUSES AND SHIRTS
6107,61,MEN'S UNDERPANTS AND BRIEFS
6108,61,WOMEN'S SLIPS AND PETTICOATS
6109,61,MEN'S OR BOYS' COTTON T-SHIRTS
6110,61,MEN'S SWEATERS
6111,61,BABIES GARMENTS AND CLOTHING ACCESSORIES
6112,61,MEN'S OR BOYS' TRACK SUITS
6113,61,MEN'S OR BOYS' COATS AND JACKETS
6114,61,MEN'S OR BOYS' OTHER GARMENTS
6115,61,SURGICAL STOCKINGS AND PANTY HOSE WITH GRADUATED COMPRESSION FOR ORTHOPEDIC TREATMENT
6116,61,GLOVES
6117,61,OTHER MADE UP CLOTHING ACCESSORIES
6201,62,MEN'S OVERCOATS
6202,62,WOMEN'S OVERCOATS
6203,62,MEN'S OR BOYS' SUITS
6204,62,WOMEN'S OR GIRLS' SUITS
6205,62,MEN'S OR BOYS' SHIRTS
6206,62,WOMEN'S OR GIRLS' BLOUSES
6207,62,MEN'S OR BOYS' UNDERPANTS AND BRIEFS
6208,62,WOMEN'S OR GIRLS' SLIPS AND PETTICOATS
6209,62,BABIES' GARMENTS AND CLOTHING ACCESSORIES: DRESSES
6210,62,GARMENTS
6211,62,MEN'S SWIMWEAR
6212,62,BRASSIERES
6213,62,HANDKERCHIEFS
6214,62,SHAWLS
6215,62,TIES
6216,62,GLOVES
6217,62,HEADBANDS
6301,63,BLANKETS AND TRAVELING RUGS: ELECTRIC BLANKETS
6302,63,BED LINEN
6303,63,WINDOW SHADES AND WINDOW BLINDS OF SYNTHETIC FIBERS
6304,63,OTHER FURNISHING ARTICLES
6305,63,SACKS AND BAGS
6306,63,TARPAULINS
6307,63,BAR MOPS
6308,63,NEEDLECRAFT SETS CONSISTING OF WOVEN FABRIC AND YARN
6309,63,WORN CLOTHING AND OTHER WORN ARTICLES: WORN CLOTHING
6310,63,SORTED USED OR NEW RAGS
6401,64,WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS: FOOTWEAR INCORPORATING A PROTECTIVE METAL TOE-CAP
6402,64,SKI-BOOTS
6403,64,FOOTWEAR WITH OUTER SOLES OF RUBBER PLASTICS LEATHER COMPOSITION LEATHER AND UPPERS OF LEATHER: SPORTS FTWR: SKI-BOOTS/CROSS-CTY SKI FTWR: WELT FOOTWR
6404,64,FOOTWEAR WITH UPPERS OF TEX MATLS AND OUTER SOLES RUB/PLAS: SPORT FTWR; TENNIS
6405,64,FOOTWEAR WITH UPPERS OF LEATHER OR COMPOSITION LEATHER FOR MEN
6406,64,PARTS OF FOOTWEAR FORMED UPPERS OTHER THAN STIFFENERS
6501,65,HAT FORMS
6502,65,HAT SHAPES
6504,65,HATS AND OTHER HEADGEAR
6505,65,HAIR-NETS
6506,65,OTHER HEADGEAR
6507,65,HEADBANDS
6601,66,UMBRELLAS
6602,66,WALKING-STICKS
6603,66,UMBRELLA FRAMES FOR HAND-HELD UMBRELLAS CHIEFLY USED FOR PROTECTION AGAINST RAIN
6701,67,ARTICLES OF FEATHERS OR DOWN
6702,67,ARTIFICAL FLOWERS OF PLASTICS ASSEMBLED BY BINDING WITH FLEXIBLE MATERIALS SUCH AS WIRE
6703,67,HUMAN HAIR
6704,67,WIGS
6801,68,SETTS
6802,68,TILES CUBES A SIMLR ARTCLS LRGST SURF AREA CAPL O BNG ENCL I A SQ THESDE O WHCH LSS THN 7CM; ARTFCLLY CLRD GRNLS CHPPGS A POWDER
6803,68,ROOFING SLATE
6804,68,MILLSTONES AND GRINDSTONES FOR MILLING
6805,68,ABRASIVE ARTICLES ON A BASE OF WOVEN TEXTILE FABRIC ONLY
6806,68,ACCOUSTICAL PADS AND BOARDS OF MINERAL WOOLS AND SIMILAR
6807,68,ARTICLES OF ASPHALT OR SIMILAR MATERIALS IN ROLLS
6808,68,PANELS BRDS TILES BLCKS A SMLR ARTCLS OF VEG FBR STRW O SHVNGS CHPS PRTCLS SWDST ETC AGGLM W CEMNT PLSTR O OTHR MINRL BNDRS
6809,68,GYPSUM PLASTER BOARDS
6810,68,MAGNESIA CARBON BRICKS CONTAINING BY WGT GT 70% MGO
6811,68,ARTICLES CONTAINING ASBESTOS
6812,68,CROCIDOLITE FOOTWEAR
6813,68,BRAKE LININGS AND PADS FOR USE IN CIVIL AIRCRAFT
6814,68,PLATES SHEET AND STRIPS OF AGGLOMERATED OR RECONSTITUTED MICA
6815,68,CARBON FIBERS
6901,69,BRICKS
6902,69,MAGNESITE BRICKS
6903,69,OTHER REFRACTORY CERAMIC GOODS (RETORTS
6904,69,SOLID BUILDING BRICKS
6905,69,ROOFING TILES
6906,69,CERAMIC PIPES
6907,69,UNGLAZED CERAMIC TILES
6909,69,MACHINERY PARTS OF PORCELAIN OR CHINA
6910,69,WATER CLOSET BOWLS
6911,69,HOTEL AND RESTAURANT TABLEWARE AND KITCHENWARE OF PORCELAIN OR CHINA
6912,69,TABLEWARE AND KITCHENWARE OF EARTHENWARE WITH A REDDISH-COLORED BODY AND A LUSTROUS GLAZE WHICH
6913,69,STATUES
6914,69,CERAMIC FERRULES OF PROCELAIN OR CHINA
7001,70,GLASS IN THE MASS
7002,70,GLASS IN BALLS (OTHER THAN MICROSPHERES OF HEADING 7018) NOT OVER 6MM IN DIAMETER
7003,70,CAST GLASS & ROLLED GLASS
7004,70,DRAWN GLASS AND BLOWN GLASS
7005,70,FLOAT GLASS AND SURFACE GROUND OR POLISHED GLASS
7006,70,GLASS STRIPS NOT OVER 15.2CM WIDE
7007,70,TOUGHENED (TEMPERED) SAFETY GLASS
7008,70,MULTIPLE-WALLED INSULATING UNITS OF GLASS
7009,70,REAR-VIEW MIRRORS FOR VEHICLES
7010,70,AMPOULES
7011,70,GLASS BULBS WITHOUT FITTINGS
7013,70,GLASS-CERMCS GLASSWRE
7014,70,LENS BLANKS (OTHER THAN FOR SPECTACLES) NOT OPTICALLY WORKED
7015,70,GLASSES FOR CORRECTIVE SPECTACLES
7016,70,GLASS CUBES AND OTHER GLASS SMALLWARES
7017,70,PHARMACEUTICAL GLASSWARE
7018,70,IMITATION PEARLS
7019,70,CHOPPED STRANDS OF GLASS FIBERS
7020,70,OTHER ARTICLES OF GLASS
7101,71,NATURAL PEARLS GRADED AND TEMPORARILY STRUNG FOR CONVENIENCE OF TRANSPORT
7102,71,DIAMONDS
7103,71,UNWORKED PRECIOUS AND SEMIPRECIOUS STONES
7104,71,PIEZO-ELECTRIC QUARTZ NOT MOUNTED OR SET
7105,71,DIAMOND POWDER OR DUST
7106,71,SILVER POWDER
7107,71,BASE METALS CLAD WITH SILVER
7108,71,GOLD POWDER
7109,71,BASE METALS OR SILVER
7110,71,GRAIN AND NUGGETS OF THE METAL PLATINUM
7111,71,BASE METALS
7112,71,ASH CONTAINING PRECIOUS METAL OR PRECIOUS METAL COMPOUNDS
7113,71,SILVER CHAINS ROPES AND SIMILAR ARTCLES PRDCD IN CONTINUS LNGTHS INCLPLAT OR GLD PLTD
7114,71,KNIVES WITH STERLING SILVER HANDLES WHETHER OR NOT PLATED OR CLAD WI TH GOLD OR PLATINUM
7115,71,CATALYSTS
7116,71,ARTICLES OF NATURAL PEARLS
7117,71,CUFF LINKS AND STUDS OF BASE METAL WHETHER OR NOT PLATED WITH PRECIOUS METAL
7118,71,COIN (OTHER THAN GOLD COIN)
7201,72,NONALLOY PIG IRON CONTAINING 0.5 PERCENT OR LESS PHOSPHORUS
7202,72,FERROMANGANESE OVER 2 PERCENT BUT NOT OVER 4 PERCENT CARBON
7203,72,FERROUS PRODUCTS OBTAINED BY DIRECT REDUCTION OF IRON ORE
7204,72,CAST IRON WASTE AND SCRAP
7205,72,GRANULES
7206,72,IRON AND NONALLOY STEEL INGOTS
7207,72,SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL UNDER 0.25 PERCENT CARBON RECTANGULAR OR SQUARE CROSS-SECTION WIDTH LESS THAN TWICE THE THICKNESS
7208,72,FLAT-ROLLED IRON OR NONALLOY STEEL COILS
7209,72,FLAT-ROLLED IRON OR NONALLOY STEEL COILS
7210,72,FLAT-ROLLED IRON OR NONALLOY STEEL
7211,72,FLAT-ROLLED IRON OR NONALLOY STEEL
7212,72,FLAT-ROLLED IRON OR NONALLOY STEEL
7213,72,CONCRETE REINFORCING BARS AND RODS OF IRON OR NONALLOY STEEL
7214,72,BARS AND RODS OF IRON OR NONALLOY STEEL
7215,72,BARS AND RODS OF FREE-CUTTING STEEL
7216,72,ANGLES
7217,72,FLAT WIRE
7218,72,STAINLESS STEEL INGOTS AND OTHER PRIMARY FORMS
7219,72,FLAT-ROLLED STAINLESS STEEL NOT FURTHER WORKED THAN HOT-ROLLED
7220,72,FLAT-ROLLED
7221,72,STAINLESS STEEL BARS AND RODS
7222,72,BARS AND RODS OF STAINLESS STEEL
7223,72,SPRING ROUND WIRE OF STAINLESS STEEL
7224,72,INGOTS AND OTHER PRIMARY FORMS OF HIGH-NICKEL ALLOY STEEL
7225,72,FLAT-ROLLED PRODUCTS OF SILICON ELECTRICAL STEEL
7226,72,FLAT-ROLLED PRODUCTS OF SILICON ELECTRICAL STEEL
7227,72,BARS AND RODS OF HIGH-SPEED STEEL
7228,72,OTHER BARS AND RODS HIGH-SPEED STEEL NOT COLD-FORMED
7229,72,SILICO-MANGANESE STL WIRE
7301,73,SHEET PILING OF IRON OR STEEL
7302,73,RAILS
7303,73,SOIL PIPE OF CAST IRON
7304,73,LINE PIPE OF A KIND USED FOR OIL OR GAS PIPELINES
7305,73,LINE PIPE FOR OIL/GAS PIPELINE
7306,73,LINEPIPE  FOR OIL/GAS PIPELINES
7307,73,FITTINGS
7308,73,BRIDGES AND BRIDGE SECTIONS OF IRON OR STEEL
7309,73,TANKS
7310,73,REFILLABLE STAINLESS STEEL KEGS OF STATISTICAL NOTE 1
7311,73,SEAMLESS STEEL CONTAINERS FOR COMPRESSED OR LIQUEFIED GAS
7312,73,STRANDED WIRE OF STAINLESS STEEL
7313,73,BARBED WIRE; TWISTED HOOP OR SINGLE FLAT WIRE
7314,73,ENDLESS BANDS FOR MACHINERY
7315,73,ROLLER CHAIN FOR MOTOR VEHICLES
7316,73,ANCHORS
7317,73,THUMB TACKS OF IRON OR STEEL
7318,73,COACH SCREWS
7319,73,SAFETY PINS ON CARDS
7320,73,LEAF SPRINGS AND LEAVES THEREFOR SUITABLE FOR MOTOR VEH SUSPENSION
7321,73,PORTABLE STOVES AND RANGES
7322,73,RADIATORS FOR CENTRAL HEATING AND PARTS THEREOF
7323,73,IRON OR STEEL WOOL; POT SCOURERS AND SCOURING OR POLISHING PADS
7324,73,SINKS OF STAINLESS STEEL WITH ONE OR MORE DRAWN BOWLS (BASINS)
7325,73,MANHOLE COVERS
7326,73,GRINDING BALLS AND SIMILAR ARTICLES FOR MILLS
7402,74,UNREFINED COPPER
7403,74,REFINED COPPER CATHODES AND SECTIONS OF CATHODES
7405,74,MASTER ALLOYS OF COPPER CONTAINING BY WEIGHT 5 PERCENT OF MORE BUT NOT MORE THAN 15 PERCENT PHOSPHORUS
7406,74,COPPER POWDERS OF NON-LAMELLAR STRUCTURE
7407,74,HOLLOW PROFILES OF REFINED COPPER
7408,74,REFINED COPPER WIRE WITH A MAXIMUM CROSS-SECTIONAL DIMENSION OVER 9.5MM
7409,74,REFINED COPPER PLATES
7410,74,COPPER FOIL
7411,74,TUBES AND PIPES OF REFINED COPPER
7412,74,FITTINGS
7413,74,STRANDED WIRE
7415,74,NAILS
7418,74,POT SCOURERS AND SCOURING OR POLISHING PADS
7419,74,BRASS PLUMBING GOODS NESOI CAST STAMPED OR FORGED BUT NOT FURTHER WORKED
7501,75,NICKEL MATTES
7502,75,NICKEL
7503,75,NICKEL WASTE AND SCRAP
7504,75,NICKEL POWDERS
7505,75,NICKEL BARS AND RODS NOT ALLOYED COLD-FORMED
7506,75,NICKEL
7507,75,PIPES AND TUBES OF NICKEL
7508,75,CLOTH
7601,76,UNW ALUM NT ALOYD OF UNIFM CROS SECT THROUT IT LNTH LEST CROS SECT DIMNSON NT GREATER THAN 9.5 MM IN COILS
7602,76,RECYCLABLE USED BEVERAGE CONTAINERS
7603,76,ALUMINUM POWDERS OF NON-LAMELLAR STRUCTURE
7604,76,ALUMINUM PROFILES NOT ALLOYED
7605,76,ALUMINUM WIRE NOT ALLOYED OF WHICH THE MAXIMUM CROSS-SECTIONAL DIMENSION EXCEEDS 7 MM
7606,76,ALUMINUM PLATES SHEETS AND STRIP RECTANGULAR INCLUDING SQUARE NOT ALLOYED NOT CLAD WITH THICKNESS OF MORE THAN 6.3MM
7607,76,ALUMINUM FOIL OF A THICKNESS NOT EXCEEDING 0.01MM NOT BACKED
7608,76,ALUMINUM TUBES AND PIPES NOT ALLOY
7609,76,ALUMINUM TUBE OR PIPE FITTINGS (COUPLINGS
7610,76,ALUMINUM WINDOWS AND THEIR FRAMES
7611,76,ALUMINUM TANKS WITH CAPACITY EXCEEDING 300 LITERS
7612,76,ALUMINUM COLLAPSIBLE TUBULAR CONTAINERS CAP NT OV 300 LITERS
7613,76,ALUMINUM CONTAINERS FOR COMPRESSED OR LIQUEFID GAS
7614,76,STRANDED WIRE
7615,76,POT SCOURERS
7616,76,ALUMINUM NAILS
7801,78,REFINED LEAD
7802,78,LEAD WASTE AND SCRAP OBTAINED FROM LEAD-ACID STORAGE BATTERIES
7804,78,LEAD SHEETS
7806,78,LEAD BARS RODS PROFILES AND WIRE
7901,79,ZINC
7902,79,ZINC WASTE AND SCRAP
7903,79,ZINC DUST
7904,79,ZINC BARS
7905,79,ZINC PLATES
7907,79,ZINC ARTICLES USED FOR HOUSEHOLD
8001,80,TIN
8002,80,TIN WASTE AND SCRAP
8003,80,TIN BARS
8007,80,TIN ARTICLES NESOI SUITABLE FOR FOOD OR BEVERAGE SERVICE NOT PRECIOUSMETAL PLATED
8101,81,TUNGSTEN (WOLFRAM) POWDERS
8102,81,MOLYBDENUM POWDERS
8103,81,TANTALUM POWDERS
8104,81,UNWROUGHT MAGNESIUM
8105,81,UNWROUGHT COBALT ALLOYS
8106,81,BISMUTH AND ARTICLES THEREOF CONTAINING MORE THAN 99.99% BISMUTH
8108,81,SPONGE
8109,81,UNWROUGHT ZIRCONIUM POWDERS CONTAINING LESS THAN 1 PART HAFNIUM TO 500 PARTS ZIRCONIUM BY WEIGHT
8110,81,UNWROUGHT ANTIMONY; POWDERS
8111,81,MANGANESE WASTE AND SCRAP
8112,81,OTHER UNWROUGHT BERYLLIUM; BERYLLIUM POWDERS
8113,81,CERMETS AND ARTICLES THEREOF
8201,82,SPADES AND SHOVELS AND PARTS THEREOF OF BASE METAL
8202,82,HANDSAWS AND PARTS EXCEPT BLADES
8203,82,FILES
8204,82,OPEN-END
8205,82,DRILLING
8206,82,TOOLS OF 2 OR MORE OF HEADINGS 8202 TO 8205
8207,82,ROCK DRILLING OR EARTH BORING TOOLS WITH WORKING PART OF CERMETS
8208,82,KNIVES AND CUTTING BLADES FOR METAL SHEARING MACHINES OVER 30.5 5CM LONG OR OVER 15.2CM DIAMETER FOR METAL SHEARING/SPLITTING MACHS
8209,82,PLATES
8210,82,HAND-OPERATED MECHANICAL APPLIANCES 10KG OR LESS FOR PREPARATION
8211,82,SETS OF ASSORTED KNIVES AND BLADES AND BASE METAL PARTS THEREOF EXCEPT KNIVES OF 8208
8212,82,RAZORS
8213,82,SCISSORS
8214,82,PAPER KNIVES
8215,82,SETS OF ASSORTED TABLEWARE
8301,83,PADLOCKS
8302,83,HINGES AND PARTS THEREOF
8303,83,ARMORED OR REINFORCED SAFES
8304,83,DESK-TOP FILING OR CARD-INDEX CABINETS
8305,83,RING BINDER MECHANISMS FOR LOOSELEAF BINDERS
8306,83,BELLS
8307,83,FLEXIBLE TUBING OF IRON OR STEEL
8308,83,HOOKS
8309,83,CROWN CORKS (INCLUDING CROWN SEALS AND CAPS)
8310,83,SIGN PLATES
8311,83,COATED ELECTRODES OF BASE METAL
8401,84,NUCLEAR REACTORS
8402,84,WATERTUBE BOILERS WITH A STEAM PRODUCTION EXCEEDING 45 T PER HOUR
8403,84,CENTRAL HEATING BOILERS
8404,84,ECONOMIZERS FOR USE WITH BOILERS OF HEADING 8402 OR 8403
8405,84,PRODUCER GAS
8406,84,STEAM TURBINES FOR MARINE PROPULSION
8407,84,SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES FOR CIVIL AIRCRAFT
8408,84,COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINES FOR MARINE PROPULSION
8409,84,PARTS FOR SPARK-IGNITION OR COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINES FOR USE IN CIVIL AIRCRAFT
8410,84,HYDRAULIC TURBINES AND WATER WHEELS OF A POWER NOT EXCEEDING 1
8411,84,TURBOJET TURBINES (ENGINES)
8412,84,MISSILE AND ROCKET REACTION ENGINES
8413,84,PUMPS FOR DISPENSING FUEL OR LUBRICANTS
8414,84,VACUUM PUMPS
8415,84,AIR-CONDITIONERS
8416,84,FURNACE BURNERS FOR LIQUID FUEL
8417,84,FURNACES & OVENS FOR ROASTING
8418,84,REFRIGERATOR-FREEZERS COMBINED
8419,84,INSTANTANEOUS GAS WATER HEATERS
8420,84,TEXTILE CALENDERING OR ROLLING MACHINES
8421,84,CREAM SEPARATORS
