Facility,Group,Commodity,ImportTons,ExportTons,TotalTons,Direction
AGG,Dry Bulk,Minerals & Ores,127151.0,,127151.0,Import
ARTCO 110-111 Buoys,Break Bulk,General Cargo,120723.0,,120723.0,Import
Sugarland St James,Liquid Bulk,Petroleum,119708.0,,119708.0,Import
Nashville Ave,Dry Bulk,Non-Ferrous Raw Materials,113142.0,19.0,113160.0,Both
Laplace Buoys,Dry Bulk,Carbon Products,112171.0,,112171.0,Import
Stolthaven,Break Bulk,General Cargo,110254.0,,110254.0,Import
ADM Destrehan Buoys,Dry Bulk,Construction Materials,105394.0,,105394.0,Import
AST Arabi Dolphins,Dry Bulk,Ferrous Raw Materials,104221.0,,104221.0,Import
AST Chalmette Slip,Dry Bulk,Non-Ferrous Raw Materials,104072.0,,104072.0,Import
AST Chalmette Buoys,Dry Bulk,Carbon Products,102362.0,,102362.0,Import
Reserve Buoys,Dry Bulk,Minerals & Ores,95149.0,,95149.0,Import
AGG,Break Bulk,General Cargo,92295.0,,92295.0,Import
AGG,Dry Bulk,Non-Ferrous Raw Materials,91313.0,,91313.0,Import
Vulcan St Rose,Liquid Bulk,Petroleum,89201.0,,89201.0,Import
Laplace Buoys,Dry Bulk,Fertilizer,88204.0,,88204.0,Import
AST Arabi Dolphins,Dry Bulk,Non-Ferrous Raw Materials,86618.0,,86618.0,Import
MPLX Garyville,Dry Bulk,Fertilizer,81607.0,,81607.0,Import
AST Chalmette Slip,Dry Bulk,Minerals & Ores,80372.0,,80372.0,Import
Reserve Buoys,Dry Bulk,Agricultural,80000.0,,80000.0,Import
110 Buoys,Dry Bulk,Minerals & Ores,76011.0,,76011.0,Import
Total Carville,Liquid Bulk,Chemicals,75772.0,,75772.0,Import
NuStar St James,Liquid Bulk,Petroleum,74497.0,,74497.0,Import
AST Globalplex,Break Bulk,General Cargo,73851.0,,73851.0,Import
Valero St Charles,Break Bulk,General Cargo,71940.0,,71940.0,Import
7th Street,Dry Bulk,Non-Ferrous Raw Materials,71240.0,,71240.0,Import
AST Chalmette Slip,Break Bulk,Forestry,70555.0,,70555.0,Import
ADM Reserve,Dry Bulk,Agricultural,,68315.0,68315.0,Export
Cargill Westwego,Dry Bulk,Agricultural,,68126.0,68126.0,Export
Stolthaven,Liquid Bulk,Agricultural,65824.0,,65824.0,Import
111 Buoys,Dry Bulk,Fertilizer,65700.0,,65700.0,Import
KMI Harvey,Liquid Bulk,Petroleum,65693.0,,65693.0,Import
Blackwater Harvey,Break Bulk,General Cargo,64068.0,,64068.0,Import
KMI Harvey,Liquid Bulk,Chemicals,61407.0,,61407.0,Import
Cooper Dockside Buoys,Dry Bulk,Agricultural,60183.0,,60183.0,Import
Copper Darrow Buoys,Break Bulk,Forestry,59439.0,,59439.0,Import
AST Chalmette Buoys,Break Bulk,Forestry,59086.0,,59086.0,Import
AST Arabi Dolphins,Break Bulk,General Cargo,57713.0,,57713.0,Import
Buckeye Marrero,Liquid Bulk,Petroleum,57485.0,,57485.0,Import
Copper Dockside Buoys,Break Bulk,Steel,55694.0,,55694.0,Import
7th Street,Break Bulk,Steel,55112.0,,55112.0,Import
7th Street,Dry Bulk,Construction Materials,54832.0,,54832.0,Import
AST Globalplex,Dry Bulk,Ferrous Raw Materials,54231.0,,54231.0,Import
Vulcan Westwego,Dry Bulk,Construction Materials,53606.0,,53606.0,Import
AST Globalplex,Dry Bulk,Fertilizer,52687.0,,52687.0,Import
AST Arabi Dolphins,Dry Bulk,Carbon Products,51789.0,,51789.0,Import
ADM Destrehan Buoys,Dry Bulk,Minerals & Ores,51080.0,,51080.0,Import
Stolthaven,Liquid Bulk,Chemicals,50252.0,,50252.0,Import
IMT Coal,Dry Bulk,Carbon Products,,50000.0,50000.0,Export
PCS Nitrogen,Break Bulk,General Cargo,49370.0,,49370.0,Import
AST Arabi Dolphins,Break Bulk,Forestry,47288.0,,47288.0,Import
AST St James Buoys,Break Bulk,Metals,45750.0,,45750.0,Import
Blackwater Westwego,Liquid Bulk,Chemicals,45234.0,,45234.0,Import
IMTT,Dry Bulk,Carbon Products,45023.0,,45023.0,Import
AST Arabi Dolphins,Break Bulk,Steel,42774.0,,42774.0,Import
Nashville Ave,Break Bulk,General Cargo,41501.0,215.0,41716.0,Both
Laplace Buoys,Dry Bulk,Agricultural,40937.0,,40937.0,Import
