registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code,facility_type
110032599551,BOB'S CONCRETE,5249 SOUTH 5500 WEST,HOOPER,UT,84315,WEBER,8.0,41.16885,-112.11282,327320,Ready-Mix Concrete
110027235301,SUNROC CORPORATION,155 NORTH OLD HIGHWAY 91,HURRICANE,UT,84737,WASHINGTON,8.0,37.169211,-113.423103,327320,Ready-Mix Concrete
110044903352,HYRUM HOT PLANT,410 NORTH 800 EAST,HYRUM,UT,84319,CACHE,8.0,41.64188,-111.83272,327320,Ready-Mix Concrete
110040434456,KANAB,1450 SOUTH STATE ROAD 11,KANAB,UT,84741,KANE,8.0,37.0225,-112.526667,327320,Ready-Mix Concrete
110040434447,TODDS JUNCTION,HWY 89 EAST OF LONG VALLEY JUNCTION,KANE COUNTY,UT,84759,KANE,8.0,37.488333,-112.510556,327320,Ready-Mix Concrete
110020098491,KAYSVILLE READY MIX CONCRETE,376 N 650 W,KAYSVILLE,UT,84037,DAVIS,8.0,41.0409,-111.95348,327320,Ready-Mix Concrete
110002160063,GENEVA ROCK PRODUCTS   BACCHUS PIT,6200 S 6400 W,KEARNS,UT,84118,SALT LAKE,8.0,40.638889,-112.040558,327320,Ready-Mix Concrete
110063023632,WEST VALLEY BATCH PLANT,7000 WEST 6400 SOUTH,KEARNS,UT,84118,SALT LAKE,8.0,40.651773,-112.055885,327320,Ready-Mix Concrete
110001880661,GENEVA ROCK PRODUCTS,750 E 3000 N,LAYTON,UT,84041,DAVIS,8.0,41.102998,-112.083797,327320,Ready-Mix Concrete
110043480300,POINT WEST FACILITY,11700 NORTH THANKSGIVING WAY,LEHI,UT,84043,UTAH,8.0,40.448284,-111.912075,327320,Ready-Mix Concrete
110013863863,"GENEVA ROCK PRODUCTS, INC. - PELICAN POINT LIMESTONE, AGGREGATE, & CONCRETE FA",8995 N. REDWOOD ROAD,LEHI,UT,84043,UTAH,8.0,40.388176,-111.91631,327320,Ready-Mix Concrete
110030924677,POINT WEST CONCRETE FACILITY,117 NORTH FRONTAGE ROAD,LEHI,UT,84043,UTAH,8.0,40.402857,-111.851282,327320,Ready-Mix Concrete
110041904776,POINT SOUTH READY MIX FACILITY,12100 NORTH EAST FRONTAGE ROAD,LEHI,UT,84043,UTAH,8.0,40.451184,-111.911453,327320,Ready-Mix Concrete
110007199254,GENEVA ROCK/PELICAN POINT/ROCKWELL,1565 NORTH REDWOOD ROAD; WEST SIDE OF UTAH LAKE,LEHI,UT,84043,UTAH,8.0,40.259809,-111.869174,327320,Ready-Mix Concrete
110071140395,JACK B. PARSON POINT WEST SHOP,11700 NORTH THANKSGIVING WAY,LEHI,UT,84020,UTAH,,40.448284,-111.912075,327320,Ready-Mix Concrete
110013863809,STAKER & PARSON COMPANIES- LEHI-PECK PIT,APPROXIMATELY 5.6 MILES WEST,LEHI,UT,84043,UTAH,8.0,40.3866,-111.957832,327320,Ready-Mix Concrete
110025331807,POINT SOUTH READY MIX CONCRETE,12062 N 10560 W,LEHI,UT,84043,UTAH,8.0,40.40325,-111.85187,327320,Ready-Mix Concrete
110001882491,STAKER & PARSON COMPANIES POINT WEST READY-MIX CONCRETE,11700 N FRONTAGE RD,LEHI,UT,84043,UTAH,8.0,40.4505,-111.90304,327320,Ready-Mix Concrete
110021090843,CONCRETE PROCESSING EQUIPMENT,2151 N 600 W,LOGAN,UT,84321,CACHE,8.0,41.77133,-111.84886,327320,Ready-Mix Concrete
110001880545,LE GRAND JOHNSON CONSTRUCTION LOGAN SHOP,1000 SOUTH MAIN STREET,LOGAN,UT,84321,CACHE,8.0,41.713077,-111.834749,327320,Ready-Mix Concrete
110041904810,GENEVA ROCK PRODUCTS: LOGAN,2151 NORTH 600 WEST,LOGAN,UT,84321,CACHE,8.0,41.77133,-111.84886,327320,Ready-Mix Concrete
110039623271,GENEVA ROCK PRODUCTS: LOGAN SHOP,2151 NORTH 600 WEST,LOGAN,UT,84321,CACHE,8.0,41.77133,-111.84886,327320,Ready-Mix Concrete
110024587525,ALTA VIEW CONCRETE,68 EAST 8000 SOUTH,MIDVALE,UT,84047,SALT LAKE,8.0,40.60584,-111.88864,327320,Ready-Mix Concrete
110002270701,MIDVALE BATCH PLANT,68 E 8000 S,MIDVALE,UT,84047,SALT LAKE,8.0,40.60584,-111.88864,327320,Ready-Mix Concrete
110002273432,MOAB SITE ASPHALT PLANT CONCRETE BATCH,5101 OLD AIRPORT RD,MOAB,UT,84532,GRAND,8.0,38.48863,-109.4495,327320,Ready-Mix Concrete
110043748558,MOAB YARD,SAN JUAN COUNTY,MOAB,UT,84532,GRAND,8.0,38.571222,-109.549861,327320,Ready-Mix Concrete
110043748585,MOAB HOT PLANT,SAN JUAN COUNTY,MOAB,UT,84532,GRAND,8.0,38.48722,-109.45583,327320,Ready-Mix Concrete
110070048920,MONA PIT AND BATCH PLANT,1435 E 2400 N,MONA,UT,84645,JUAB,8.0,39.85107,-111.82133,327320,Ready-Mix Concrete
110032607365,MT. CARMEL BATCH PLANT,US 89,MT. CARMEL,UT,KANE,KANE,8.0,37.38288,-112.57696,327320,Ready-Mix Concrete
110040434465,MOUNT CARMEL,HIGHWAY 89,MT. CARMEL,UT,84755,KANE,8.0,37.236944,-112.674444,327320,Ready-Mix Concrete
110002304809,WESTERN ASPHALT PAVING,4707 COMMERCE DR,MURRAY,UT,84107,SALT LAKE,8.0,40.66947,-111.89966,327320,Ready-Mix Concrete
110030899491,PLANT #3,900 W 2200 N,NORTH SALT LAKE,UT,84116,DAVIS,8.0,40.78891,-111.953576,327320,Ready-Mix Concrete
110054117503,SANDEE'S SOIL & ROCK PRODUCTS INC.,1900 W 1800 S,OGDEN,UT,84401,WEBER,8.0,41.233262,-112.025285,327320,Ready-Mix Concrete
110038773075,GENEVA ROCK PRODUCTS: WEST HAVEN,2000 S. 800 W.,OGDEN,UT,84405,WEBER,8.0,41.166044,-111.959774,327320,Ready-Mix Concrete
110002470200,"SEMMATERIALS, L.P. - OGDEN UT",2350 SOUTH 1900 WEST,OGDEN,UT,84401,WEBER,8.0,41.22515,-112.02562,327320,Ready-Mix Concrete
110030922919,OGDEN,2350 SOUTH 1900 WEST,OGDEN,UT,84401,WEBER,8.0,41.224012,-112.020464,327320,Ready-Mix Concrete
110070876236,GENEVA ROCK PRODUCTS: OGDEN,1235 W STOCK ROAD,OGDEN,UT,84401,WEBER,8.0,41.212881,-112.013006,327320,Ready-Mix Concrete
110001881811,FIFE ROCK PRODUCTS CO,1685 WALL AVE,OGDEN,UT,84404,WEBER,8.0,41.23762,-111.9785,327320,Ready-Mix Concrete
110070147833,GENEVA PIPE COMPANY-OREM,1465 W 400 N,OREM,UT,84057,UTAH,8.0,40.30449,-111.72898,327320,Ready-Mix Concrete
110064247435,GENEVA ROCK PRODUCTS: HANSEN LEHI,15547 S 300 W,OREM,UT,84020,UTAH,8.0,40.31632,-111.68872,327320,Ready-Mix Concrete
110056133633,GENEVA ROCK PRODUCTS,1565 WEST 400 NORTH,OREM,UT,84057,UTAH,8.0,40.304531,-111.732335,327320,Ready-Mix Concrete
110042295655,CEMENT PLANT G6,4219 ATKINSON ROAD,PARK CITY,UT,84060,SUMMIT,8.0,40.689318,-111.461572,327320,Ready-Mix Concrete
