facility_id,facility_name,address1,city,state,state_name,zip,county,latitude,longitude,year,parent_company,primary_naics
1004385,Central Plains Cement Company LLC,2200 N. Courtney Road,Sugar Creek,MO,MISSOURI,64050,JACKSON COUNTY,39.14418,-94.39482,2023,EAGLE MATERIALS INC (100%),327310
1002531,ASH GROVE CEMENT COMPANY-MONTANA CITY,100 HIGHWAY 518,CLANCY,MT,MONTANA,59634,JEFFERSON COUNTY,46.54448,-111.92062,2023,CRH AMERICAS INC (100%),327310
1006185,Trident,4070 TRIDENT ROAD,THREE FORKS,MT,MONTANA,59752,GALLATIN COUNTY,45.94942,-111.47501,2023,GCC OF AMERICA INC (100%),327310
1007552,ASH GROVE CEMENT COMPANY-Louisville,16215 HWY. 50,LOUISVILLE,NE,NEBRASKA,68037,CASS COUNTY,41.005565,-96.154917,2023,CRH AMERICAS INC (100%),327310
1009018,"GCC RIO GRANDE, INC. TIJERAS PLANT",11783 STATE HIGHWAY 14 S,TIJERAS,NM,NEW MEXICO,87059,BERNALILLO COUNTY,35.071319,-106.392283,2023,GCC OF AMERICA INC (100%),327310
1004174,NEVADA CEMENT COMPANY,,FERNLEY,NV,NEVADA,89408,LYON COUNTY,39.62,-119.2628,2023,EAGLE MATERIALS INC (100%),327310
1000307,Holcim US Inc,6446 ROUTE 9 WEST,CATSKILL,NY,NEW YORK,12414,Greene,42.1631,-73.9003,2010,HOLCIM (US) INC. (100%),327310
1000290,Heidelberg Materials US Cement LLC,313 WARREN STREET,GLENS FALLS,NY,NEW YORK,12801,Warren,43.3064,-73.6208,2023,HANSON LEHIGH INC (100%),327310
1005360,Lafarge Ravena Cement Plant,1916 ROUTE 9 WEST,RAVENA,NY,NEW YORK,12143,RENSSELAER COUNTY,42.546096,-73.672154,2023,HOLCIM PARTICIPATIONS (US) INC - RAVENA PLANT (100%),327310
1007766,Holcim US - Paulding Plant (INCLUDING SYSTECH ENV CORP),11435 COUNTY ROAD 176,PAULDING,OH,OHIO,45879,PAULDING COUNTY,41.1809,-84.6048,2023,HOLCIM PARTICIPATIONS (US) INC (100%),327310
1006212,Fairborn Cement Company LLC,3250 LINEBAUGH ROAD,XENIA,OH,OHIO,45385,GREENE COUNTY,39.7779,-83.9661,2023,EAGLE MATERIALS INC (100%),327310
1002204,HOLCIM INCORPORATED,14500 CR 1550,ADA,OK,OKLAHOMA,74820,PONTOTOC COUNTY,34.76754,-96.69652,2023,HOLCIM PARTICIPATIONS (US) INC (100%),327310
1004289,LONE STAR IND INC DBA BUZZI UNICEM USA PRYOR CEMENT PLANT,2430 S. 437,PRYOR,OK,OKLAHOMA,74361,MAYES COUNTY,36.29621,-95.331165,2023,RC LONESTAR INC (100%),327310
1007216,Central Plains Cement Company,2609 N. 145TH E. AVE.,TULSA,OK,OKLAHOMA,74116,ROGERS COUNTY,36.1941,-95.8117,2023,EAGLE MATERIALS INC (100%),327310
1002527,ASH GROVE CEMENT COMPANY-DURKEE,33060 SHIRTTAIL CREEK ROAD,DURKEE,OR,OREGON,97905,BAKER COUNTY,44.542325,-117.42053,2023,CRH AMERICAS INC (100%),327310
1005622,KEYSTONE CEMENT COMPANY,6507 Nor-Bath Blvd,BATH,PA,PENNSYLVANIA,18014,NORTHAMPTON COUNTY,40.715359,-75.400859,2023,GIANT CEMENT HOLDING INC (100%),327310
1006785,ARMSTRONG CEMENT & SUPPLY,100 CLEARFIELD ROAD,CABOT,PA,PENNSYLVANIA,16023,BUTLER COUNTY,40.7948,-79.70017,2023,SNYDER ASSOCIATED COS INC (100%),327310
1005742,Heidelberg Materials/EVANSVILLE CEMENT PLT & QUARRY,537 EVANSVILLE RD,FLEETWOOD,PA,PENNSYLVANIA,19522,BERKS COUNTY,40.472471,-75.895245,2023,HANSON LEHIGH INC (100%),327310
1001835,HEIDELBERG MATERIALS US CEMENT LLC/ NAZARETH,3938 EASTON NAZARETH HIGHWAY,NAZARETH,PA,PENNSYLVANIA,18064,NORTHAMPTON COUNTY,40.72966,-75.30078,2023,HANSON LEHIGH INC (100%),327310
1006450,HERCULES CEMENT STOCKERTOWN PLT QUARRY,501 CENTER ST.,STOCKERTOWN,PA,PENNSYLVANIA,18083,NORTHAMPTON COUNTY,40.753611,-75.260278,2023,RC LONESTAR INC (100%),327310
