direction,port_code,port_name,commodity,hs6_description,cty_code,country_name,total_value_ytd,ves_value_ytd,ves_mt_ytd
Export,2001,"New Orleans, LA",280440,OXYGEN,2250,PANAMA,37500,37500,94.876
Export,2001,"New Orleans, LA",280440,OXYGEN,6810,MARSHALL ISLANDS,2906,2906,0.363
Export,2001,"New Orleans, LA",281820,"ALUMINUM OXIDE, EXCEPT ARTIFICIAL CORUNDUM, NESOI",4210,NETHERLANDS,96330,96330,58.302
Export,2001,"New Orleans, LA",283230,THIOSULFATES,2010,MEXICO,3989,3989,6.337
Export,2001,"New Orleans, LA",300490,MEDICAMENTS CONTAINING ANTIGENS OR HYALURONIC ACID OR ITS SODIUM SALT,2250,PANAMA,7580,7580,0.162
Export,2001,"New Orleans, LA",320820,"PAINTS AND VARNISHES(INCL ENAMELS & LACQUERS)BASED ON SYNTHETIC POLYMERS,ETC,IN A NONAQUEOUS MEDIUM,BASED ON ACRYLIC OR VINYL POLYMERS",1220,CANADA,3242,3242,0.125
Export,2001,"New Orleans, LA",320890,"PAINTS AND VARNISHES(INCL ENAMELS & LACQUERS)BASED ON SYNTHETIC POLYMERS,ETC IN A NONAQUEOUS MEDIUM,NESOI",2010,MEXICO,3197,3197,0.369
Export,2001,"New Orleans, LA",320890,"PAINTS AND VARNISHES(INCL ENAMELS & LACQUERS)BASED ON SYNTHETIC POLYMERS,ETC IN A NONAQUEOUS MEDIUM,NESOI",2250,PANAMA,92471,92471,10.893
Export,2001,"New Orleans, LA",320890,"PAINTS AND VARNISHES(INCL ENAMELS & LACQUERS)BASED ON SYNTHETIC POLYMERS,ETC IN A NONAQUEOUS MEDIUM,NESOI",6810,MARSHALL ISLANDS,185428,185428,95.435
Export,2001,"New Orleans, LA",320890,"PAINTS AND VARNISHES(INCL ENAMELS & LACQUERS)BASED ON SYNTHETIC POLYMERS,ETC IN A NONAQUEOUS MEDIUM,NESOI",7650,LIBERIA,24016,24016,3.538
Export,2001,"New Orleans, LA",321000,"OTHER PAINTS AND VARNISHES (INCL ENAMELS,LACQUERS AND DISTEMPERS); PREPARED WATER PIGMENTS OF A KIND USED FOR FINISHING LEATHER",2010,MEXICO,23239,23239,3.586
Export,2001,"New Orleans, LA",321000,"OTHER PAINTS AND VARNISHES (INCL ENAMELS,LACQUERS AND DISTEMPERS); PREPARED WATER PIGMENTS OF A KIND USED FOR FINISHING LEATHER",2410,JAMAICA,3967,3967,0.366
Export,2001,"New Orleans, LA",321000,"OTHER PAINTS AND VARNISHES (INCL ENAMELS,LACQUERS AND DISTEMPERS); PREPARED WATER PIGMENTS OF A KIND USED FOR FINISHING LEATHER",3120,GUYANA,100883,100883,42.745
Export,2001,"New Orleans, LA",321390,"ARTISTS' STUDENTS' OR SIGNBOARD PAINTERS COLORS,IN TUBES,JARS,ETC, NESOI",6810,MARSHALL ISLANDS,3600,3600,0.085
Export,2001,"New Orleans, LA",321490,"GLAZERS' PUTTY,GRAFTING PUTTY,RESIN CEMENTS,CAULKING COMPOUNDS,ETC, BASED ON RUBBER",2010,MEXICO,10792,10792,0.18
Export,2001,"New Orleans, LA",340119,"SOAP & OTHER ORGANIC SURF-ACT PRODUCTS,NOT FOR TOILET USE, IN BARS,CAKES, MOLDED PIECES, AND PAPER,ETC IMPREGNATED OR COATED WITH SOAP OR DETERGENT",2010,MEXICO,10568,10568,0.407
Export,2001,"New Orleans, LA",340290,SYNTHETIC DETERGENTS,3120,GUYANA,59201,59201,24.547
Export,2001,"New Orleans, LA",340319,"LUBRICATING PREPARATIONS CONTAINING PETROLEUM OILS OR OILS OBTAINED FROM BITUMINOUS MINERALS, NESOI",2250,PANAMA,22269,22269,2.881
Export,2001,"New Orleans, LA",340399,"LUBRICATING PREPARATIONS,NOT CONTAINING PETROLEUM OILS OR OILS OBTAINED FROM BITUMINOUS MINERALS, OTHER",2010,MEXICO,26753,26753,1.835
Export,2001,"New Orleans, LA",340399,"LUBRICATING PREPARATIONS,NOT CONTAINING PETROLEUM OILS OR OILS OBTAINED FROM BITUMINOUS MINERALS, OTHER",2250,PANAMA,5843,5843,0.224
Export,2001,"New Orleans, LA",340399,"LUBRICATING PREPARATIONS,NOT CONTAINING PETROLEUM OILS OR OILS OBTAINED FROM BITUMINOUS MINERALS, OTHER",3120,GUYANA,3941,3941,1.499
Export,2001,"New Orleans, LA",380893,"HERBICIDES, ANTISPROUTING PRODUCTS AND PLANT-GROWTH REGULATORS",1220,CANADA,128549,128549,86.22
Export,2001,"New Orleans, LA",380899,"RODENTICIDES AND SIMILAR PRODUCTS, FOR RETAIL SALE (FOR EXAMPLE, SULFUR-TREATED BANDS, WICKS AND CANDLES, AND FLYPAPERS), NESOI",6810,MARSHALL ISLANDS,12153,12153,0.383
Export,2001,"New Orleans, LA",380899,"RODENTICIDES AND SIMILAR PRODUCTS, FOR RETAIL SALE (FOR EXAMPLE, SULFUR-TREATED BANDS, WICKS AND CANDLES, AND FLYPAPERS), NESOI",7650,LIBERIA,4861,4861,0.38
Export,2001,"New Orleans, LA",381010,"PICKLING PREPARATION FOR METAL SURFACES, SOLDERING, BRAZING OR WELDING POWDERS AND PASTES CONSISTING OF METAL AND OTHER MATERIALS",7650,LIBERIA,4059,4059,0.29
